variable,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_65mas,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_3,quintil_4,quintil_5,ing_personal
mod_TD,1,-0.33188078304203467,-0.17229461433449436,-0.17977356923959376,-0.23860080515403767,0.05221300588791436,0.04989557229585395,-0.023255038488413808,-0.06554678173548148,0.1956650397020514,-0.1833461746233298,-0.056650152036470704,-0.00964385285299765,-0.013636026798010563,-0.03376887144997973,-0.03540196879699192,-0.0025283998326509154,-0.017534007655189594,-0.00519462961987096,-0.044282977657876
mod_TC,-0.33188078304203467,1,-0.08389415494884735,-0.08753582769693298,-0.4199644671142433,0.06589382122374664,-0.020263775945807007,0.005750742154454054,-0.06475717508434613,-0.09149272729396211,0.015018884184826262,0.05208355886403705,0.13273279970264784,-0.019137389793681913,0.04053158456772666,0.024038972072527955,-0.01873556404115775,-0.004600829676309398,0.007972284251325153,-0.040616993059891957
mod_ED,-0.17229461433449436,-0.08389415494884735,1,-0.04544388359956231,0.10599566316030411,-0.018102309449055522,-0.0030742253219786897,0.0022702800157312374,0.48708352412783534,-0.08222736990635118,-0.04128246908458969,0.016335248338693598,-0.1867818307663487,0.12811948151228786,5.655272745676068e-4,-0.09554942362280582,-0.009448336975394132,-0.023522617495227237,-0.025619181810144456,-0.14714006813669786
mod_CP,-0.17977356923959376,-0.08753582769693298,-0.04544388359956231,1,-0.15648929033106015,0.06884182730593501,0.016779499853396603,0.0023610806890777144,-0.01959618942400221,0.15070850470610653,-0.09778137541445718,-0.03254199758560427,-0.008701802195847406,-0.024548680612472774,-0.026910455355371714,-0.030106157234927756,0.017887159957490358,0.0034115263405433936,-0.006557357449716113,-0.034601478970765494
T_mod_10h,-0.23860080515403767,-0.4199644671142433,0.10599566316030411,-0.15648929033106015,1,0.011785384923408441,0.0050121569814926235,-0.03020866470218919,-0.010138752196563666,-0.031151309669418512,0.04315501931788724,-0.014350116363045718,-0.032186764930680456,0.027273066319092484,0.004178213087873264,-0.030388994322896757,0.015546382657419332,0.020473880619592513,-0.02262496856989933,0.003762475966476733
female,0.05221300588791436,0.06589382122374664,-0.018102309449055522,0.06884182730593501,0.011785384923408441,1,-0.008364865973390343,9.964355385596148e-4,-0.05256603454183559,-0.03434927544072608,-0.05214317280659543,-0.029400875057490238,-0.08733126491732306,-0.009608721577397273,0.013796718080708401,-0.015321960795557685,-2.7123032018994874e-4,-0.019840297121630986,-0.06639043542300614,-0.21703481706439304
zona_centro,0.04989557229585395,-0.020263775945807007,-0.0030742253219786897,0.016779499853396603,0.0050121569814926235,-0.008364865973390343,1,-0.5511242478760313,0.01814924416474101,0.03270761038899014,-0.015843237976390936,-1.0343334269216422e-4,-0.002898110827270204,0.013346303715208955,-0.020236569845860797,-0.010687808854254839,-0.021832087422817142,-0.03180597900304682,-0.001073018030920032,-0.014562680774459451
zona_sur,-0.023255038488413808,0.005750742154454054,0.0022702800157312374,0.0023610806890777144,-0.03020866470218919,9.964355385596148e-4,-0.5511242478760313,1,-0.008371038601867064,-0.004927446397150952,-0.01495872952853339,-0.016016144064237146,-0.0025277013328343957,-0.032032565092174704,0.022436106250752104,0.004285284572666697,0.002266933911682087,0.017530544505341798,-0.007967187461548108,0.020597054292830545
edad_18_24,-0.06554678173548148,-0.06475717508434613,0.48708352412783534,-0.01959618942400221,-0.010138752196563666,-0.05256603454183559,0.01814924416474101,-0.008371038601867064,1,-0.1300263967974445,0.03530897998279212,-0.0076228609243362945,-0.2615748276552492,0.19333659751632384,0.020040966557035435,-0.1490023415414925,-0.014991203771727739,-0.032769692474157196,-0.05102572638889367,-0.20044032087466063
edad_65mas,0.1956650397020514,-0.09149272729396211,-0.08222736990635118,0.15070850470610653,-0.031151309669418512,-0.03434927544072608,0.03270761038899014,-0.004927446397150952,-0.1300263967974445,1,-0.26165522114304357,-0.14961319367411713,-0.01216969515153032,-0.07329320709826861,-0.12306156041602666,-0.09152449943533932,0.04463957829442528,0.05479120975011618,0.07745754912487313,0.11852666983213016
n_trabajadores,-0.1833461746233298,0.015018884184826262,-0.04128246908458969,-0.09778137541445718,0.04315501931788724,-0.05214317280659543,-0.015843237976390936,-0.01495872952853339,0.03530897998279212,-0.26165522114304357,1,0.34067997146512247,0.1994629765010208,0.021799731138936254,0.03841504236142938,0.04709218727195678,0.0370113836584186,0.16636968706082345,0.19934798288646804,0.014463800622659617
n_profesionales,-0.056650152036470704,0.05208355886403705,0.016335248338693598,-0.03254199758560427,-0.014350116363045718,-0.029400875057490238,-1.0343334269216422e-4,-0.016016144064237146,-0.0076228609243362945,-0.14961319367411713,0.34067997146512247,1,0.17390418586209422,-0.3708220227292027,0.3807854366781162,0.3661704974244067,-0.0361860913885451,0.12954763834696506,0.33766410696072124,0.17229810498372647
vive_pareja,-0.00964385285299765,0.13273279970264784,-0.1867818307663487,-0.008701802195847406,-0.032186764930680456,-0.08733126491732306,-0.002898110827270204,-0.0025277013328343957,-0.2615748276552492,-0.01216969515153032,0.1994629765010208,0.17390418586209422,1,-0.040850299160972506,0.008395902189741965,0.049930947705427754,0.041221352536409794,0.061390839451857505,0.11473630691658376,0.06257858794996321
educ_secundaria,-0.013636026798010563,-0.019137389793681913,0.12811948151228786,-0.024548680612472774,0.027273066319092484,-0.009608721577397273,0.013346303715208955,-0.032032565092174704,0.19333659751632384,-0.07329320709826861,0.021799731138936254,-0.3708220227292027,-0.040850299160972506,1,-0.3782887167284671,-0.34715679553834505,0.019235364237606155,-0.04947284044863673,-0.12079658281241273,-0.19513717695017643
educ_tecnica,-0.03376887144997973,0.04053158456772666,5.655272745676068e-4,-0.026910455355371714,0.004178213087873264,0.013796718080708401,-0.020236569845860797,0.022436106250752104,0.020040966557035435,-0.12306156041602666,0.03841504236142938,0.3807854366781162,0.008395902189741965,-0.3782887167284671,1,-0.340920710492852,0.012268849513427414,0.01848336083262224,-0.06510632052249866,-0.08522054555726563
educ_universitaria,-0.03540196879699192,0.024038972072527955,-0.09554942362280582,-0.030106157234927756,-0.030388994322896757,-0.015321960795557685,-0.010687808854254839,0.004285284572666697,-0.1490023415414925,-0.09152449943533932,0.04709218727195678,0.3661704974244067,0.049930947705427754,-0.34715679553834505,-0.340920710492852,1,-0.04514356019147714,0.06479182543165404,0.32015951427175665,0.4423559863543542
quintil_3,-0.0025283998326509154,-0.01873556404115775,-0.009448336975394132,0.017887159957490358,0.015546382657419332,-2.7123032018994874e-4,-0.021832087422817142,0.002266933911682087,-0.014991203771727739,0.04463957829442528,0.0370113836584186,-0.0361860913885451,0.041221352536409794,0.019235364237606155,0.012268849513427414,-0.04514356019147714,1,-0.2543450330779631,-0.23366671863625715,-0.07528925557005092
quintil_4,-0.017534007655189594,-0.004600829676309398,-0.023522617495227237,0.0034115263405433936,0.020473880619592513,-0.019840297121630986,-0.03180597900304682,0.017530544505341798,-0.032769692474157196,0.05479120975011618,0.16636968706082345,0.12954763834696506,0.061390839451857505,-0.04947284044863673,0.01848336083262224,0.06479182543165404,-0.2543450330779631,1,-0.22691814937703872,0.05795806525542197
quintil_5,-0.00519462961987096,0.007972284251325153,-0.025619181810144456,-0.006557357449716113,-0.02262496856989933,-0.06639043542300614,-0.001073018030920032,-0.007967187461548108,-0.05102572638889367,0.07745754912487313,0.19934798288646804,0.33766410696072124,0.11473630691658376,-0.12079658281241273,-0.06510632052249866,0.32015951427175665,-0.23366671863625715,-0.22691814937703872,1,0.5113863670167779
ing_personal,-0.044282977657876,-0.040616993059891957,-0.14714006813669786,-0.034601478970765494,0.003762475966476733,-0.21703481706439304,-0.014562680774459451,0.020597054292830545,-0.20044032087466063,0.11852666983213016,0.014463800622659617,0.17229810498372647,0.06257858794996321,-0.19513717695017643,-0.08522054555726563,0.4423559863543542,-0.07528925557005092,0.05795806525542197,0.5113863670167779,1
