variable,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_65mas,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_3,quintil_4,quintil_5,ing_personal
mod_TD,1,-0.3318807830420347,-0.17229461433449436,-0.17977356923959376,-0.24906904561520246,0.05221300588791437,0.04989557229585395,-0.02325503848841381,-0.0655467817354815,0.1956650397020514,-0.18966594949825522,-0.06121752175882362,-0.009643852852997648,-0.013636026798010565,-0.03376887144997974,-0.035401968796991916,-0.0025283998326509154,-0.0175340076551896,-0.005194629619870961,-0.0817205062203518
mod_TC,-0.3318807830420347,1,-0.08389415494884736,-0.08753582769693298,-0.4289870283666646,0.06589382122374665,-0.020263775945807014,0.005750742154454055,-0.06475717508434613,-0.0914927272939621,0.020183336955175983,0.060809116803776334,0.13273279970264787,-0.019137389793681913,0.04053158456772667,0.024038972072527965,-0.018735564041157754,-0.004600829676309398,0.007972284251325151,-0.083791734300611
mod_ED,-0.17229461433449436,-0.08389415494884736,1,-0.04544388359956231,0.10191347431863691,-0.018102309449055526,-0.00307422532197869,0.0022702800157312366,0.48708352412783534,-0.0822273699063512,-0.04266735101445437,0.014248687673273414,-0.18678183076634874,0.12811948151228789,5.655272745676059e-4,-0.09554942362280584,-0.00944833697539413,-0.02352261749522724,-0.025619181810144463,-0.2400388484819961
mod_CP,-0.17977356923959376,-0.08753582769693298,-0.04544388359956231,1,-0.16016478405431284,0.068841827305935,0.016779499853396603,0.0023610806890777144,-0.019596189424002212,0.1507085047061065,-0.10173806805319993,-0.03549906240386895,-0.008701802195847408,-0.02454868061247277,-0.02691045535537171,-0.030106157234927756,0.017887159957490358,0.003411526340543393,-0.006557357449716113,-0.049300574424244945
T_mod_10h,-0.24906904561520246,-0.4289870283666646,0.10191347431863691,-0.16016478405431284,1,0.01574800290146241,0.011012502830747487,-0.02688501689834945,-0.01191472238842395,-0.032774078759102536,0.04506370800513123,-0.019775937078182617,-0.03366668914515098,0.02685337806007153,0.0061130553901710275,-0.03069740458344778,0.01599996793789932,0.01925291841024405,-0.02343585814404338,0.04275779858613855
female,0.05221300588791437,0.06589382122374665,-0.018102309449055526,0.068841827305935,0.01574800290146241,0.9999999999999998,-0.008364865973390341,9.964355385596144e-4,-0.05256603454183558,-0.03434927544072608,-0.05400670703472851,-0.029401286640027745,-0.08733126491732307,-0.009608721577397271,0.013796718080708398,-0.015321960795557681,-2.712303201899489e-4,-0.019840297121630986,-0.06639043542300613,-0.25059709701633376
zona_centro,0.04989557229585395,-0.020263775945807014,-0.00307422532197869,0.016779499853396603,0.011012502830747487,-0.008364865973390341,1,-0.5511242478760313,0.018149244164741014,0.03270761038899014,-0.017234315011193446,-0.0012758895533998863,-0.002898110827270204,0.013346303715208957,-0.020236569845860797,-0.010687808854254839,-0.02183208742281715,-0.03180597900304681,-0.001073018030920032,-0.037640912375759554
zona_sur,-0.02325503848841381,0.005750742154454055,0.0022702800157312366,0.0023610806890777144,-0.02688501689834945,9.964355385596144e-4,-0.5511242478760313,1,-0.008371038601867062,-0.004927446397150952,-0.009020678929413944,-0.009621346409204493,-0.002527701332834396,-0.032032565092174704,0.022436106250752104,0.0042852845726666965,0.002266933911682087,0.017530544505341798,-0.007967187461548108,0.0419824685805712
edad_18_24,-0.0655467817354815,-0.06475717508434613,0.48708352412783534,-0.019596189424002212,-0.01191472238842395,-0.05256603454183558,0.018149244164741014,-0.008371038601867062,1,-0.13002639679744452,0.028891319918081332,-0.010119546735028184,-0.2615748276552492,0.19333659751632384,0.020040966557035435,-0.14900234154149247,-0.014991203771727744,-0.032769692474157196,-0.05102572638889367,-0.3017019227349078
edad_65mas,0.1956650397020514,-0.0914927272939621,-0.0822273699063512,0.1507085047061065,-0.032774078759102536,-0.03434927544072608,0.03270761038899014,-0.004927446397150952,-0.13002639679744452,1,-0.2720995517592179,-0.16114564589286343,-0.012169695151530319,-0.07329320709826863,-0.12306156041602666,-0.09152449943533933,0.044639578294425275,0.05479120975011618,0.07745754912487313,0.18039853248810142
n_trabajadores,-0.18966594949825522,0.020183336955175983,-0.04266735101445437,-0.10173806805319993,0.04506370800513123,-0.05400670703472851,-0.017234315011193446,-0.009020678929413944,0.028891319918081332,-0.2720995517592179,1,0.3277234844518837,0.23411401519974753,0.014629882981480845,0.039441966767042924,0.06578098530486512,0.056876076198287134,0.16234467944669953,0.19410824729859427,0.07909917729421242
n_profesionales,-0.06121752175882362,0.060809116803776334,0.014248687673273414,-0.03549906240386895,-0.019775937078182617,-0.029401286640027745,-0.0012758895533998863,-0.009621346409204493,-0.010119546735028184,-0.16114564589286343,0.3277234844518837,1,0.1877759326537368,-0.3897788124015638,0.39513658812295066,0.3940010678820591,-0.02994022807936474,0.1362055879450458,0.33194059332572484,0.1732092773701718
vive_pareja,-0.009643852852997648,0.13273279970264787,-0.18678183076634874,-0.008701802195847408,-0.03366668914515098,-0.08733126491732307,-0.002898110827270204,-0.002527701332834396,-0.2615748276552492,-0.012169695151530319,0.23411401519974753,0.1877759326537368,1,-0.04085029916097251,0.008395902189741965,0.04993094770542776,0.041221352536409794,0.061390839451857505,0.11473630691658376,0.06756731353359828
educ_secundaria,-0.013636026798010565,-0.019137389793681913,0.12811948151228789,-0.02454868061247277,0.02685337806007153,-0.009608721577397271,0.013346303715208957,-0.032032565092174704,0.19333659751632384,-0.07329320709826863,0.014629882981480845,-0.3897788124015638,-0.04085029916097251,1,-0.3782887167284671,-0.347156795538345,0.019235364237606155,-0.04947284044863673,-0.12079658281241273,-0.22111526211781743
educ_tecnica,-0.03376887144997974,0.04053158456772667,5.655272745676059e-4,-0.02691045535537171,0.0061130553901710275,0.013796718080708398,-0.020236569845860797,0.022436106250752104,0.020040966557035435,-0.12306156041602666,0.039441966767042924,0.39513658812295066,0.008395902189741965,-0.3782887167284671,1,-0.340920710492852,0.012268849513427412,0.018483360832622236,-0.06510632052249866,-0.05111587429226613
educ_universitaria,-0.035401968796991916,0.024038972072527965,-0.09554942362280584,-0.030106157234927756,-0.03069740458344778,-0.015321960795557681,-0.010687808854254839,0.0042852845726666965,-0.14900234154149247,-0.09152449943533933,0.06578098530486512,0.3940010678820591,0.04993094770542776,-0.347156795538345,-0.340920710492852,1,-0.045143560191477146,0.06479182543165404,0.32015951427175665,0.4262869702018648
quintil_3,-0.0025283998326509154,-0.018735564041157754,-0.00944833697539413,0.017887159957490358,0.01599996793789932,-2.712303201899489e-4,-0.02183208742281715,0.002266933911682087,-0.014991203771727744,0.044639578294425275,0.056876076198287134,-0.02994022807936474,0.041221352536409794,0.019235364237606155,0.012268849513427412,-0.045143560191477146,1,-0.2543450330779631,-0.23366671863625715,0.011447097787004056
quintil_4,-0.0175340076551896,-0.004600829676309398,-0.02352261749522724,0.003411526340543393,0.01925291841024405,-0.019840297121630986,-0.03180597900304681,0.017530544505341798,-0.032769692474157196,0.05479120975011618,0.16234467944669953,0.1362055879450458,0.061390839451857505,-0.04947284044863673,0.018483360832622236,0.06479182543165404,-0.2543450330779631,1,-0.22691814937703872,0.1675247842181245
quintil_5,-0.005194629619870961,0.007972284251325151,-0.025619181810144463,-0.006557357449716113,-0.02343585814404338,-0.06639043542300613,-0.001073018030920032,-0.007967187461548108,-0.05102572638889367,0.07745754912487313,0.19410824729859427,0.33194059332572484,0.11473630691658376,-0.12079658281241273,-0.06510632052249866,0.32015951427175665,-0.23366671863625715,-0.22691814937703872,1,0.3877755441398194
ing_personal,-0.0817205062203518,-0.083791734300611,-0.2400388484819961,-0.049300574424244945,0.04275779858613855,-0.25059709701633376,-0.037640912375759554,0.0419824685805712,-0.3017019227349078,0.18039853248810142,0.07909917729421242,0.1732092773701718,0.06756731353359828,-0.22111526211781743,-0.05111587429226613,0.4262869702018648,0.011447097787004056,0.1675247842181245,0.3877755441398194,1
