variable,T_mod_10h,n_trabajadores,n_profesionales,ing_personal,mod_TD,mod_TC,mod_ED,mod_CP,female,zona_centro,zona_sur,edad_18_24,edad_65mas,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_3,quintil_4,quintil_5
T_mod_10h,1,0.04315501931788724,-0.014350116363045718,0.003762475966476733,-0.3021703607018857,-0.6557617015698243,0.23764425793932975,-0.34156673063341675,0.014900219075489229,0.006281726894732225,-0.04187827912369725,-0.017420579542313387,-0.049086842410291966,-0.04045354133104292,0.036421188955180706,0.005606566670704766,-0.04180762437838607,0.022027629467979898,0.029315513889900627,-0.0334641394619597
n_trabajadores,0.04315501931788724,1,0.34067997146512247,0.014463800622659617,-0.23219443741388815,0.02345152940294493,-0.09255606728620132,-0.21342588139097637,-0.06592442276248234,-0.019856300284174358,-0.020737290334001953,0.0606685006619119,-0.4123046107010891,0.2506925993113875,0.02911194941169906,0.05154751364462555,0.06478702308154925,0.05244133399326926,0.23821633829508218,0.2948516228945545
n_profesionales,-0.014350116363045718,0.34067997146512247,1,0.17229810498372647,-0.0717432485763233,0.08132688800836577,0.03662393209269846,-0.07102891003007646,-0.03717141885604147,-1.2963281337764388e-4,-0.022203184358521626,-0.013097731604230577,-0.23575378814944595,0.21856934630009367,-0.49520573889808206,0.5109598034062808,0.5037586453866933,-0.05127197950585184,0.18549270956137162,0.4994322414955689
ing_personal,0.003762475966476733,0.014463800622659617,0.17229810498372647,1,-0.056081132346537256,-0.06342219536958817,-0.32989078291444,-0.07552410789340457,-0.27439632581240475,-0.018251380357420504,0.028553701307379997,-0.3444000292725697,0.18676903235237508,0.07865113190232713,-0.26059145351425195,-0.11435383029347604,0.6085707451364727,-0.1066771519241911,0.08298722155296524,0.7563813691905806
mod_TD,-0.3021703607018857,-0.23219443741388815,-0.0717432485763233,-0.056081132346537256,1,-0.4392131049595501,-0.36125547730435453,-0.38838966711029177,0.026737011391266,0.05788350442256248,-0.037874291600182845,-0.15952549741395744,0.3096964850869865,0.010673604531538358,-0.0187263268934721,-0.029702566517147328,-0.005944657220822098,0.012078503318813027,-0.005708394087479298,0.0032942186244664094
mod_TC,-0.6557617015698243,0.02345152940294493,0.08132688800836577,-0.06342219536958817,-0.4392131049595501,1,-0.2701687239867848,-0.29735044644343905,0.07509841643791774,-0.04489103234396512,0.0074548512620698755,-0.20574134448152329,-0.22137643312694863,0.25575098544045227,-0.03221171472838885,0.07804137727236059,0.07847720488650682,-0.023227134320737527,0.0046861526248505245,0.019188612589024604
mod_ED,0.23764425793932975,-0.09255606728620132,0.03662393209269846,-0.32989078291444,-0.36125547730435453,-0.27016872398678476,1,-0.17256111112798028,-0.08525171584946652,-0.018644658670220367,0.0026025830487156096,0.7023473752357534,-0.5209325069683409,-0.4552887580310099,0.27574188263946603,0.03322335856235664,-0.24781307150570311,-0.029846262727248968,-0.0669365555836163,-0.08439377336403266
mod_CP,-0.34156673063341675,-0.21342588139097637,-0.07102891003007646,-0.07552410789340457,-0.38838966711029177,-0.2973504464434391,-0.17256111112798025,1,0.13794979256209589,0.032587115430110246,0.004254908818629442,-0.10216482463518556,0.3300042108548432,4.18542981981939e-4,-0.053845356053155984,-0.046221905102406736,-0.03190242911095584,0.05243059902555613,0.020550901001070515,-0.01220405635269167
female,0.014900219075489229,-0.06592442276248234,-0.03717141885604147,-0.27439632581240475,0.026737011391265986,0.07509841643791774,-0.0852517158494665,0.13794979256209589,1,-0.011386136939789985,0.0018648649219922815,-0.099939748068785,-0.06124450050635928,-0.1413953533314426,-0.0030745287352138546,0.028875762223584883,-0.021375550672171246,0.010054064902262995,-0.02206194670799512,-0.09679055017168645
zona_centro,0.006281726894732225,-0.019856300284174358,-1.2963281337764388e-4,-0.018251380357420504,0.05788350442256249,-0.04489103234396518,-0.018644658670220388,0.03258711543011026,-0.011386136939789968,1,-0.9658305934140735,0.03492315889074675,0.055159435754872574,-0.012241776097490603,0.026083744689157556,-0.02675123090975893,-0.018878511640385728,-0.019200235672244204,-0.03511542477600745,0.015212327618516602
