variable_1,variable_2,correlacion,metodo,correlacion_abs,nivel_alerta,familia_1,tipo_1,familia_2,tipo_2,misma_familia,comentario
zona_centro,zona_sur,-0.9658388087587987,Tetracorica,0.9658388087587987,alta,territorio,dicotomica,territorio,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
zona_centro,zona_sur,-0.9658305934140735,MixedCor,0.9658305934140735,alta,territorio,dicotomica,territorio,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
ing_personal,quintil_5,0.7563813691905806,MixedCor,0.7563813691905806,alta,ingresos,continua,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
mod_ED,edad_18_24,0.7023473752357534,MixedCor,0.7023473752357534,alta,modulo,dicotomica,edad,dicotomica,NO,Revisar: posible asociacion fuerte entre bloques distintos
mod_ED,edad_18_24,0.7023285979043171,Tetracorica,0.7023285979043171,alta,modulo,dicotomica,edad,dicotomica,NO,Revisar: posible asociacion fuerte entre bloques distintos
edad_18_24,edad_65mas,-0.6646133349357617,Tetracorica,0.6646133349357617,moderada,edad,dicotomica,edad,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
edad_18_24,edad_65mas,-0.6645915889711624,MixedCor,0.6645915889711624,moderada,edad,dicotomica,edad,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
T_mod_10h,mod_TC,-0.6557617015698243,MixedCor,0.6557617015698243,moderada,tiempo_modulo,continua,modulo,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
ing_personal,educ_universitaria,0.6085707451364727,MixedCor,0.6085707451364727,moderada,ingresos,continua,educacion,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
zona_centro,zona_sur,-0.5511242478760313,Pearson,0.5511242478760313,moderada,territorio,dicotomica,territorio,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
zona_centro,zona_sur,-0.5511242478760313,Spearman,0.5511242478760313,moderada,territorio,dicotomica,territorio,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
edad_18_24,vive_pareja,-0.5384218001806995,MixedCor,0.5384218001806995,moderada,edad,dicotomica,hogar,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
edad_18_24,vive_pareja,-0.5384093647960907,Tetracorica,0.5384093647960907,moderada,edad,dicotomica,hogar,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
mod_ED,edad_65mas,-0.5209656366324038,Tetracorica,0.5209656366324038,moderada,modulo,dicotomica,edad,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
mod_ED,edad_65mas,-0.5209325069683409,MixedCor,0.5209325069683409,moderada,modulo,dicotomica,edad,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
quintil_5,ing_personal,0.5113863670167779,Pearson,0.5113863670167779,moderada,ingresos,dicotomica,ingresos,continua,SI,Correlacion esperable dentro del mismo bloque de variables
n_profesionales,educ_tecnica,0.5109598034062808,MixedCor,0.5109598034062808,moderada,hogar,continua,educacion,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
educ_secundaria,educ_tecnica,-0.5076637731818503,MixedCor,0.5076637731818503,moderada,educacion,dicotomica,educacion,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
educ_secundaria,educ_tecnica,-0.5076632658316824,Tetracorica,0.5076632658316824,moderada,educacion,dicotomica,educacion,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
n_profesionales,educ_universitaria,0.5037586453866933,MixedCor,0.5037586453866933,moderada,hogar,continua,educacion,dicotomica,NO,Revisar con cautela: asociacion moderada entre bloques distintos
n_profesionales,quintil_5,0.4994322414955689,MixedCor,0.4994322414955689,baja,hogar,continua,ingresos,dicotomica,NO,Baja o manejable
quintil_3,quintil_4,-0.4986542318053753,MixedCor,0.4986542318053753,baja,ingresos,dicotomica,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
quintil_3,quintil_4,-0.4986538610661704,Tetracorica,0.4986538610661704,baja,ingresos,dicotomica,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
n_profesionales,educ_secundaria,-0.49520573889808206,MixedCor,0.49520573889808206,baja,hogar,continua,educacion,dicotomica,NO,Baja o manejable
educ_secundaria,educ_universitaria,-0.48982660746597206,Tetracorica,0.48982660746597206,baja,educacion,dicotomica,educacion,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
educ_secundaria,educ_universitaria,-0.489824935718546,MixedCor,0.489824935718546,baja,educacion,dicotomica,educacion,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
mod_ED,edad_18_24,0.48708352412783534,Pearson,0.48708352412783534,baja,modulo,dicotomica,edad,dicotomica,NO,Baja o manejable
mod_ED,edad_18_24,0.48708352412783534,Spearman,0.48708352412783534,baja,modulo,dicotomica,edad,dicotomica,NO,Baja o manejable
quintil_3,quintil_5,-0.47172912670471256,Tetracorica,0.47172912670471256,baja,ingresos,dicotomica,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
quintil_3,quintil_5,-0.4717275059072682,MixedCor,0.4717275059072682,baja,ingresos,dicotomica,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
educ_tecnica,educ_universitaria,-0.4653667388223693,Tetracorica,0.4653667388223693,baja,educacion,dicotomica,educacion,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
educ_tecnica,educ_universitaria,-0.46536512380945544,MixedCor,0.46536512380945544,baja,educacion,dicotomica,educacion,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
quintil_4,quintil_5,-0.458835507356516,Tetracorica,0.458835507356516,baja,ingresos,dicotomica,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
quintil_4,quintil_5,-0.45883320482568946,MixedCor,0.45883320482568946,baja,ingresos,dicotomica,ingresos,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
mod_ED,vive_pareja,-0.4552887580310099,MixedCor,0.4552887580310099,baja,modulo,dicotomica,hogar,dicotomica,NO,Baja o manejable
mod_ED,vive_pareja,-0.45527270830762956,Tetracorica,0.45527270830762956,baja,modulo,dicotomica,hogar,dicotomica,NO,Baja o manejable
educ_universitaria,ing_personal,0.4423559863543542,Pearson,0.4423559863543542,baja,educacion,dicotomica,ingresos,continua,NO,Baja o manejable
mod_TD,mod_TC,-0.4392131049595501,MixedCor,0.4392131049595501,baja,modulo,dicotomica,modulo,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
mod_TD,mod_TC,-0.43918755488830374,Tetracorica,0.43918755488830374,baja,modulo,dicotomica,modulo,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
mod_TC,T_mod_10h,-0.4289870283666646,Spearman,0.4289870283666646,baja,modulo,dicotomica,tiempo_modulo,continua,NO,Baja o manejable
educ_universitaria,ing_personal,0.4262869702018648,Spearman,0.4262869702018648,baja,educacion,dicotomica,ingresos,continua,NO,Baja o manejable
mod_TC,T_mod_10h,-0.4199644671142433,Pearson,0.4199644671142433,baja,modulo,dicotomica,tiempo_modulo,continua,NO,Baja o manejable
n_trabajadores,edad_65mas,-0.4123046107010891,MixedCor,0.4123046107010891,baja,hogar,continua,edad,dicotomica,NO,Baja o manejable
n_profesionales,educ_tecnica,0.39513658812295066,Spearman,0.39513658812295066,baja,hogar,continua,educacion,dicotomica,NO,Baja o manejable
n_profesionales,educ_universitaria,0.3940010678820591,Spearman,0.3940010678820591,baja,hogar,continua,educacion,dicotomica,NO,Baja o manejable
modulo_modelo,edad_modelo,0.3931739286666213,Cramer V base larga,0.3931739286666213,baja,modulo,categorica_nominal,edad,categorica_ordinal,NO,Baja o manejable
n_profesionales,educ_secundaria,-0.3897788124015638,Spearman,0.3897788124015638,baja,hogar,continua,educacion,dicotomica,NO,Baja o manejable
mod_TD,mod_CP,-0.38838966711029177,MixedCor,0.38838966711029177,baja,modulo,dicotomica,modulo,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
mod_TD,mod_CP,-0.3883875185071327,Tetracorica,0.3883875185071327,baja,modulo,dicotomica,modulo,dicotomica,SI,Correlacion esperable dentro del mismo bloque de variables
