indicador,valor
N personas base original enut_ii,8926
N filas persona-modulo MNL,13298
N personas MNL,8919
Promedio filas persona-modulo por persona,1.490974324475838
Media T_mod_10h,2.9398326816062568
Proporcion female,0.5868551661904046
Proporcion zona centro+metropolitana,0.5046623552413897
Proporcion zona sur,0.22965859527748533
Proporcion edad 18 a 24,0.09821025718153106
Proporcion edad 45 a 64,0.35967814708978796
Proporcion edad 65 o mas,0.13438110994134456
Media n_menores_18,0.8052338697548503
Media n_trabajadores,1.5511355090991126
Media n_profesionales,1.1723567453752444
Proporcion vive pareja,0.5497819220935479
Proporcion educ secundaria,0.2780869303654685
Proporcion educ tecnica,0.27086779966912317
Proporcion educ universitaria,0.23830651225748234
Proporcion quintil 2,0.20296285155662505
Proporcion quintil 3,0.2075500075199278
Proporcion quintil 4,0.1980748984809746
Proporcion quintil 5,0.17250714393141825
Media ingreso personal normal,191.93226951421266
