parametro,Estimate,Std. error,t value,Pr(> t),t_ratio,abs_t_ratio,odds_ratio
ASC2,0.1761991,0.1215171,1.4499939,0.1470602,1.4499939,1.4499939,1.1926754967043207
ASC3,-3.1354982,0.1989583,-15.7595771,0,-15.7595771,15.7595771,0.043478087649438536
ASC4,-1.3977269,0.2331338,-5.9953839,0,-5.9953839,5.9953839,0.2471581410645685
ASC5,0.1812656,0.1111352,1.6310366,0.1028826,1.6310366,1.6310366,1.198733520638679
ASC6,-2.9623266,0.2857078,-10.3683788,0,-10.3683788,10.3683788,0.0516984954209765
ASC7,-0.9865171,0.1091485,-9.0383013,0,-9.0383013,9.0383013,0.37287311182067706
BAGE18_2,0.40185,0.1199264,3.3508055,8.058e-4,3.3508055,3.3508055,1.494587127791928
BAGE18_5,0.3167255,0.106112,2.9848233,0.0028374,2.9848233,2.9848233,1.372625734442776
BAGE18_7,0.3118686,0.1388874,2.2454786,0.0247374,2.2454786,2.2454786,1.3659751920962855
BAGE65_2,0.5015826,0.1039826,4.8237157,1.4e-6,4.8237157,4.8237157,1.6513326027851836
BAGE65_3,0.9318524,0.1910794,4.8767808,1.1e-6,4.8767808,4.8767808,2.5392084535440844
BAGE65_5,0.5160104,0.0785953,6.5654141,0,6.5654141,6.5654141,1.6753304007431535
BCP_3,0.7537111,0.2648751,2.8455341,0.0044337,2.8455341,2.8455341,2.12487101136519
BCP_4,-1.9238171,0.8277614,-2.3241203,0.020119,-2.3241203,2.3241203,0.14604841538776836
BED_2,0.701391,0.1365185,5.1377006,3e-7,5.1377006,5.1377006,2.016555786576117
BED_6,-1.5865116,0.5664336,-2.8008784,0.0050964,-2.8008784,2.8008784,0.20463822806093585
BESC_2,-0.2406334,0.0876861,-2.7442587,0.0060648,-2.7442587,2.7442587,0.7861297687418458
BESC_4,-0.6551038,0.2040995,-3.209727,0.0013286,-3.209727,3.209727,0.5193881472992035
BESC_5,-0.3225643,0.0750385,-4.2986486,1.72e-5,-4.2986486,4.2986486,0.7242893585038482
BFEM_2,0.7665034,0.070714,10.8394932,0,10.8394932,10.8394932,2.1522276026065463
BFEM_3,0.9402961,0.1866731,5.0371257,5e-7,5.0371257,5.0371257,2.5607395410617704
BFEM_4,-0.9949184,0.1940014,-5.128407,3e-7,-5.128407,5.128407,0.36975361520808014
BFEM_5,0.4437377,0.0604759,7.3374353,0,7.3374353,7.3374353,1.5585216317790622
BFEM_6,-0.4767513,0.1538715,-3.098372,0.0019459,-3.098372,3.098372,0.6207969022859585
BFEM_7,0.6961473,0.0881882,7.8938856,0,7.8938856,7.8938856,2.006009248604594
BING_2,-0.0013381,2.677e-4,-4.9977526,6e-7,-4.9977526,4.9977526,0.9986627948566246
BING_4,-0.001751,5.957e-4,-2.9394683,0.0032878,-2.9394683,2.9394683,0.9982505321061302
BING_5,-0.0011698,1.924e-4,-6.0796405,0,-6.0796405,6.0796405,0.9988308839492994
BING_7,-7.936e-4,2.379e-4,-3.3359886,8.5e-4,-3.3359886,3.3359886,0.9992067148171948
BNPROF_4,-0.3340482,0.0973665,-3.4308323,6.017e-4,-3.4308323,3.4308323,0.7160192692666741
BNTRAB_2,0.1116268,0.034894,3.1990311,0.0013789,3.1990311,3.1990311,1.118095509528015
BPAREJA_2,-0.7319098,0.0704355,-10.391205,0,-10.391205,10.391205,0.4809895185837381
BPAREJA_3,-0.7793867,0.1673722,-4.6566076,3.2e-6,-4.6566076,4.6566076,0.45868723794129
BPAREJA_4,-0.4131736,0.1702119,-2.427408,0.0152071,-2.427408,2.427408,0.6615474282252174
BPAREJA_5,-0.6387815,0.0600866,-10.631006,0,-10.631006,10.631006,0.527935321467456
BPAREJA_6,-0.4069219,0.1418624,-2.8684274,0.0041252,-2.8684274,2.8684274,0.6656961791429216
BPAREJA_7,-0.5458119,0.0847505,-6.4402235,0,-6.4402235,6.4402235,0.5793712008547625
BQ3_5,-0.2601936,0.0684465,-3.8014169,1.439e-4,-3.8014169,3.8014169,0.770902324665499
BQ4_2,-0.2497064,0.0854202,-2.923271,0.0034637,-2.923271,2.923271,0.7790294725512875
BQ4_5,-0.3359284,0.0756228,-4.4421553,8.9e-6,-4.4421553,4.4421553,0.7146742746622565
BQ5_2,-0.5175963,0.1145122,-4.520011,6.2e-6,-4.520011,4.520011,0.5959513158908881
BQ5_5,-0.5122775,0.0939425,-5.4530984,0,-5.4530984,5.4530984,0.5991295063370377
BTC_2,-1.2088404,0.1140377,-10.6003553,0,-10.6003553,10.6003553,0.2985432695614223
BTC_4,-2.2239173,0.5268153,-4.2214362,2.43e-5,-4.2214362,4.2214362,0.10818448659228799
BTC_6,-1.1684614,0.4492489,-2.6009222,0.0092974,-2.6009222,2.6009222,0.3108448393940695
BTC_7,-0.993716,0.1463505,-6.7899742,0,-6.7899742,6.7899742,0.370198474350726
BTD_2,-0.8612382,0.0785504,-10.9641522,0,-10.9641522,10.9641522,0.4226384472767773
BTD_4,-0.8962866,0.1992306,-4.4987395,6.8e-6,-4.4987395,4.4987395,0.40808222215160567
BTD_5,1.1272687,0.0565161,19.9459645,0,19.9459645,19.9459645,3.0872128698187704
BTD_6,-3.0154821,0.5214224,-5.7831851,0,-5.7831851,5.7831851,0.049022196188439233
BTEC_2,-0.5524936,0.0932576,-5.9243791,0,-5.9243791,5.9243791,0.5755129205920633
BTEC_5,-0.6088665,0.0798972,-7.6206241,0,-7.6206241,7.6206241,0.5439671064711606
BTEC_7,-0.272865,0.0954621,-2.8583591,0.0042584,-2.8583591,2.8583591,0.7611955420910343
BTMOD_5,-0.0489726,0.0158054,-3.0984666,0.0019452,-3.0984666,3.0984666,0.9522072198188916
BTMOD_6,0.474471,0.0462867,10.2507095,0,10.2507095,10.2507095,1.6071637829297947
BUNI_2,-0.850573,0.1122362,-7.5784201,0,-7.5784201,7.5784201,0.4271700933456788
BUNI_3,-0.7981756,0.2215146,-3.6032642,3.142e-4,-3.6032642,3.6032642,0.4501494681155214
BUNI_4,-0.8366827,0.2825264,-2.961432,0.0030621,-2.961432,2.961432,0.4331450147519981
BUNI_5,-0.8523409,0.0931293,-9.1522336,0,-9.1522336,9.1522336,0.42641556649818074
BUNI_6,-0.9002905,0.1800679,-4.9997273,6e-7,-4.9997273,4.9997273,0.40645156840804103
BUNI_7,-0.5462889,0.114555,-4.7687913,1.9e-6,-4.7687913,4.7687913,0.5790949066933511
BZCEN_4,0.9159491,0.1757842,5.2106441,2e-7,5.2106441,5.2106441,2.499146066188422
BZCEN_5,0.2701242,0.06117,4.4159584,1.01e-5,4.4159584,4.4159584,1.3101271584219667
BZCEN_6,-0.5894305,0.15452,-3.8145907,1.364e-4,-3.8145907,3.8145907,0.5546430640327839
BZSUR_2,-0.4897021,0.0782615,-6.2572543,0,-6.2572543,6.2572543,0.612808922773527
BZSUR_3,-0.4590259,0.2043023,-2.2467971,0.024653,-2.2467971,2.2467971,0.6318988785065988
BZSUR_5,-0.3369078,0.0794722,-4.2393141,2.24e-5,-4.2393141,4.2393141,0.7139746653322648
BZSUR_6,-0.6745325,0.186701,-3.6129027,3.028e-4,-3.6129027,3.6129027,0.5093945068825138
BZSUR_7,-0.3029241,0.0952722,-3.1795654,0.001475,-3.1795654,3.1795654,0.7386551581694154
