parametro,start
ASC1,0
ASC2,0
BTD_2,0
BTC_2,0
BED_2,0
BFEM_2,0
BZSUR_2,0
BAGE18_2,0
BAGE65_2,0
BNTRAB_2,0
BPAREJA_2,0
BESC_2,0
BTEC_2,0
BUNI_2,0
BQ4_2,0
BQ5_2,0
BING_2,0
ASC3,0
BCP_3,0
BFEM_3,0
BZSUR_3,0
BAGE65_3,0
BPAREJA_3,0
BUNI_3,0
ASC4,0
BTD_4,0
BTC_4,0
BCP_4,0
BFEM_4,0
BZCEN_4,0
BNPROF_4,0
BPAREJA_4,0
BESC_4,0
BUNI_4,0
BING_4,0
ASC5,0
BTD_5,0
BTMOD_5,0
BFEM_5,0
BZCEN_5,0
BZSUR_5,0
BAGE18_5,0
BAGE65_5,0
BPAREJA_5,0
BESC_5,0
BTEC_5,0
BUNI_5,0
BQ3_5,0
BQ4_5,0
BQ5_5,0
BING_5,0
ASC6,0
BTD_6,0
BTC_6,0
BED_6,0
BTMOD_6,0
BFEM_6,0
BZCEN_6,0
BZSUR_6,0
BPAREJA_6,0
BUNI_6,0
ASC7,0
BTC_7,0
BFEM_7,0
BZSUR_7,0
BAGE18_7,0
BPAREJA_7,0
BTEC_7,0
BUNI_7,0
BING_7,0
