id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1
00001-1-01,TO,7,48,7,0,0,0,0,4.8,0,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,200,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
00001-1-01,TD,2,12.27,2,1,0,0,0,1.2269999999999999,0,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,200,1,2,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00001-1-03,TO,6,45,6,0,0,0,0,4.5,1,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,200,2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1
00002-1-01,TO,2,45,2,0,0,0,0,4.5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00002-1-01,TD,2,21.51,2,1,0,0,0,2.1510000000000002,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00006-1-03,TD,5,12.79,5,1,0,0,0,1.279,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00007-1-01,TO,5,60,5,0,0,0,0,6,0,0,0,0,1,0,1,3,1,1,0,0,0,0,1,0,0,125,5,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00007-1-02,TO,2,50,2,0,0,0,0,5,0,0,0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,150,6,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00008-1-01,TO,1,45,1,0,0,0,0,4.5,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,300,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00008-1-01,TD,1,6.8,1,1,0,0,0,0.6799999999999999,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,300,7,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00008-1-02,TD,5,31.62,5,1,0,0,0,3.162,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,8,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00009-1-01,TD,2,37.43,2,1,0,0,0,3.743,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,9,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00011-1-01,TD,5,7.17,5,1,0,0,0,0.717,0,1,0,0,1,0,0,2,1,0,0,0,1,0,0,0,1,650,10,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00011-1-02,TO,5,50,5,0,0,0,0,5,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,200,11,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00014-1-01,TO,1,65,1,0,0,0,0,6.5,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,250,12,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00014-1-01,TD,1,12.58,1,1,0,0,0,1.258,0,1,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,250,12,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00017-1-01,TO,2,40,2,0,0,0,0,4,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,215.83,13,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00017-1-01,TD,5,6.78,5,1,0,0,0,0.678,0,1,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,215.83,13,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00020-1-02,TO,1,40,1,0,0,0,0,4,1,0,1,0,0,0,1,2,2,1,0,0,1,0,0,1,0,287.07,14,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00020-1-02,TD,1,12.67,1,1,0,0,0,1.267,1,0,1,0,0,0,1,2,2,1,0,0,1,0,0,1,0,287.07,14,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00020-1-02,TC,1,5.5,1,0,1,0,0,0.55,1,0,1,0,0,0,1,2,2,1,0,0,1,0,0,1,0,287.07,14,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00022-1-01,TO,1,40,1,0,0,0,0,4,1,0,1,0,0,0,2,2,1,1,0,1,0,0,0,1,0,243.75,15,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00023-1-01,TO,1,40,1,0,0,0,0,4,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1750,16,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00023-1-01,TD,5,12.99,5,1,0,0,0,1.299,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,1750,16,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00023-1-02,TO,1,44,1,0,0,0,0,4.4,1,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,225,17,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00024-1-02,TO,1,40,1,0,0,0,0,4,1,1,0,0,1,0,0,3,4,1,0,0,1,0,0,0,1,420,18,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00027-1-01,TO,1,48,1,0,0,0,0,4.8,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,300,19,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00030-1-01,TD,5,29.88,5,1,0,0,0,2.988,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,125.71,20,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00031-1-01,TD,5,40.97,5,1,0,0,0,4.0969999999999995,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,154.5,21,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00032-1-01,TD,5,80.26,5,1,0,0,0,8.026,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,22,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00032-1-03,TO,1,40,1,0,0,0,0,4,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,100,23,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00035-1-01,TO,1,48,1,0,0,0,0,4.8,0,1,0,0,0,0,3,2,0,1,1,0,0,1,0,0,0,100,24,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00037-1-01,TO,2,45,2,0,0,0,0,4.5,0,1,0,0,1,0,1,3,2,1,0,1,0,0,0,1,0,176.48,25,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00037-1-02,TD,5,52.97,5,1,0,0,0,5.297,1,1,0,0,1,0,1,3,2,1,0,1,0,0,0,1,0,138.47,26,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00039-1-01,TO,2,48,2,0,0,0,0,4.8,0,0,0,0,0,1,2,2,2,1,0,0,0,0,0,1,0,408.6,27,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00039-1-03,TD,1,22.18,1,1,0,0,0,2.218,1,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,0,28,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00039-1-03,TC,7,40.2,7,0,1,0,0,4.0200000000000005,1,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,0,0,28,2,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
00041-1-01,TO,7,50,7,0,0,0,0,5,1,1,0,0,1,0,3,2,2,1,0,0,1,0,0,0,1,264.13,29,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1
00046-1-04,TO,1,5,1,0,0,0,0,0.5,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,30,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00046-1-04,TD,5,18.87,5,1,0,0,0,1.887,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,30,2,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00046-1-04,TC,1,7.95,1,0,1,0,0,0.795,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,30,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00046-1-04,ED,5,33.18,5,0,0,1,0,3.318,1,1,0,1,0,0,2,4,2,0,1,0,0,0,0,0,1,12.5,30,4,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00047-1-01,TD,5,20.44,5,1,0,0,0,2.044,1,1,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,15,31,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1
00051-1-01,TO,1,44,1,0,0,0,0,4.4,1,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,450,32,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00051-1-01,TC,1,32.39,1,0,1,0,0,3.239,1,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,450,32,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00051-1-02,TO,1,40,1,0,0,0,0,4,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,400,33,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00051-1-02,TD,1,19.2,1,1,0,0,0,1.92,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,400,33,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
00051-1-02,TC,1,9.38,1,0,1,0,0,0.9380000000000001,0,0,0,0,0,0,2,2,2,1,0,0,1,0,0,0,1,400,33,3,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1
