parametro,aparece_en_eq,aparece_en_summary,es_constante,comentario
ASC1,TRUE,FALSE,TRUE,Correcto: ASC1 es auto/moto y queda fijo como referencia
ASC2,TRUE,TRUE,TRUE,
BTD_2,TRUE,TRUE,FALSE,
BTC_2,TRUE,TRUE,FALSE,
BED_2,TRUE,TRUE,FALSE,
BFEM_2,TRUE,TRUE,FALSE,
BZSUR_2,TRUE,TRUE,FALSE,
BAGE65_2,TRUE,TRUE,FALSE,
BNTRAB_2,TRUE,TRUE,FALSE,
BPAREJA_2,TRUE,TRUE,FALSE,
BESC_2,TRUE,TRUE,FALSE,
BTEC_2,TRUE,TRUE,FALSE,
BUNI_2,TRUE,TRUE,FALSE,
BQ4_2,TRUE,TRUE,FALSE,
BQ5_2,TRUE,TRUE,FALSE,
ASC3,TRUE,TRUE,TRUE,
BCP_3,TRUE,TRUE,FALSE,
BFEM_3,TRUE,TRUE,FALSE,
BZSUR_3,TRUE,TRUE,FALSE,
BAGE65_3,TRUE,TRUE,FALSE,
BPAREJA_3,TRUE,TRUE,FALSE,
BUNI_3,TRUE,TRUE,FALSE,
ASC4,TRUE,TRUE,TRUE,
BTD_4,TRUE,TRUE,FALSE,
BTC_4,TRUE,TRUE,FALSE,
BCP_4,TRUE,TRUE,FALSE,
BFEM_4,TRUE,TRUE,FALSE,
BZCEN_4,TRUE,TRUE,FALSE,
BPAREJA_4,TRUE,TRUE,FALSE,
BESC_4,TRUE,TRUE,FALSE,
BUNI_4,TRUE,TRUE,FALSE,
ASC5,TRUE,TRUE,TRUE,
BTD_5,TRUE,TRUE,FALSE,
BTMOD_5,TRUE,TRUE,FALSE,
BFEM_5,TRUE,TRUE,FALSE,
BZCEN_5,TRUE,TRUE,FALSE,
BZSUR_5,TRUE,TRUE,FALSE,
BAGE65_5,TRUE,TRUE,FALSE,
BPAREJA_5,TRUE,TRUE,FALSE,
BESC_5,TRUE,TRUE,FALSE,
BTEC_5,TRUE,TRUE,FALSE,
BUNI_5,TRUE,TRUE,FALSE,
BQ3_5,TRUE,TRUE,FALSE,
BQ4_5,TRUE,TRUE,FALSE,
BQ5_5,TRUE,TRUE,FALSE,
ASC6,TRUE,TRUE,TRUE,
BTD_6,TRUE,TRUE,FALSE,
BTC_6,TRUE,TRUE,FALSE,
BED_6,TRUE,TRUE,FALSE,
BTMOD_6,TRUE,TRUE,FALSE,
BFEM_6,TRUE,TRUE,FALSE,
BZCEN_6,TRUE,TRUE,FALSE,
BZSUR_6,TRUE,TRUE,FALSE,
BPAREJA_6,TRUE,TRUE,FALSE,
BUNI_6,TRUE,TRUE,FALSE,
ASC7,TRUE,TRUE,TRUE,
BTC_7,TRUE,TRUE,FALSE,
BFEM_7,TRUE,TRUE,FALSE,
BZSUR_7,TRUE,TRUE,FALSE,
BPAREJA_7,TRUE,TRUE,FALSE,
BTEC_7,TRUE,TRUE,FALSE,
BUNI_7,TRUE,TRUE,FALSE,
