variable,original_enut,interno_auto_ref,n
modo_cp,1,2,176
modo_cp,2,1,193
modo_cp,3,3,30
modo_cp,4,4,2
modo_cp,5,5,147
modo_cp,6,6,9
modo_cp,7,7,47
modo_ed,1,2,285
modo_ed,2,1,118
modo_ed,3,3,2
modo_ed,4,4,10
modo_ed,5,5,81
modo_ed,6,6,5
modo_ed,7,7,54
modo_tcnr,1,2,196
modo_tcnr,2,1,1057
modo_tcnr,3,3,31
modo_tcnr,4,4,7
modo_tcnr,5,5,455
modo_tcnr,6,6,9
modo_tcnr,7,7,98
modo_tdnr,1,2,498
modo_tdnr,2,1,1781
modo_tdnr,3,3,82
modo_tdnr,4,4,51
modo_tdnr,5,5,2454
modo_tdnr,6,6,6
modo_tdnr,7,7,523
modo_to,1,2,1125
modo_to,2,1,2110
modo_to,3,3,84
modo_to,4,4,152
modo_to,5,5,701
modo_to,6,6,289
modo_to,7,7,443
