id_persona,PeID
00001-1-01,1
00001-1-03,2
00002-1-01,3
00006-1-03,4
00007-1-01,5
00007-1-02,6
00008-1-01,7
00008-1-02,8
00009-1-01,9
00011-1-01,10
00011-1-02,11
00014-1-01,12
00017-1-01,13
00020-1-02,14
00022-1-01,15
00023-1-01,16
00023-1-02,17
00024-1-02,18
00027-1-01,19
00030-1-01,20
00031-1-01,21
00032-1-01,22
00032-1-03,23
00035-1-01,24
00037-1-01,25
00037-1-02,26
00039-1-01,27
00039-1-03,28
00041-1-01,29
00046-1-04,30
00047-1-01,31
00051-1-01,32
00051-1-02,33
00055-1-04,34
00056-1-02,35
00056-1-03,36
00058-1-01,37
00058-1-03,38
00058-1-04,39
00059-1-02,40
00061-1-03,41
00062-1-02,42
00065-1-01,43
00065-1-02,44
00067-1-01,45
00069-1-01,46
00071-1-01,47
00072-1-01,48
00074-1-01,49
00075-1-01,50
00076-1-01,51
00076-1-02,52
00077-1-02,53
00078-1-01,54
00080-1-01,55
00080-1-02,56
00088-1-02,57
00092-1-01,58
00092-1-03,59
00094-1-02,60
00098-1-02,61
00099-1-01,62
00099-1-02,63
00100-1-02,64
00101-1-01,65
00103-1-02,66
00111-1-03,67
00113-1-01,68
00115-1-02,69
00118-1-02,70
00119-1-01,71
00119-1-02,72
00120-1-02,73
00125-1-04,74
00126-1-01,75
00126-1-03,76
00127-1-01,77
00128-1-01,78
00129-1-01,79
00134-1-02,80
00135-1-02,81
00137-1-02,82
00138-1-01,83
00144-1-05,84
00146-1-02,85
00147-1-01,86
00147-1-02,87
00150-1-05,88
00151-1-02,89
00153-1-01,90
00154-1-01,91
00156-1-02,92
00157-1-01,93
00158-1-01,94
00158-1-02,95
00159-1-02,96
00161-1-02,97
00163-1-03,98
00164-1-03,99
00165-1-01,100
00168-1-01,101
00173-1-02,102
00176-1-01,103
00177-1-02,104
00181-1-01,105
00182-1-01,106
00182-2-01,107
00185-1-02,108
00186-1-02,109
00190-1-01,110
00194-1-02,111
00199-1-01,112
00203-1-01,113
00205-1-02,114
00206-1-02,115
00208-1-01,116
00213-1-01,117
00213-1-02,118
00215-1-03,119
00216-1-01,120
00220-1-01,121
00220-1-02,122
00220-1-03,123
00222-1-04,124
00223-1-01,125
00224-1-01,126
00224-1-06,127
00227-1-02,128
00228-1-01,129
00229-1-01,130
00231-1-01,131
00231-1-04,132
00232-1-01,133
00232-1-02,134
00233-1-01,135
00235-1-02,136
00238-1-02,137
00239-1-01,138
00240-1-02,139
00251-1-01,140
00252-1-02,141
00256-1-01,142
00258-1-01,143
00259-2-01,144
00260-1-02,145
00261-1-01,146
00263-1-01,147
00263-1-02,148
00264-1-02,149
00266-1-01,150
00269-1-02,151
00272-1-01,152
00275-1-01,153
00278-1-01,154
00281-1-02,155
00282-1-01,156
00284-1-01,157
00287-1-01,158
00288-1-01,159
00288-1-02,160
00289-1-04,161
00290-1-01,162
00291-1-01,163
00292-1-01,164
00293-1-01,165
00295-1-01,166
00297-1-01,167
00299-1-04,168
00299-1-05,169
00303-1-01,170
00306-1-01,171
00307-1-01,172
00308-1-01,173
00309-1-02,174
00313-1-01,175
00316-1-02,176
00321-1-01,177
00322-1-01,178
00322-1-04,179
00335-1-01,180
00336-1-02,181
00338-1-01,182
00340-1-01,183
00341-1-01,184
00341-1-04,185
00342-1-01,186
00343-1-02,187
00345-1-01,188
00345-1-02,189
00346-1-03,190
00347-1-01,191
00348-1-02,192
00354-1-02,193
00354-1-03,194
00356-1-02,195
00358-1-01,196
00360-1-01,197
00361-1-01,198
00361-1-03,199
00362-1-02,200
00368-1-01,201
00369-1-01,202
00370-1-01,203
00372-1-02,204
00373-1-01,205
00374-1-02,206
00379-1-01,207
00385-1-04,208
00386-1-02,209
00388-1-01,210
00389-1-02,211
00390-1-04,212
00392-1-02,213
00393-1-01,214
00393-1-02,215
00394-1-04,216
00395-1-01,217
00399-1-01,218
00401-1-01,219
00401-1-02,220
00403-1-02,221
00408-1-01,222
00408-1-02,223
00410-1-02,224
00410-1-03,225
00413-1-02,226
00414-1-02,227
00419-1-02,228
00420-1-01,229
00421-1-01,230
00426-1-02,231
00430-1-02,232
00431-1-01,233
00432-1-02,234
00433-1-02,235
00438-1-02,236
00440-1-01,237
