modulo,choice,n,pct_modulo,alternativa
TO,1,2109,43.032034278718626,1 Auto/moto particular
TO,2,1125,22.954499081820035,2 Transporte publico
TO,3,84,1.7139359314425628,3 Taxi/app
TO,4,152,3.101407875943685,4 Bicicleta/ciclos
TO,5,701,14.303203427871862,5 A pie
TO,6,289,5.89675576412977,6 Otros
TO,7,441,8.998163640073454,7 Multimodal
TD,1,1777,32.968460111317256,1 Auto/moto particular
TD,2,498,9.239332096474953,2 Transporte publico
TD,3,81,1.50278293135436,3 Taxi/app
TD,4,51,0.9461966604823747,4 Bicicleta/ciclos
TD,5,2454,45.52875695732838,5 A pie
TD,6,6,0.11131725417439703,6 Otros
TD,7,523,9.703153988868275,7 Multimodal
TC,1,1056,57.08108108108108,1 Auto/moto particular
TC,2,196,10.594594594594595,2 Transporte publico
TC,3,31,1.6756756756756757,3 Taxi/app
TC,4,7,0.3783783783783784,4 Bicicleta/ciclos
TC,5,453,24.486486486486488,5 A pie
TC,6,9,0.4864864864864865,6 Otros
TC,7,98,5.297297297297297,7 Multimodal
ED,1,118,21.26126126126126,1 Auto/moto particular
ED,2,285,51.351351351351354,2 Transporte publico
ED,3,2,0.36036036036036034,3 Taxi/app
ED,4,10,1.8018018018018018,4 Bicicleta/ciclos
ED,5,81,14.594594594594595,5 A pie
ED,6,5,0.9009009009009009,6 Otros
ED,7,54,9.72972972972973,7 Multimodal
CP,1,192,31.893687707641195,1 Auto/moto particular
CP,2,176,29.235880398671096,2 Transporte publico
CP,3,29,4.8172757475083055,3 Taxi/app
CP,4,2,0.33222591362126247,4 Bicicleta/ciclos
CP,5,147,24.41860465116279,5 A pie
CP,6,9,1.495016611295681,6 Otros
CP,7,47,7.807308970099668,7 Multimodal
