PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tf1,Tf2,w,ta,Ec_cuentas_num,Ec_hogar_num,Ec_salud_num,Ec_transporte_num,Ec_educacion_num,ing_jub_aps_num,ing_gpp_num,w_dc_num,t_domestic_work_num,t_care_work_num,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,Ec,Tc,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec,filtro_finite,filtro_trabajo_salario,filtro_tiempo,filtro_Ec,filtro_ingreso_potencial,filtro_mtuem_final
1,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,61.25,17.46,12.58,3.959658,168,28.35,9.15,10.12,24.12,4.31,0,0,3.209738,12.27,0.98,76.05,0,76.05,42.5290285,118.57902849999999,76.71,168,30.04,123.95002400000001,242.89815032000007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,65.81,24.23,10.64,3.997689,168,28.35,9.15,10.12,24.12,4.31,0,0,3.031614,13.28,7.53,76.05,0,76.05,63.087887339999995,139.13788734,67.32,168,34.870000000000005,123.95002574999998,263.34944118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
3,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,66.51,23.56,9.99,1.027351,168,0,0,0,0,0,0,0,3.176621,21.51,0,0,0,0,68.32911771,68.32911771,67.94,168,33.55,-2.700000010236181e-6,34.46762334999998,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
4,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,12.79,78.66,11.88,3.134717,168,0,0,0,0,0,0,0,3.134717,12.79,0,0,0,0,40.09303043,40.09303043,64.67000000000002,168,90.53999999999999,0,283.81727717999996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
5,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,61.04,31.41,8,2.100166,168,21.58,6.19,6.1,19.66,3.17,0,0,3.071291,1.04,0,56.7,0,56.7,3.19414264,59.894142640000005,67.55000000000001,168,39.41,68.29999000000001,151.06753206,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
6,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,53.07,52.11,5.85,3.008345,168,25.89,7.43,7.32,23.59,3.8,0,0,3.144257,2.91,0.16,68.03,0,68.03,9.652868990000002,77.68286899,56.970000000000006,168,57.96,81.97000015999998,256.33367636,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
7,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,51.8,38.87,15.56,6.237903,168,51.83,19.9,27,36.64,3.55,0,0,3.400497,6.8,0,138.92000000000002,0,138.92000000000002,23.1233796,162.0433796,61.77000000000001,168,54.43,161.07999579999998,500.60905608999997,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
8,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,31.62,49.05,12,2.99152,168,0,0,0,0,0,0,0,2.99152,31.62,0,0,0,0,94.5918624,94.5918624,75.33,168,61.05,0,182.63229600000003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
9,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,77.06,31.36,6.2,3.1810330000000002,168,0,0,0,0,0,0,0,3.1810330000000002,37.43,39.63,0,0,0,245.13040298,245.13040298,53.379999999999995,168,37.56,0,119.47959948000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
10,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,47.17,33.05,12.36,14.254286,168,91.84,41.44,51.54,82.29,23.84,0,0,3.120596,7.17,0,290.95,0,290.95,22.37467332,313.32467332,75.42,168,45.41,359.0499973000001,1006.33712456,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
11,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,75.16,38.82,8.36,3.712825,168,28.26,12.75,15.86,25.32,7.34,0,0,3.142128,25.16,0,89.53,0,89.53,79.05594048,168.58594048,45.660000000000004,168,47.18,110.46998651999999,285.64107002000003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
12,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,77.67,32.2,6.86,3.798088,168,56.1,14.99,16.85,39.01,11.41,0,0,3.551501,12.58,0.09,138.35999999999999,0,138.35999999999999,44.99751767,183.35751767,51.269999999999996,168,39.06,111.63997728999999,259.99329457,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
13,00017-1-01,60 o mas,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Usuarios publicos,46.78,56.91,6.33,2.548457,168,32.83,9.58,15.99,19.1,0.65,53.75,62.0774647887324,2.834339,6.78,0,78.15,115.8274647887324,-37.677464788732394,19.21681842,-18.460646368732395,57.980000000000004,168,63.239999999999995,137.67746482873238,298.8418855087324,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
14,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,58.17,34.45,9.3,4.422605,168,63.43,24.14,19.88,39.31,8.04,0,87.0748299319728,3.151511,12.67,5.5,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,124.9881249380272,66.08,168,43.75,132.27480791197283,325.76377666197277,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
15,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,58.44,28.2,10.67,3.520064,168,42.02,15.02,15.71,30.18,5.18,0,93.75,3.021286,17.56,0.88,108.11000000000001,93.75,14.360000000000014,55.71251383999999,70.07251384,70.69,168,38.87,135.64002632,272.464914,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
16,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,52.99,48.59,3.9,33.771639,168,156.63,88.79,67.57,176.36,112.49,0,0,3.045354,12.99,0,601.84,0,601.84,39.55914846,641.39914846,62.51999999999999,168,52.49,1148.1600021500003,2920.8333332600005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
17,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,53.92,47.81,6.42,4.7225,168,20.14,11.42,8.69,22.67,14.46,0,0,2.987623,9.92,0,77.38,0,77.38,29.637220160000002,107.01722016,59.849999999999994,168,54.230000000000004,147.61997984,403.72115484000005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
18,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,47.96,28.93,11.23,8.842511,168,32.24,21.39,20.16,42.68,14.74,0,20,3.025981,7.96,0,131.21,20,111.21000000000001,24.086808759999997,135.29680876,79.87999999999998,168,40.16,288.7900188,643.9052605600002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
19,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,62.06,25.63,12.46,5.640839,168,43.23,12.84,18.84,46.76,8.85,0,0,3.561201,14.06,0,130.51999999999998,0,130.51999999999998,50.07048606,180.59048606,67.85,168,38.09,169.47998228,384.33953979,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
20,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,29.9,35.84,22.8,3.008059,168,15.46,5.76,8.15,13.99,5.65,68.75,56.9560669456067,3.008059,29.88,0.02,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,13.244897154393286,79.46,168,58.64,76.6960669456067,253.08864670560672,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
21,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,40.97,64.13,12.11,3.025548,168,30.8,7.21,12.07,6.4,0.18,51.5,103,3.025548,40.97,0,56.66,154.5,-97.84,123.95670156,26.116701559999996,50.790000000000006,168,76.24,97.84,328.50777952,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,80.26,5.58,10.45,3.597166,168,0,0,0,0,0,0,0,3.597166,80.26,0,0,0,0,288.70854316000003,288.70854316000003,71.71,168,16.03,0,57.66257098,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
23,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,52.58,41.84,11.39,2.64174,168,31.41,7.68,10.14,15.48,2.82,0,0,3.092423,12.58,0,67.53,0,67.53,38.90268134,106.43268134,62.19,168,53.230000000000004,32.470007859999996,173.08982806,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
24,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,54.5,31.72,7.35,2.206263,168,33.22,7.63,7.78,17.52,2.41,0,0,3.114049,4.27,2.23,68.56,0,68.56,20.241318500000002,88.80131850000001,74.43,168,39.07,31.44001499999999,117.63871040999996,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
