PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
1,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,61.25,46.71074829819069,17.46,35.66821024738181,12.58,8.911041454427522,76.71,3.959658,118.57902849999999,76.05,0,76.05,42.5290285,5.655981882572232,15.673035000809405,1.6963238825722318,11.713377000809405,1.4284016151324765,0.42840161513247654,123.95002400000001,66.37955968491715,242.89815032000007,14.539251701809313,-18.208210247381807,3.668958545572478,168,168,0
2,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,65.81,52.57009674037573,24.23,38.49311235468385,10.64,9.61679090494042,67.32,3.997689,139.13788734,76.05,0,76.05,63.087887339999995,5.6073643725065425,13.502092861244678,1.6096753725065427,9.504403861244679,1.4026514750163264,0.40265147501632637,123.95002574999998,71.02101012793591,263.34944118,13.23990325962427,-14.263112354683852,1.0232090950595811,168,168,0
3,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,66.51,73.16537325918694,23.56,21.518602589671623,9.99,5.376024151141443,67.94,1.027351,68.32911771,0,0,0,68.32911771,0.9656772257219135,-3.056874843229693e-7,-0.0616737742780864,-1.0273513056874841,0.9399681566688635,-0.060031843331136495,-2.700000010236181e-6,6.83740167319894,34.46762334999998,-6.655373259186931,2.0413974103283756,4.613975848858558,168,168,0
4,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,12.79,41.908825296855234,78.66,49.14356543279569,11.88,12.27760927034905,64.67000000000002,3.134717,40.09303043,0,0,0,40.09303043,5.644955053484899,0,2.5102380534848985,-3.134717,1.800786180533968,0.8007861805339679,0,91.27927667808217,283.81727717999996,-29.118825296855235,29.516434567204307,-0.397609270349049,168,168,0
5,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,61.04,48.53706814391112,31.41,41.535945474962524,8,10.37698638112635,67.55000000000001,2.100166,59.894142640000005,56.7,0,56.7,3.19414264,3.0761798542615075,6.58295099053979,0.9760138542615073,4.482784990539789,1.464731766089684,0.464731766089684,68.29999000000001,42.04175761552525,151.06753206,12.502931856088878,-10.125945474962524,-2.3769863811263505,168,168,0
6,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,53.07,50.70906667115008,52.11,48.263253647310435,5.85,12.057679681539472,56.970000000000006,3.008345,77.68286899,68.03,0,68.03,9.652868990000002,4.714457062489017,5.37196254199418,1.7061120624890171,2.3636175419941803,1.5671264640488431,0.5671264640488433,81.97000015999998,74.86749818482099,256.33367636,2.3609333288499172,3.846746352689564,-6.207679681539473,168,168,0
7,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,51.8,49.378908477609784,38.87,45.48700590080695,15.56,11.364085621583254,61.77000000000001,6.237903,162.0433796,138.92000000000002,0,138.92000000000002,23.1233796,9.753341192036714,11.241122793225294,3.515438192036714,5.003219793225294,1.5635608941076375,0.5635608941076374,161.07999579999998,145.97746172920748,500.60905608999997,2.4210915223902134,-6.6170059008069515,4.195914378416747,168,168,0
8,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,31.62,48.05057015784698,49.05,35.70035709378276,12,8.91907274837026,75.33,2.99152,94.5918624,0,0,0,94.5918624,4.184339797133964,0,1.1928197971339638,-2.99152,1.3987336862644957,0.39873368626449557,0,49.15237923860238,182.63229600000003,-16.430570157846976,13.349642906217234,3.08092725162974,168,168,0
9,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,77.06,85.57748962054528,31.36,23.23714119867373,6.2,5.805369180780996,53.379999999999995,3.1810330000000002,245.13040298,0,0,0,245.13040298,3.5436600363843365,0,0.36262703638433624,-3.1810330000000002,1.113996628260171,0.1139966282601709,0,27.094415560112026,119.47959948000002,-8.517489620545277,8.12285880132627,0.394630819219004,168,168,0
10,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,47.17,42.824800671325285,33.05,39.809526692515824,12.36,9.945672636158895,75.42,14.254286,313.32467332,290.95,0,290.95,22.37467332,22.682376405026037,30.033769439408786,8.428090405026037,15.779483439408786,1.5912671041556228,0.5912671041556229,359.0499973000001,297.1122833420626,1006.33712456,4.345199328674717,-6.759526692515827,2.414327363841105,168,168,0
