PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
7,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,138.92000000000002,0,138.92000000000002,23.1233796,168,54.43,161.07999579999998,500.60905608999997
12,77.67,32.2,6.86,51.269999999999996,3.798088,183.35751767,168,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,138.35999999999999,0,138.35999999999999,44.99751767,168,39.06,111.63997728999999,259.99329457
14,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,168,43.75,132.27480791197283,325.76377666197277
15,58.44,28.2,10.67,70.69,3.520064,70.07251384,168,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,108.11000000000001,93.75,14.360000000000014,55.71251383999999,168,38.87,135.64002632,272.464914
17,53.92,47.81,6.42,59.849999999999994,4.7225,107.01722016,168,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,77.38,0,77.38,29.637220160000002,168,54.230000000000004,147.61997984,403.72115484000005
18,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,131.21,20,111.21000000000001,24.086808759999997,168,40.16,288.7900188,643.9052605600002
19,62.06,25.63,12.46,67.85,5.640839,180.59048606,168,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,130.51999999999998,0,130.51999999999998,50.07048606,168,38.09,169.47998228,384.33953979
23,52.58,41.84,11.39,62.19,2.64174,106.43268134,168,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,67.53,0,67.53,38.90268134,168,53.230000000000004,32.470007859999996,173.08982806
24,54.5,31.72,7.35,74.43,2.206263,88.80131850000001,168,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,68.56,0,68.56,20.241318500000002,168,39.07,31.44001499999999,117.63871040999996
32,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,216.56,0,216.56,162.85129719999998,168,22.79,233.43996520000002,374.80515012000006
33,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,192.48999999999998,0,192.48999999999998,88.81452207999999,168,38.91,207.50998923999998,484.8470063799999
34,15.49,51.31,5.66,95.53999999999999,3.103409,48.071805409999996,168,00055-1-04,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,48.071805409999996,168,56.97,7.105427357601002e-15,176.80121073000004
37,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,00058-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,303.54999999999995,0,303.54999999999995,25.21371608,168,48.230000000000004,321.4500223600001,910.2560419799997
38,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,00058-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,272.25663423000003,168,22.31,-5.684341886080802e-14,69.03108886999996
42,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,283.53,0,283.53,47.33918098,168,42.29,416.46998024,986.8539024199999
43,76.25,31.1,6.21,54.44,3.273484,127.012062638889,168,00065-1-01,30 a 44,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,188.52,111.111111111111,77.40888888888901,49.60317375,168,37.31,122.59109236111098,244.724780401111
44,49.76,62.22,8.02,48.000000000000014,5.385343,114.72579015111098,168,00065-1-02,18 a 29,Mujeres,Quintil alto,Sur,Jovenes trabajadores,Motorizados privados,235.64,138.888888888889,96.75111111111099,17.97467904,168,70.24,153.248877528889,531.5153698488889
46,62.58,35.37,6.87,63.180000000000014,40.077886,731.2840738799999,168,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,723.2099999999999,0,723.2099999999999,8.07407388,168,42.239999999999995,1776.7900319999999,3469.6799366399996
48,23.45,38.98,10.01,95.56000000000002,3.093519,72.54302055,168,00072-1-01,45 a 59,Hombres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,72.54302055,168,48.989999999999995,0,151.55149580999998
52,56.96,31.02,18.93,61.089999999999996,3.106725,176.959056,168,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,0,0,0,176.959056,168,49.95,0,155.18091374999997
53,24.35,47.87,7.12,88.66,3.03938,74.008903,168,00077-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,74.008903,168,54.989999999999995,0,167.1355062
55,61.7,33.59,11.57,61.13999999999999,7.16786,299.33695830000005,168,00080-1-01,30 a 44,Hombres,Quintil bajo,Sur,Trabajadores rutinarios,Motorizados privados,232.08000000000004,0,232.08000000000004,67.2569583,168,45.160000000000004,142.9200037,466.6205613
56,58.34,32.55,7.45,69.66,3.038659,177.27536605999998,168,00080-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,177.27536605999998,168,40,2.842170943040401e-14,121.54636000000002
69,52.53,41.88,11.11,62.480000000000004,2.405518,48.57184077,168,00115-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Motorizados privados,57.21,22.5,34.71,13.86184077,168,52.99,77.79001976999999,205.25841859
70,79.31,40.85,4.84,43,2.63779,142.31314692,168,00118-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Motorizados privados,83.11,0,83.11,59.203146919999995,168,45.69,66.88997798,187.41060308
71,11.41,83.74,5.88,66.97000000000001,3.36889,38.4390349,168,00119-1-01,30 a 44,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,38.4390349,168,89.61999999999999,0,301.91992179999994
72,33.95,16.79,17.16,100.10000000000002,3.062645,87.72679775,168,00119-1-02,60 o mas,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,51.25,67.5,-16.25,103.97679775,168.00000000000003,33.95,16.25,120.22679774999992
73,59.26,42.84,10.58,55.32000000000001,8.97514,216.22678422,168,00120-1-02,45 a 59,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,134.35999999999999,0,134.35999999999999,81.86678422000001,168,53.42,315.64001218,795.0919909799999
75,57.63,38.29,10.57,61.51000000000001,4.42097,154.3404649,168,00126-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,99.56,0,99.56,54.7804649,168.00000000000003,48.86,100.44003619999998,316.44863039999984
76,67.11,46.94,4.38,49.57,2.738096,120.98363767,168,00126-1-03,18 a 29,Mujeres,Quintil medio,Sur,Jovenes trabajadores,Motorizados privados,62.23,0,62.23,58.753637669999996,168,51.32,62.76998489,203.28907161
77,74.59,39.33,7.18,46.9,6.270937,288.3317463928814,168,00127-1-01,18 a 29,Mujeres,Quintil alto,Sur,Cuidadores domesticos,Motorizados privados,246.43,50.8474576271186,195.5825423728814,92.74920402000001,168,46.51,179.4174444371186,471.0787243071186
81,46.33,40.79,6.94,73.94,3.153856,146.11814848,168,00135-1-02,45 a 59,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,146.11814848,168,47.73,0,150.53354688000002
82,74.46,35.47,5.16,52.91000000000001,4.253828,213.15998376000002,168,00137-1-02,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,108.92000000000002,0,108.92000000000002,104.23998376,168,40.629999999999995,103.58004911999998,276.41308075999996
85,56.95,32.02,12.69,66.34,2.962039,168.68812104999998,168,00146-1-02,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,168.68812104999998,168,44.71,2.842170943040401e-14,132.43276368999997
87,38.87,62.17,7.88,59.07999999999999,2.402284,75.03678728,168,00147-1-02,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,44.16,25,19.159999999999997,55.87678728,167.99999999999997,70.05,18.339991799999993,186.61998600000004
90,35.69,33.91,26.45,71.95,3.104627,110.80413762999999,168,00153-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,0,0,0,110.80413762999999,168,60.36,0,187.39528571999998
102,28.4,42.17,9.32,88.10999999999999,3.250721,26.863647131707296,168,00173-1-02,60 o mas,Mujeres,Quintil medio,Centro,Rutina flexible,Motorizados privados,65.47,130.9268292682927,-65.4568292682927,92.32047639999999,167.99999999999997,51.49,65.4568292682927,232.83645355829276
103,77.34,30.48,8.74,51.43999999999999,3.074477,193.94006604,168,00176-1-01,18 a 29,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Motorizados privados,93.66,0,93.66,100.28006604000001,168,39.22,43.83998514000001,164.42097307999998
104,83.01,20.11,3.04,61.839999999999996,2.968122,246.38380722,168,00177-1-02,18 a 29,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Motorizados privados,0,0,0,246.38380722,168,23.15,2.842170943040401e-14,68.7120243
109,25.66,80.56,4.78,57,4.999615,90.78887726,168,00186-1-02,18 a 29,Hombres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,67.03,29.53125,37.49875,53.290127260000006,168,85.34,37.50124364,464.16838774
111,22.24,62.36,30.43,52.96999999999999,3.065629,68.17958895999999,168,00194-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,0,0,0,68.17958895999999,168,92.78999999999999,0,284.45971491
115,54.02,28.03,13.82,72.13,0.236317,12.76585572,168,00206-1-02,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,0,0,0,12.76585572,168,41.85,-1.137999999833994e-5,9.889855070000001
116,55.21,36.02,7.7,69.06999999999998,4.675645,159.25235428000002,168,00208-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Motorizados privados,126.11000000000001,0,126.11000000000001,33.14235428,168,43.720000000000006,98.89000616999999,303.30920557000013
117,35.6,42.01,6.43,83.96000000000001,4.187139,102.67788588571428,168,00213-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,89.32999999999998,35.7142857142857,53.61571428571428,49.06217159999999,168,48.44,46.38426251428574,249.20927567428572
125,38.96,58.99,8.16,61.889999999999986,11.67662,277.84109567999997,168,00223-1-01,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Motorizados privados,247.92,0,247.92,29.921095680000004,168,67.15,177.08001952,961.1650525200001
