PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
7,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,51.8,51.69675171330363,38.87,43.536351476530925,15.56,10.996896810165435,61.77000000000001,6.237903,162.0433796,138.92000000000002,0,138.92000000000002,23.1233796,10.437328732590403,10.499106315472584,4.199425732590403,4.261203315472584,1.6732111308223938,0.6732111308223938,161.07999579999998,160.43594300267185,500.60905608999997,0.10324828669637043,-4.666351476530927,4.563103189834566,168,168,0
12,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,77.67,67.52757982149528,32.2,39.28051098525728,6.86,9.921909193247444,51.269999999999996,3.798088,183.35751767,138.35999999999999,0,138.35999999999999,44.99751767,5.272152007448662,10.139967398945668,1.4740640074486624,6.341879398945668,1.388106859938122,0.38810685993812216,111.63997728999999,73.11817291906334,259.99329457,10.142420178504722,-7.080510985257277,-3.061909193247444,168,168,0
14,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,58.17,51.21172463346538,34.45,40.48270309371492,9.3,10.225572272819706,66.08,4.422605,124.9881249380272,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,7.10135111487296,10.726255566123776,2.6787461148729603,6.303650566123776,1.605694181341757,0.6056941813417568,132.27480791197283,101.50110448455996,325.76377666197277,6.958275366534622,-6.032703093714915,-0.9255722728197053,168,168,0
15,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,58.44,45.466820614099724,28.2,41.38874815487597,10.67,10.454431231024305,70.69,3.520064,70.07251384,108.11000000000001,93.75,14.360000000000014,55.71251383999999,6.157048157156253,12.380049550378045,2.636984157156253,8.859985550378045,1.749129605926555,0.749129605926555,135.64002632,89.97360459815033,272.464914,12.973179385900274,-13.18874815487597,0.21556876897569488,168,168,0
17,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,53.92,50.80323981879383,47.81,45.78250490716495,6.42,11.564255274041232,59.849999999999994,4.7225,107.01722016,77.38,0,77.38,29.637220160000002,8.221833556190056,9.657274931008663,3.499333556190056,4.934774931008663,1.7409917535606259,0.7409917535606259,147.61997984,132.90107988425387,403.72115484000005,3.1167601812061747,2.0274950928350535,-5.144255274041232,168,168,0
18,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,47.96,40.16811889162134,28.93,38.28214924810356,11.23,9.669731860275126,79.87999999999998,8.842511,135.29680876,131.21,20,111.21000000000001,24.086808759999997,16.268568182931272,25.511590373796224,7.426057182931272,16.669079373796222,1.8398131687855714,0.8398131687855714,288.7900188,219.89022438846948,643.9052605600002,7.791881108378661,-9.352149248103558,1.560268139724874,168,168,0
19,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,62.06,52.623809366185036,25.63,37.942301344245266,12.46,9.583889289569694,67.85,5.640839,180.59048606,130.51999999999998,0,130.51999999999998,50.07048606,8.677933134322355,15.785432861710444,3.0370941343223556,10.144593861710444,1.538411774263076,0.5384117742630761,169.47998228,116.25195014134181,384.33953979,9.436190633814967,-12.312301344245267,2.876110710430307,168,168,0
23,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,52.58,59.01553702595251,41.84,37.35813015361205,11.39,9.436332820435437,62.19,2.64174,106.43268134,67.53,0,67.53,38.90268134,3.7506409037313735,2.164088343384008,1.1089009037313735,-0.47765165661599207,1.4197615600821327,0.41976156008213283,32.470007859999996,49.471023442939796,173.08982806,-6.435537025952513,4.481869846387951,1.9536671795645635,168,168,0
24,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,54.5,54.90080139075942,31.72,30.871365173718797,7.35,7.797833435521771,74.43,2.206263,88.80131850000001,68.56,0,68.56,20.241318500000002,2.965601944212433,2.854883506246052,0.7593389442124332,0.6486205062460519,1.3441742639986407,0.3441742639986408,31.44001499999999,32.324288278781026,117.63871040999996,-0.400801390759419,0.8486348262812022,-0.4478334355217717,168,168,0
32,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,98.8,77.39310980209436,18.12,35.284370659707704,4.67,8.912519538197937,46.41,6.202948,379.4112972,216.56,0,216.56,162.85129719999998,8.079583650124937,36.3395832821622,1.8766356501249364,30.136635282162203,1.3025393168095132,0.30253931680951324,233.43996520000002,100.65413846068162,374.80515012000006,21.40689019790564,-17.164370659707703,-4.2425195381979375,168,168,0
33,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,68.58,59.37399428467046,30.39,38.41317732361072,8.52,9.702828391718821,60.510000000000005,7.127654,281.30452207999997,192.48999999999998,0,192.48999999999998,88.81452207999999,10.462121141768916,18.920248460459792,3.3344671417689167,11.792594460459792,1.4678211290515668,0.46782112905156686,207.50998923999998,141.89276577910857,484.8470063799999,9.206005715329539,-8.023177323610717,-1.1828283917188216,168,168,0
34,00055-1-04,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,15.49,34.20077336832456,51.31,30.544066054895566,5.66,7.715160576779867,95.53999999999999,3.103409,48.071805409999996,0,0,0,48.071805409999996,5.384478224034256,4.424793856888777e-16,2.2810692240342556,-3.1034089999999996,1.7350204965037659,0.7350204965037659,7.105427357601002e-15,58.06718246821876,176.80121073000004,-18.71077336832456,20.765933945104436,-2.0551605767798673,168,168,0
37,00058-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,53.26,50.528583776855896,35.32,40.68479685582643,12.91,10.276619367317656,66.51000000000002,12.208294,328.76371607999994,303.54999999999995,0,303.54999999999995,25.21371608,20.05658522961276,23.645323305891598,7.8482912296127605,11.437029305891597,1.6428655166407984,0.6428655166407985,321.4500223600001,288.1040900714873,910.2560419799997,2.7314162231441017,-5.364796855826427,2.6333806326823446,168,168,0
