PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
4,12.79,78.66,11.88,64.67000000000002,3.134717,40.09303043,168,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,0,0,0,40.09303043,168,90.53999999999999,0,283.81727717999996
5,61.04,31.41,8,67.55000000000001,2.100166,59.894142640000005,168,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,56.7,0,56.7,3.19414264,168,39.41,68.29999000000001,151.06753206
8,31.62,49.05,12,75.33,2.99152,94.5918624,168,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,94.5918624,168,61.05,0,182.63229600000003
10,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,290.95,0,290.95,22.37467332,168,45.41,359.0499973000001,1006.33712456
11,75.16,38.82,8.36,45.660000000000004,3.712825,168.58594048,168,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,89.53,0,89.53,79.05594048,168,47.18,110.46998651999999,285.64107002000003
20,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,168,58.64,76.6960669456067,253.08864670560672
21,40.97,64.13,12.11,50.790000000000006,3.025548,26.116701559999996,168,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,56.66,154.5,-97.84,123.95670156,168,76.24,97.84,328.50777952
22,80.26,5.58,10.45,71.71,3.597166,288.70854316000003,168,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,288.70854316000003,168,16.03,0,57.66257098
26,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,168,34.949999999999996,67.57779758548389,223.5022946354839
31,91.01,7.88,5.67,63.44,0.8884,77.51330279,168,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,11.66,0,11.66,65.85330279,168,13.55,3.339981210000005,15.377801210000001
36,47.11,55.48,8.64,56.769999999999996,0.133731,6.30005066,168,00056-1-03,18 a 29,Hombres,Quintil alto,Sur,Jovenes trabajadores,Movilidad activa,0,0,0,6.30005066,168,64.12,1.67499999994547e-5,8.57484847
40,36.19,40.38,9.63,81.80000000000001,3.107775,112.47037725,168,00059-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,0,0,0,112.47037725,168,50.010000000000005,0,155.41982774999997
