PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
4,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,12.79,36.20043996121757,78.66,54.04023066898479,11.88,13.089329369797621,64.67000000000002,3.134717,40.09303043,0,0,0,40.09303043,6.70084442135534,0,3.5661274213553398,-3.134717,2.137623403119114,1.137623403119114,0,73.38510412390806,283.81727717999996,-23.41043996121757,24.619769331015206,-1.2093293697976204,168,168,0
5,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,61.04,43.22091197613924,31.41,46.070212824251435,8,11.15887519960932,67.55000000000001,2.100166,59.894142640000005,56.7,0,56.7,3.19414264,3.3071428197382033,10.623059794686906,1.2069768197382031,8.522893794686906,1.5747054374455176,0.5747054374455176,68.29999000000001,30.87694718128045,151.06753206,17.819088023860758,-14.660212824251435,-3.1588751996093194,168,168,0
8,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,31.62,43.42333989223614,49.05,39.64424718951161,12,9.602412918252252,75.33,2.99152,94.5918624,0,0,0,94.5918624,4.394965423825366,0,1.403445423825366,-2.99152,1.4691412472005423,0.4691412472005422,0,35.30992735442226,182.63229600000003,-11.803339892236142,9.405752810488387,2.397587081747748,168,168,0
10,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,47.17,37.778624603405135,33.05,44.115870351283306,12.36,10.685505045311544,75.42,14.254286,313.32467332,290.95,0,290.95,22.37467332,25.187141452446465,48.46618622456404,10.932855452446464,34.21190022456404,1.7669872382556702,0.7669872382556702,359.0499973000001,225.1826464635734,1006.33712456,9.391375396594867,-11.065870351283309,1.6744949546884556,168,168,0
11,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,75.16,59.925770255219,38.82,50.24432411722021,8.36,12.169905627560794,45.660000000000004,3.712825,168.58594048,89.53,0,89.53,79.05594048,5.294252892928516,14.352309305925736,1.5814278929285162,10.639484305925736,1.4259365558378099,0.4259365558378098,110.46998651999999,53.907957467833484,285.64107002000003,15.234229744780997,-11.424324117220209,-3.809905627560795,168,168,0
20,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,29.9,28.684150997691958,35.84,48.184791991842744,22.8,11.671057010465292,79.46,3.008059,13.244897154393286,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,7.479662252182435,8.01704926962362,4.471603252182435,5.00899026962362,2.4865410725595596,1.4865410725595591,76.6960669456067,73.03872141157298,253.08864670560672,1.2158490023080404,-12.34479199184274,11.128942989534709,168,168,0
21,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,40.97,38.870233187538275,64.13,63.0646032337187,12.11,15.275163578743022,50.790000000000006,3.025548,26.116701559999996,56.66,154.5,-97.84,123.95670156,7.158347754503025,7.8662723228274505,4.132799754503026,4.84072432282745,2.3659673402976997,1.3659673402977,97.84,91.48705472009006,328.50777952,2.0997668124617235,1.065396766281296,-3.165163578743023,168,168,0
22,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,80.26,82.43849776903751,5.58,11.150652190193433,10.45,2.700850040769062,71.71,3.597166,288.70854316000003,0,0,0,288.70854316000003,3.4678167811447906,0,-0.12934921885520945,-3.597166,0.9640413539838836,-0.035958646016116425,0,7.836418105857547,57.66257098,-2.178497769037506,-5.570652190193433,7.749149959230937,168,168,0
26,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,74.15,67.30254741097656,29.4,33.64753140020358,5.55,8.149921188819867,58.89999999999999,4.461359,263.2319722645161,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,5.430325602712641,11.852017235730148,0.9689666027126416,7.3906582357301485,1.217190905890479,0.217190905890479,67.57779758548389,37.028853350370866,223.5022946354839,6.8474525890234474,-4.247531400203584,-2.5999211888198674,168,168,0
31,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,91.01,88.18456039737931,7.88,13.182456922410978,5.67,3.192982680209709,63.44,0.8884,77.51330279,11.66,0,11.66,65.85330279,0.3106330307848492,1.5109154048444422,-0.5777669692151508,0.6225154048444422,0.34965446959123053,-0.6503455304087695,3.339981210000005,0.829860667031781,15.377801210000001,2.8254396026206905,-5.302456922410978,2.4770173197902907,168,168,0
36,00056-1-03,18 a 29,Hombres,Quintil alto,Sur,Jovenes trabajadores,Movilidad activa,47.11,48.81951881717897,55.48,50.241306472640446,8.64,12.169174710180602,56.769999999999996,0.133731,6.30005066,0,0,0,6.30005066,0.02245513579899697,1.6012410616684833e-6,-0.11127586420100302,-0.13372939875893833,0.16791271880863054,-0.8320872811913694,1.67499999994547e-5,0.2286324109401594,8.57484847,-1.7095188171789673,5.238693527359551,-3.5291747101806017,168,168,0
