PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
1,61.25,17.46,12.58,76.71,3.959658,118.57902849999999,168,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,42.5290285,168,30.04,123.95002400000001,242.89815032000007
2,65.81,24.23,10.64,67.32,3.997689,139.13788734,168,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,63.087887339999995,168,34.870000000000005,123.95002574999998,263.34944118
16,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,601.84,0,601.84,39.55914846,168,52.49,1148.1600021500003,2920.8333332600005
28,62.38,24.71,10.57,70.34,3.0454,189.972052,168,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,0,0,0,189.972052,168,35.28,0,107.44171199999997
29,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,148.31,39.1304347826087,109.1795652173913,60.253325200000006,168,54.7,115.82039988260863,339.20415048260867
30,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,6.4399999999999995,0,6.4399999999999995,82.20793986000001,168,38.15,6.060026260000001,119.60838916
50,75.81,27.7,14.02,50.47,2.84351,167.27852930495146,168,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,60.28,3.56796116504854,56.712038834951464,110.56649046999999,168,41.72,48.28796379504857,166.91920099504858
51,74.54,20.94,13.85,58.669999999999995,7.569237,254.6509037,168,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,240.44,0,240.44,14.2109037,168,34.79,309.5600222800001,572.8937775100002
54,54.25,38.3,12.83,62.620000000000005,2.879951,125.07732475,168,00078-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,21.340000000000003,0,21.340000000000003,103.73732475,168,51.129999999999995,31.16001700000001,178.41191163000002
57,56.34,47.69,6.22,57.75,6.213444,246.53546587999998,168,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,196.46999999999997,0,196.46999999999997,50.065465880000005,168,53.91,103.52996908000003,438.49673512000004
58,51.64,30.53,21.41,64.42,5.057747,138.57203207999999,168,00092-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,102.39,0,102.39,36.18203208,168,51.94,122.61002300000001,385.30940218
60,63.7,54.44,7.12,42.74,5.690309,188.60266080000002,168,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,126.13000000000001,0,126.13000000000001,62.4726608,168,61.559999999999995,173.8700225,524.16544454
64,68.42,46.22,4.72,48.64,2.661622,162.63819284000002,168,00100-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad mixta,60.53,0,60.53,102.10819284000002,168,50.94,19.469984399999987,155.05300907999995
66,69.15,24.71,10.74,63.399999999999984,4.005066,224.44028745,168,00103-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,47.49,0,47.49,176.95028745,168,35.45,52.510026450000026,194.4896161500001
86,60.62,52.02,6.77,48.58999999999999,3.290776,162.79685478,168,00147-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,88.31,50,38.31,124.48685477999999,168,58.790000000000006,36.68998634000002,230.15470738000005
88,47.74,42.95,10.59,66.71999999999998,5.734147,127.87820081999999,168,00150-1-05,30 a 44,Mujeres,Quintil alto,Norte,Trabajadores rutinarios,Movilidad mixta,104.13,0,104.13,23.74820082,168,53.540000000000006,145.86997696,452.8762073400002
89,51.79,26.29,12.65,77.27000000000001,3.037327,157.30316532999998,168,00151-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,0,0,0,157.30316532999998,168,38.94,0,118.27351337999997
91,58.81,20.66,8.09,80.44,2.328012,134.10037455999998,168,00154-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,49.43999999999999,0,49.43999999999999,84.66037456,168,28.75,2.8100111600000446,69.74035616000003
110,39.32,42.03,15,71.65,3.129569,142.85463736,168,00190-1-01,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,82.3,0,82.3,60.554637359999994,168,57.03,-19.79998427999999,158.67933579
126,32.42,65.07,7.86,62.64999999999999,3.049681,98.87065802000001,168,00224-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad mixta,0,0,0,98.87065802000001,168,72.92999999999999,0,222.41323533000002
129,72.37,21.63,14.54,59.46,2.443609,29.2303350363636,168,00228-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,75.75,123.3636363636364,-47.6136363636364,76.8439714,168,36.17,147.6136482936364,235.99898582363636
