PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
3,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,0,0,0,68.32911771,168,33.55,-2.700000010236181e-6,34.46762334999998
6,53.07,52.11,5.85,56.970000000000006,3.008345,77.68286899,168,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,68.03,0,68.03,9.652868990000002,168,57.96,81.97000015999998,256.33367636
9,77.06,31.36,6.2,53.379999999999995,3.1810330000000002,245.13040298,168,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,0,0,0,245.13040298,168,37.56,0,119.47959948000002
25,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,168,42.330000000000005,86.12848584365588,233.29884771365585
39,10.67,35.5,6.44,115.39000000000001,3.259843,34.78252481,168,00058-1-04,18 a 29,Mujeres,Quintil medio,Sur,Rutina flexible,Usuarios publicos,0,0,0,34.78252481,168,41.94,0,136.71781541999997
45,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,00067-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,123.16,0,123.16,77.75997966,168,48.709999999999994,1.8400296799999865,140.80780869999998
59,8.17,64.88,6.4,88.55000000000001,2.910447,23.77835199,168,00092-1-03,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,23.77835199,168,71.28,0,207.45666215999995
65,65.36,45.38,10.74,46.519999999999996,2.702575,49.972405208324,168,00101-1-01,60 o mas,Mujeres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,96.02,107.687861271676,-11.667861271676003,61.64026648,168,56.120000000000005,126.66789679167599,278.336405791676
68,47.39,30.05,9.99,80.57000000000001,2.767243,81.49510631290781,168,00113-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Usuarios publicos,51.57000000000001,97.4645390070922,-45.89453900709219,127.38964532,168,40.04,49.64453945709221,160.44494917709218
78,53.38,57.19,10.42,47.010000000000005,4.700895,134.77376198000002,168,00128-1-01,30 a 44,Hombres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,108.84,0,108.84,25.93376198,168,67.61,116.16001312,433.98752406999995
92,42.29,34.21,13.74,77.76,2.20786,88.68041381000002,168,00156-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,2.81,0,2.81,85.87041381000002,168,47.95,4.689985589999992,110.55687259
93,74.1,16.81,8.99,68.10000000000001,1.925792,137.3211939,168,00157-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,32.12,0,32.12,105.2011939,168,25.799999999999997,5.379993299999995,55.06542689999998
97,11.88,36.79,7.49,111.84000000000002,2.961594,35.18373671999999,168,00161-1-02,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,35.18373671999999,168.00000000000003,44.28,7.105427357601002e-15,131.13938231999995
106,57.93,31.63,11.82,66.62,6.560531,220.37158599,168,00182-1-01,18 a 29,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Usuarios publicos,190.32,0,190.32,30.051585989999996,168,43.45,159.67997484000003,444.73504678999996
107,35.13,45.13,5.14,82.60000000000001,10.476139,218.06675499999997,168,00182-2-01,18 a 29,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,187.53999999999996,0,187.53999999999996,30.526755,168,50.27,149.96000807000004,676.5955156
108,57.17,40.26,7.77,62.8,5.057279,160.98462714,168,00185-1-02,18 a 29,Mujeres,Quintil medio,Norte,Trabajadores rutinarios,Usuarios publicos,121.86,0,121.86,39.12462714,168,48.03,128.14001329,371.0411236600001
113,60.51,43.97,5.96,57.56000000000001,3.263941,112.23106559000001,168,00203-1-01,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,89.73,25,64.73,47.50106559,168,49.93,85.27000431999997,248.23857844999998
114,57.9,15.09,8.26,86.74999999999999,2.614382,139.182725,168,00205-1-02,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,40.31,0,40.31,98.872725,168,23.35,12.189992799999999,73.23581250000004
119,11.65,52.74,5.08,98.52999999999999,2.967808,34.57496319999999,168,00215-1-03,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Usuarios publicos,0,0,0,34.57496319999999,168,57.82,7.105427357601002e-15,171.59865856000005
120,73.98,14.52,11.46,68.03999999999999,3.038634,161.95816382,168,00216-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,74.66000000000001,0,74.66000000000001,87.29816382,168,25.98,62.8399795,141.78369082000003
147,62.98,31.25,7.2,66.57000000000001,4.913503,151.502411,168,00263-1-01,45 a 59,Mujeres,Quintil medio,Centro,Trabajadores rutinarios,Usuarios publicos,142.04999999999998,0,142.04999999999998,9.452411,168,38.45,157.95000794000003,346.87419829
148,54.61,56.73,5.06,51.6,3.277512,100.01495163999999,168,00263-1-02,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Usuarios publicos,71.02999999999999,0,71.02999999999999,28.98495164,168,61.79,78.96997868000003,281.48744516000005
158,86.79,29.43,6.16,45.61999999999999,3.765382,254.37750590999997,168,00287-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,152.57999999999998,0,152.57999999999998,101.79750591,168,35.59,72.41999787000003,206.42994325000006
167,52.54,61.44,6.24,47.78000000000001,3.614895,0.5165574399999855,168,00297-1-01,60 o mas,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,103.08999999999999,142.5,-39.41000000000001,39.926557439999996,168,67.67999999999999,189.41002586000002,434.06611946000004
170,28.94,44.86,7.56,86.64,4.022706,84.98710632000001,168,00303-1-01,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,113.57,82.5,31.069999999999993,53.91710632000001,168,52.42,31.430005320000006,242.30025384000004
173,57.96,39.77,8.25,62.01999999999998,5.172719,140.99077872,168,00308-1-01,30 a 44,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Usuarios publicos,116.18,0,116.18,24.810778720000002,168,48.02,158.82001452,407.21398090000014
174,55.77,43.94,14.22,54.06999999999999,2.433398,89.33824654761906,168,00309-1-02,18 a 29,Hombres,Quintil medio,Centro,Jovenes trabajadores,Usuarios publicos,59.580000000000005,5.95238095238095,53.627619047619056,35.7106275,168,58.16,46.372359912380944,187.89878759238093
176,55.06,26.94,11.54,74.46000000000001,2.76081,89.0435097133333,168,00316-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Trabajadores rutinarios,Usuarios publicos,61.199999999999996,16.6666666666667,44.533333333333296,44.51017638,168,38.480000000000004,62.96668888666673,169.2026576866667
186,65.17,7.92,13.51,81.39999999999999,2.557728,139.21711295,168,00342-1-01,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Usuarios publicos,37.53,0,37.53,101.68711295,168,21.43,27.470020809999994,82.28213185000001
195,33.3,44.13,5.94,84.63,3.154025,105.02903250000001,168,00356-1-02,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,105.02903250000001,168,50.07,-2.842170943040401e-14,157.92203174999997
