PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
9,77.06,31.36,6.2,53.379999999999995,3.1810330000000002,245.13040298,168,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,0,0,0,245.13040298,168,37.56,0,119.47959948000002
11,75.16,38.82,8.36,45.660000000000004,3.712825,168.58594048,168,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,89.53,0,89.53,79.05594048,168,47.18,110.46998651999999,285.64107002000003
15,58.44,28.2,10.67,70.69,3.520064,70.07251384,168,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,108.11000000000001,93.75,14.360000000000014,55.71251383999999,168,38.87,135.64002632,272.464914
22,80.26,5.58,10.45,71.71,3.597166,288.70854316000003,168,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,288.70854316000003,168,16.03,0,57.66257098
26,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,168,34.949999999999996,67.57779758548389,223.5022946354839
28,62.38,24.71,10.57,70.34,3.0454,189.972052,168,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,0,0,0,189.972052,168,35.28,0,107.44171199999997
32,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,216.56,0,216.56,162.85129719999998,168,22.79,233.43996520000002,374.80515012000006
38,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,00058-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,272.25663423000003,168,22.31,-5.684341886080802e-14,69.03108886999996
47,69.73,27.65,12.58,58.040000000000006,5.684662,232.54147901,168,00071-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,161.14999999999998,0,161.14999999999998,71.39147901,168,40.23,163.85000225000005,392.54395451000005
48,23.45,38.98,10.01,95.56000000000002,3.093519,72.54302055,168,00072-1-01,45 a 59,Hombres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,72.54302055,168,48.989999999999995,0,151.55149580999998
50,75.81,27.7,14.02,50.47,2.84351,167.27852930495146,168,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,60.28,3.56796116504854,56.712038834951464,110.56649046999999,168,41.72,48.28796379504857,166.91920099504858
52,56.96,31.02,18.93,61.089999999999996,3.106725,176.959056,168,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,0,0,0,176.959056,168,49.95,0,155.18091374999997
54,54.25,38.3,12.83,62.620000000000005,2.879951,125.07732475,168,00078-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,21.340000000000003,0,21.340000000000003,103.73732475,168,51.129999999999995,31.16001700000001,178.41191163000002
56,58.34,32.55,7.45,69.66,3.038659,177.27536605999998,168,00080-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,177.27536605999998,168,40,2.842170943040401e-14,121.54636000000002
64,68.42,46.22,4.72,48.64,2.661622,162.63819284000002,168,00100-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad mixta,60.53,0,60.53,102.10819284000002,168,50.94,19.469984399999987,155.05300907999995
66,69.15,24.71,10.74,63.399999999999984,4.005066,224.44028745,168,00103-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,47.49,0,47.49,176.95028745,168,35.45,52.510026450000026,194.4896161500001
67,36.56,27.42,12.83,91.19,4.066406,111.64780551999999,168,00111-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Movilidad activa,27.979999999999997,0,27.979999999999997,83.66780552,168,40.25,37.01999784,200.69283934
68,47.39,30.05,9.99,80.57000000000001,2.767243,81.49510631290781,168,00113-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Usuarios publicos,51.57000000000001,97.4645390070922,-45.89453900709219,127.38964532,168,40.04,49.64453945709221,160.44494917709218
73,59.26,42.84,10.58,55.32000000000001,8.97514,216.22678422,168,00120-1-02,45 a 59,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,134.35999999999999,0,134.35999999999999,81.86678422000001,168,53.42,315.64001218,795.0919909799999
77,74.59,39.33,7.18,46.9,6.270937,288.3317463928814,168,00127-1-01,18 a 29,Mujeres,Quintil alto,Sur,Cuidadores domesticos,Motorizados privados,246.43,50.8474576271186,195.5825423728814,92.74920402000001,168,46.51,179.4174444371186,471.0787243071186
80,49.53,50.21,7.46,60.79999999999999,3.164193,156.72247929,168,00134-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad activa,0,0,0,156.72247929,168,57.67,0,182.47901031000006
81,46.33,40.79,6.94,73.94,3.153856,146.11814848,168,00135-1-02,45 a 59,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,146.11814848,168,47.73,0,150.53354688000002
82,74.46,35.47,5.16,52.91000000000001,4.253828,213.15998376000002,168,00137-1-02,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,108.92000000000002,0,108.92000000000002,104.23998376,168,40.629999999999995,103.58004911999998,276.41308075999996
83,67.52,42.24,7.07,51.17,6.627594,257.5151454,168,00138-1-01,18 a 29,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,185.02,0,185.02,72.4951454,168,49.31,189.98000148,516.7866616200001
85,56.95,32.02,12.69,66.34,2.962039,168.68812104999998,168,00146-1-02,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,168.68812104999998,168,44.71,2.842170943040401e-14,132.43276368999997
86,60.62,52.02,6.77,48.58999999999999,3.290776,162.79685478,168,00147-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,88.31,50,38.31,124.48685477999999,168,58.790000000000006,36.68998634000002,230.15470738000005
89,51.79,26.29,12.65,77.27000000000001,3.037327,157.30316532999998,168,00151-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,0,0,0,157.30316532999998,168,38.94,0,118.27351337999997
91,58.81,20.66,8.09,80.44,2.328012,134.10037455999998,168,00154-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,49.43999999999999,0,49.43999999999999,84.66037456,168,28.75,2.8100111600000446,69.74035616000003
92,42.29,34.21,13.74,77.76,2.20786,88.68041381000002,168,00156-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,2.81,0,2.81,85.87041381000002,168,47.95,4.689985589999992,110.55687259
96,77.51,23.2,4.63,62.65999999999999,3.386657,200.56980445,168,00159-1-02,45 a 59,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad activa,88.07,0,88.07,112.49980445000001,168,27.83,61.92997962000004,156.18064393000003
