dimension,categoria,indicador,valor
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p01,1.5319201313682915
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p05,3.5726234784528783
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p25,8.666505214645332
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p50,15.35031970021209
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p75,28.406967855115976
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p95,60.71456759164002
cluster_tiempo,Cuidadores domesticos,VoL_predicho_p99,123.07470361186935
cluster_tiempo,Cuidadores domesticos,VoL_observado_p01,-8.144695814948047
cluster_tiempo,Cuidadores domesticos,VoL_observado_p05,-9.09879918321178e-15
cluster_tiempo,Cuidadores domesticos,VoL_observado_p25,0
cluster_tiempo,Cuidadores domesticos,VoL_observado_p50,16.716176478643277
cluster_tiempo,Cuidadores domesticos,VoL_observado_p75,38.098146069614586
cluster_tiempo,Cuidadores domesticos,VoL_observado_p95,98.58523798489101
cluster_tiempo,Cuidadores domesticos,VoL_observado_p99,201.47024103058646
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p01,-0.6784892306738718
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p05,0.9397118198562557
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p25,5.680226653755184
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p50,12.346438182233193
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p75,24.81223598839557
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p95,55.6629491624397
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_p99,111.99246088005467
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p01,-10.767063007079448
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p05,-3.164838099999999
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p25,-2.9968459999999997
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p50,13.552581374445472
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p75,34.18708796455968
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p95,92.6116397296731
cluster_tiempo,Cuidadores domesticos,VTAW_observado_p99,190.62610221916597
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p01,0.7250612440257896
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p05,1.3600195725648423
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p25,2.9834122569712624
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p50,4.983128259398841
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p75,7.710367467909872
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p95,14.16515376634218
cluster_tiempo,Cuidadores domesticos,VoL_predicho_sobre_w_p99,18.606069326178904
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p01,-0.27493875597421025
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p05,0.36001957256484235
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p25,1.9834122569712627
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p50,3.983128259398841
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p75,6.7103674679098715
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p95,13.16515376634218
cluster_tiempo,Cuidadores domesticos,VTAW_predicho_sobre_w_p99,17.606069326178904
cluster_tiempo,Cuidadores domesticos,Tw_hat_p01,36.906939376982635
cluster_tiempo,Cuidadores domesticos,Tw_hat_p05,48.12890174631551
cluster_tiempo,Cuidadores domesticos,Tw_hat_p25,59.87805834200064
cluster_tiempo,Cuidadores domesticos,Tw_hat_p50,65.84660735894184
cluster_tiempo,Cuidadores domesticos,Tw_hat_p75,71.40138004332502
cluster_tiempo,Cuidadores domesticos,Tw_hat_p95,84.12333151432469
cluster_tiempo,Cuidadores domesticos,Tw_hat_p99,98.29540592783522
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p01,11.354582132331076
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p05,17.908422049187344
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p25,25.542862430692953
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p50,30.48273319739713
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p75,34.00668946631991
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p95,37.43609114672667
cluster_tiempo,Cuidadores domesticos,Tf1_hat_p99,40.20867783351043
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p01,3.5824886295319844
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p05,5.650293213467846
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p25,8.059038470742117
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p50,9.617619019706979
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p75,10.729463834183829
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p95,11.811475693622715
cluster_tiempo,Cuidadores domesticos,Tf2_hat_p99,12.686255598689584
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p01,-18.86502914359999
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p05,-2.842170943040401e-14
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p25,0
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p50,40.306120271111084
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p75,89.02749531999997
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p95,217.35500695199983
cluster_tiempo,Cuidadores domesticos,ingreso_libre_observado_p99,418.15454324679996
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p01,1.7868549413237254
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p05,5.827180830881709
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p25,19.290135493233745
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p50,39.53638125342927
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p75,79.08268096918597
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p95,170.9529080895726
cluster_tiempo,Cuidadores domesticos,ingreso_libre_predicho_p99,356.80396006847695
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p01,39.036117158
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p05,68.149724908
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p25,119.29422137999995
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p50,159.97529477999998
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p75,227.48691039750008
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p95,469.16072584899985
cluster_tiempo,Cuidadores domesticos,ingreso_potencial_neto_Ec_p99,849.1449838986745
