PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
6,53.07,52.11,5.85,56.970000000000006,3.008345,77.68286899,168,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,68.03,0,68.03,9.652868990000002,168,57.96,81.97000015999998,256.33367636
16,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,601.84,0,601.84,39.55914846,168,52.49,1148.1600021500003,2920.8333332600005
17,53.92,47.81,6.42,59.849999999999994,4.7225,107.01722016,168,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,77.38,0,77.38,29.637220160000002,168,54.230000000000004,147.61997984,403.72115484000005
23,52.58,41.84,11.39,62.19,2.64174,106.43268134,168,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,67.53,0,67.53,38.90268134,168,53.230000000000004,32.470007859999996,173.08982806
24,54.5,31.72,7.35,74.43,2.206263,88.80131850000001,168,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,68.56,0,68.56,20.241318500000002,168,39.07,31.44001499999999,117.63871040999996
29,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,148.31,39.1304347826087,109.1795652173913,60.253325200000006,168,54.7,115.82039988260863,339.20415048260867
36,47.11,55.48,8.64,56.769999999999996,0.133731,6.30005066,168,00056-1-03,18 a 29,Hombres,Quintil alto,Sur,Jovenes trabajadores,Movilidad activa,0,0,0,6.30005066,168,64.12,1.67499999994547e-5,8.57484847
44,49.76,62.22,8.02,48.000000000000014,5.385343,114.72579015111098,168,00065-1-02,18 a 29,Mujeres,Quintil alto,Sur,Jovenes trabajadores,Motorizados privados,235.64,138.888888888889,96.75111111111099,17.97467904,168,70.24,153.248877528889,531.5153698488889
57,56.34,47.69,6.22,57.75,6.213444,246.53546587999998,168,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,196.46999999999997,0,196.46999999999997,50.065465880000005,168,53.91,103.52996908000003,438.49673512000004
60,63.7,54.44,7.12,42.74,5.690309,188.60266080000002,168,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,126.13000000000001,0,126.13000000000001,62.4726608,168,61.559999999999995,173.8700225,524.16544454
70,79.31,40.85,4.84,43,2.63779,142.31314692,168,00118-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Motorizados privados,83.11,0,83.11,59.203146919999995,168,45.69,66.88997798,187.41060308
76,67.11,46.94,4.38,49.57,2.738096,120.98363767,168,00126-1-03,18 a 29,Mujeres,Quintil medio,Sur,Jovenes trabajadores,Motorizados privados,62.23,0,62.23,58.753637669999996,168,51.32,62.76998489,203.28907161
