dimension,categoria,indicador,valor
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p01,0.8898672453217298
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p05,3.4610713397333623
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p25,5.90163264901842
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p50,8.59026153407656
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p75,13.495841734790481
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p95,29.858288504209256
cluster_tiempo,Jovenes trabajadores,VoL_predicho_p99,68.28226344610488
cluster_tiempo,Jovenes trabajadores,VoL_observado_p01,-2.0152190730195405e-6
cluster_tiempo,Jovenes trabajadores,VoL_observado_p05,0
cluster_tiempo,Jovenes trabajadores,VoL_observado_p25,4.788099877549659
cluster_tiempo,Jovenes trabajadores,VoL_observado_p50,8.781088387702889
cluster_tiempo,Jovenes trabajadores,VoL_observado_p75,15.287942118011298
cluster_tiempo,Jovenes trabajadores,VoL_observado_p95,37.70016500119501
cluster_tiempo,Jovenes trabajadores,VoL_observado_p99,79.17657697611081
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p01,0.197306511658189
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p05,1.3997075830214833
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p25,3.02633953201469
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p50,5.0613748495021404
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p75,8.044515456771567
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p95,18.11984761855795
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_p99,43.36131338204727
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p01,-3.24259762
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p05,-3.0163729
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p25,1.8031605101752723
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p50,5.08711078906933
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p75,9.860938532328063
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p95,25.597714032320958
cluster_tiempo,Jovenes trabajadores,VTAW_observado_p99,57.158509496473116
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p01,1.2282784571703598
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p05,1.596257643066826
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p25,1.9733750476025191
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p50,2.280306472861939
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p75,2.602477414097618
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p95,3.370061616678794
cluster_tiempo,Jovenes trabajadores,VoL_predicho_sobre_w_p99,3.6999470394083334
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p01,0.22827845717035966
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p05,0.596257643066826
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p25,0.9733750476025191
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p50,1.280306472861939
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p75,1.602477414097618
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p95,2.3700616166787944
cluster_tiempo,Jovenes trabajadores,VTAW_predicho_sobre_w_p99,2.6999470394083334
cluster_tiempo,Jovenes trabajadores,Tw_hat_p01,18.998912359608788
cluster_tiempo,Jovenes trabajadores,Tw_hat_p05,27.862119861615295
cluster_tiempo,Jovenes trabajadores,Tw_hat_p25,47.11278372835167
cluster_tiempo,Jovenes trabajadores,Tw_hat_p50,51.652036848930706
cluster_tiempo,Jovenes trabajadores,Tw_hat_p75,55.99287781008298
cluster_tiempo,Jovenes trabajadores,Tw_hat_p95,64.43319367423715
cluster_tiempo,Jovenes trabajadores,Tw_hat_p99,70.32023750112519
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p01,20.272091488125977
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p05,28.49225390305278
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p25,47.959131070103126
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p50,51.428058948609106
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p75,55.07113362617234
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p95,60.381059344962
cluster_tiempo,Jovenes trabajadores,Tf1_hat_p99,65.74661006563666
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p01,3.1760564383509617
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p05,4.463920582882424
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p25,7.513822986746977
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p50,8.05730468567071
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p75,8.628070202975394
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p95,9.459983564071132
cluster_tiempo,Jovenes trabajadores,Tf2_hat_p99,10.30061177067128
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p01,-2.0629600002664007e-5
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p05,0
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p25,45.90499574999999
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p50,85.28002684000003
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p75,143.62623915409932
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p95,352.2060133779997
cluster_tiempo,Jovenes trabajadores,ingreso_libre_observado_p99,754.1473891547998
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p01,7.196877062251262
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p05,25.519722659664453
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p25,53.29275082513882
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p50,82.68609663903558
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p75,136.8081958576824
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p95,304.3917692322708
cluster_tiempo,Jovenes trabajadores,ingreso_libre_predicho_p99,673.7858515879673
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p01,39.36567091399999
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p05,103.14590863471697
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p25,204.770255415
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p50,295.60276814
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p75,472.43372445
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p95,1014.288128931
cluster_tiempo,Jovenes trabajadores,ingreso_potencial_neto_Ec_p99,2179.5982155735996
