PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
6,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,53.07,49.98620455477138,52.11,52.775400851629364,5.85,8.268394593599254,56.970000000000006,3.008345,77.68286899,68.03,0,68.03,9.652868990000002,7.158619084860805,8.50169398617602,4.150274084860806,5.49334898617602,2.379587143383091,1.3795871433830915,81.97000015999998,72.6928795513237,256.33367636,3.083795445228617,-0.6654008516293644,-2.4183945935992543,168,168,0
16,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,52.99,45.74411851195489,48.59,51.64464410778087,3.9,8.091237380264245,62.51999999999999,33.771639,641.39914846,601.84,0,601.84,39.55914846,90.9180303113704,131.49364080691836,57.1463913113704,97.72200180691837,2.6921414833129775,1.6921414833129775,1148.1600021500003,903.4547082989576,2920.8333332600005,7.245881488045114,-3.0546441077808666,-4.191237380264244,168,168,0
17,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,53.92,47.85883566747752,47.81,52.12471377726301,6.42,8.166450555259477,59.849999999999994,4.7225,107.01722016,77.38,0,77.38,29.637220160000002,11.86473604101024,16.36381069942982,7.142236041010239,11.64131069942982,2.51238455076977,1.51238455076977,147.61997984,118.99613127966262,403.72115484000005,6.06116433252248,-4.314713777263009,-1.746450555259477,168,168,0
23,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,52.58,55.13381734927338,41.84,43.81208333322149,11.39,6.864099317505127,62.19,2.64174,106.43268134,67.53,0,67.53,38.90268134,4.652047842057363,3.6669487242484315,2.010307842057363,1.0252087242484316,1.7609786890675703,0.7609786890675703,32.470007859999996,39.21652930426946,173.08982806,-2.5538173492733804,-1.9720833332214838,4.525900682494874,168,168,0
24,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,54.5,51.43955986745125,31.72,36.423863389127206,7.35,5.706576743421535,74.43,2.206263,88.80131850000001,68.56,0,68.56,20.241318500000002,3.5226273006329873,4.837469534509306,1.3163643006329875,2.631206534509306,1.5966488585599212,0.5966488585599212,31.44001499999999,24.68787917184258,117.63871040999996,3.0604401325487487,-4.703863389127207,1.6434232565784646,168,168,0
29,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,69.85,61.788950243713394,43.02,54.26005271459535,11.68,8.500997041691244,43.45,4.083798,169.43289041739132,148.31,39.1304347826087,109.1795652173913,60.253325200000006,7.940482875157233,12.728482895692112,3.8566848751572333,8.644684895692112,1.9443867877787377,0.9443867877787377,115.82039988260863,82.90070100998494,339.20415048260867,8.0610497562866,-11.24005271459535,3.1790029583087556,168,168,0
36,00056-1-03,18 a 29,Hombres,Quintil alto,Sur,Jovenes trabajadores,Movilidad activa,47.11,53.03398601913336,55.48,50.31335196978366,8.64,7.8826620110829895,56.769999999999996,0.133731,6.30005066,0,0,0,6.30005066,0.08183535473678856,1.570363553769594e-6,-0.05189564526321143,-0.1337294296364462,0.6119400493287911,-0.38805995067120885,1.67499999994547e-5,0.7922373243247227,8.57484847,-5.923986019133359,5.1666480302163365,0.7573379889170111,168,168,0
44,00065-1-02,18 a 29,Mujeres,Quintil alto,Sur,Jovenes trabajadores,Motorizados privados,49.76,51.784164554334325,62.22,58.97598656531749,8.02,9.23984888034817,48.000000000000014,5.385343,114.72579015111098,235.64,138.888888888889,96.75111111111099,17.97467904,14.465511508379448,13.115707083680322,9.080168508379447,7.730364083680322,2.6860891698782137,1.6860891698782134,153.248877528889,164.14969794242148,531.5153698488889,-2.0241645543343267,3.2440134346825076,-1.2198488803481702,168,168,0
57,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,56.34,56.39336162401102,47.69,46.561745679203625,6.22,7.294892696785356,57.75,6.213444,246.53546587999998,196.46999999999997,0,196.46999999999997,50.065465880000005,11.59296106611288,11.544514194515807,5.3795170661128795,5.331070194515807,1.86578668225108,0.86578668225108,103.52996908000003,103.86152854254155,438.49673512000004,-0.05336162401101774,1.1282543207963727,-1.0748926967853558,168,168,0
60,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,63.7,58.13032235530318,54.44,58.03694906091317,7.12,9.092728583783641,42.74,5.690309,188.60266080000002,126.13000000000001,0,126.13000000000001,62.4726608,12.731899214195463,16.978722439920826,7.041590214195463,11.288413439920827,2.2374706214013096,1.2374706214013094,173.8700225,142.17683567128284,524.16544454,5.569677644696824,-3.5969490609131753,-1.972728583783641,168,168,0
70,00118-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Motorizados privados,79.31,68.9585976135557,40.85,48.45058295704699,4.84,7.59081942939731,43,2.63779,142.31314692,83.11,0,83.11,59.203146919999995,4.246217491184508,8.800732171456142,1.608427491184508,6.162942171456142,1.6097632833487534,0.6097632833487533,66.88997798,39.58515227906105,187.41060308,10.351402386444306,-7.6005829570469885,-2.7508194293973105,168,168,0
