PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
4,12.79,78.66,11.88,64.67000000000002,3.134717,40.09303043,168,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,0,0,0,40.09303043,168,90.53999999999999,0,283.81727717999996
8,31.62,49.05,12,75.33,2.99152,94.5918624,168,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,94.5918624,168,61.05,0,182.63229600000003
20,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,168,58.64,76.6960669456067,253.08864670560672
21,40.97,64.13,12.11,50.790000000000006,3.025548,26.116701559999996,168,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,56.66,154.5,-97.84,123.95670156,168,76.24,97.84,328.50777952
30,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,6.4399999999999995,0,6.4399999999999995,82.20793986000001,168,38.15,6.060026260000001,119.60838916
34,15.49,51.31,5.66,95.53999999999999,3.103409,48.071805409999996,168,00055-1-04,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,48.071805409999996,168,56.97,7.105427357601002e-15,176.80121073000004
39,10.67,35.5,6.44,115.39000000000001,3.259843,34.78252481,168,00058-1-04,18 a 29,Mujeres,Quintil medio,Sur,Rutina flexible,Usuarios publicos,0,0,0,34.78252481,168,41.94,0,136.71781541999997
40,36.19,40.38,9.63,81.80000000000001,3.107775,112.47037725,168,00059-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,0,0,0,112.47037725,168,50.010000000000005,0,155.41982774999997
41,34.01,33.42,5.82,94.75,2.968391,60.15582536762709,168,00061-1-03,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,26.149999999999995,66.9491525423729,-40.79915254237291,100.95497791,168,39.24,40.79915254237291,157.2788153823729
53,24.35,47.87,7.12,88.66,3.03938,74.008903,168,00077-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,74.008903,168,54.989999999999995,0,167.1355062
59,8.17,64.88,6.4,88.55000000000001,2.910447,23.77835199,168,00092-1-03,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,23.77835199,168,71.28,0,207.45666215999995
71,11.41,83.74,5.88,66.97000000000001,3.36889,38.4390349,168,00119-1-01,30 a 44,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,38.4390349,168,89.61999999999999,0,301.91992179999994
72,33.95,16.79,17.16,100.10000000000002,3.062645,87.72679775,168,00119-1-02,60 o mas,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,51.25,67.5,-16.25,103.97679775,168.00000000000003,33.95,16.25,120.22679774999992
84,15.38,71.16,10.39,71.07000000000001,3.057089,47.018028820000005,168,00144-1-05,18 a 29,Hombres,Quintil alto,Centro,Rutina flexible,Movilidad activa,0,0,0,47.018028820000005,168,81.55,0,249.30560794999994
87,38.87,62.17,7.88,59.07999999999999,2.402284,75.03678728,168,00147-1-02,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,44.16,25,19.159999999999997,55.87678728,167.99999999999997,70.05,18.339991799999993,186.61998600000004
90,35.69,33.91,26.45,71.95,3.104627,110.80413762999999,168,00153-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,0,0,0,110.80413762999999,168,60.36,0,187.39528571999998
95,32.96,69.06,9.94,56.03999999999999,3.059673,100.84682208000001,168,00158-1-02,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Movilidad activa,0,0,0,100.84682208000001,168,79,0,241.714167
97,11.88,36.79,7.49,111.84000000000002,2.961594,35.18373671999999,168,00161-1-02,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,35.18373671999999,168.00000000000003,44.28,7.105427357601002e-15,131.13938231999995
98,7.42,73.53,13.01,74.04,3.09159,22.9395978,168,00163-1-03,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,22.9395978,168,86.54,0,267.54619859999997
99,10.93,68.32,5.46,83.29,2.946641,32.20678613,168,00164-1-03,18 a 29,Hombres,Quintil alto,Centro,Rutina flexible,Movilidad activa,0,0,0,32.20678613,168,73.77999999999999,0,217.40317297999997
102,28.4,42.17,9.32,88.10999999999999,3.250721,26.863647131707296,168,00173-1-02,60 o mas,Mujeres,Quintil medio,Centro,Rutina flexible,Motorizados privados,65.47,130.9268292682927,-65.4568292682927,92.32047639999999,167.99999999999997,51.49,65.4568292682927,232.83645355829276
109,25.66,80.56,4.78,57,4.999615,90.78887726,168,00186-1-02,18 a 29,Hombres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,67.03,29.53125,37.49875,53.290127260000006,168,85.34,37.50124364,464.16838774
111,22.24,62.36,30.43,52.96999999999999,3.065629,68.17958895999999,168,00194-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,0,0,0,68.17958895999999,168,92.78999999999999,0,284.45971491
112,41.42,58.79,9.49,58.29999999999999,3.062451,20.316720419999996,168,00199-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,77.22,183.75,-106.53,126.84672042,168,68.28,106.53,315.6341542800001
117,35.6,42.01,6.43,83.96000000000001,4.187139,102.67788588571428,168,00213-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,89.32999999999998,35.7142857142857,53.61571428571428,49.06217159999999,168,48.44,46.38426251428574,249.20927567428572
118,35.52,53.09,5.68,73.70999999999998,3.019224,88.6971195542857,168,00213-1-02,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,35.739999999999995,14.2857142857143,21.454285714285696,67.24283384000002,168,58.77,18.545716925714302,195.98551140571433
119,11.65,52.74,5.08,98.52999999999999,2.967808,34.57496319999999,168,00215-1-03,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Usuarios publicos,0,0,0,34.57496319999999,168,57.82,7.105427357601002e-15,171.59865856000005
124,42.34,45.3,12.87,67.49,3.097895,131.1648743,168,00222-1-04,30 a 44,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,0,0,0,131.1648743,168,58.169999999999995,0,180.20455214999998
126,32.42,65.07,7.86,62.64999999999999,3.049681,98.87065802000001,168,00224-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad mixta,0,0,0,98.87065802000001,168,72.92999999999999,0,222.41323533000002
128,40.67,60.48,11.92,54.92999999999999,3.345083,48.15452561000001,168,00227-1-02,60 o mas,Hombres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,66.61000000000001,154.5,-87.88999999999999,136.04452561,168,72.39999999999999,87.88999999999999,330.0740092
130,30.31,40.82,4.85,92.02000000000001,2.507353,75.99787338,168,00229-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,75.99787338,168,45.67,-3.94999999286938e-6,114.51080755999998
144,27.9,48.66,3.92,87.52,3.115383,86.9191857,168,00259-2-01,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,86.9191857,168,52.58,0,163.80683814000002
155,35.8,39.66,8.98,83.55999999999999,3.072313,19.666987218181802,168,00281-1-02,60 o mas,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad activa,87.86,178.1818181818182,-90.32181818181819,109.98880539999999,168,48.64,90.32181818181819,239.75912250181818
