dimension,categoria,indicador,valor
cluster_tiempo,Rutina flexible,VoL_predicho_p01,1.6465888886763895
cluster_tiempo,Rutina flexible,VoL_predicho_p05,2.902926500890298
cluster_tiempo,Rutina flexible,VoL_predicho_p25,4.308977986236673
cluster_tiempo,Rutina flexible,VoL_predicho_p50,7.473279835822078
cluster_tiempo,Rutina flexible,VoL_predicho_p75,14.136571096209842
cluster_tiempo,Rutina flexible,VoL_predicho_p95,22.509221653934976
cluster_tiempo,Rutina flexible,VoL_predicho_p99,52.64246761922614
cluster_tiempo,Rutina flexible,VoL_observado_p01,-9.631638837864589
cluster_tiempo,Rutina flexible,VoL_observado_p05,-4.0676845664133546e-15
cluster_tiempo,Rutina flexible,VoL_observado_p25,0
cluster_tiempo,Rutina flexible,VoL_observado_p50,0
cluster_tiempo,Rutina flexible,VoL_observado_p75,17.658460251114445
cluster_tiempo,Rutina flexible,VoL_observado_p95,56.26218865540906
cluster_tiempo,Rutina flexible,VoL_observado_p99,108.68218392886106
cluster_tiempo,Rutina flexible,VTAW_predicho_p01,-0.8000599946432196
cluster_tiempo,Rutina flexible,VTAW_predicho_p05,0.0271389445239558
cluster_tiempo,Rutina flexible,VTAW_predicho_p25,1.2590558155833447
cluster_tiempo,Rutina flexible,VTAW_predicho_p50,4.223905303341388
cluster_tiempo,Rutina flexible,VTAW_predicho_p75,10.920199515089493
cluster_tiempo,Rutina flexible,VTAW_predicho_p95,18.996654965734244
cluster_tiempo,Rutina flexible,VTAW_predicho_p99,40.06292251937492
cluster_tiempo,Rutina flexible,VTAW_observado_p01,-13.237674818309536
cluster_tiempo,Rutina flexible,VTAW_observado_p05,-3.3092594
cluster_tiempo,Rutina flexible,VTAW_observado_p25,-3.093885000000011
cluster_tiempo,Rutina flexible,VTAW_observado_p50,-2.9932299999999996
cluster_tiempo,Rutina flexible,VTAW_observado_p75,14.193357092606963
cluster_tiempo,Rutina flexible,VTAW_observado_p95,52.706343201139035
cluster_tiempo,Rutina flexible,VTAW_observado_p99,97.18083776236114
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p01,0.7063861717721863
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p05,1.0089618894911303
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p25,1.4116771365354974
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p50,2.286872177486977
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p75,4.37750551264876
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p95,6.819939891526404
cluster_tiempo,Rutina flexible,VoL_predicho_sobre_w_p99,7.674768461303064
cluster_tiempo,Rutina flexible,VTAW_predicho_sobre_w_p01,-0.2936138282278137
cluster_tiempo,Rutina flexible,VTAW_predicho_sobre_w_p05,0.008961889491130165
cluster_tiempo,Rutina flexible,VTAW_predicho_sobre_w_p25,0.4116771365354974
cluster_tiempo,Rutina flexible,VTAW_predicho_sobre_w_p50,1.286872177486977
cluster_tiempo,Rutina flexible,VTAW_predicho_sobre_w_p75,3.37750551264876
