PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
3,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,0,0,0,68.32911771,168,33.55,-2.700000010236181e-6,34.46762334999998
12,77.67,32.2,6.86,51.269999999999996,3.798088,183.35751767,168,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,138.35999999999999,0,138.35999999999999,44.99751767,168,39.06,111.63997728999999,259.99329457
25,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,168,42.330000000000005,86.12848584365588,233.29884771365585
37,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,00058-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,303.54999999999995,0,303.54999999999995,25.21371608,168,48.230000000000004,321.4500223600001,910.2560419799997
45,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,00067-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,123.16,0,123.16,77.75997966,168,48.709999999999994,1.8400296799999865,140.80780869999998
51,74.54,20.94,13.85,58.669999999999995,7.569237,254.6509037,168,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,240.44,0,240.44,14.2109037,168,34.79,309.5600222800001,572.8937775100002
65,65.36,45.38,10.74,46.519999999999996,2.702575,49.972405208324,168,00101-1-01,60 o mas,Mujeres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,96.02,107.687861271676,-11.667861271676003,61.64026648,168,56.120000000000005,126.66789679167599,278.336405791676
75,57.63,38.29,10.57,61.51000000000001,4.42097,154.3404649,168,00126-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,99.56,0,99.56,54.7804649,168.00000000000003,48.86,100.44003619999998,316.44863039999984
78,53.38,57.19,10.42,47.010000000000005,4.700895,134.77376198000002,168,00128-1-01,30 a 44,Hombres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,108.84,0,108.84,25.93376198,168,67.61,116.16001312,433.98752406999995
93,74.1,16.81,8.99,68.10000000000001,1.925792,137.3211939,168,00157-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,32.12,0,32.12,105.2011939,168,25.799999999999997,5.379993299999995,55.06542689999998
120,73.98,14.52,11.46,68.03999999999999,3.038634,161.95816382,168,00216-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,74.66000000000001,0,74.66000000000001,87.29816382,168,25.98,62.8399795,141.78369082000003
156,75.02,23.78,12.19,57.010000000000005,4.436488,39.185332299999985,168,00282-1-01,45 a 59,Hombres,Quintil medio,Norte,Trabajadores moviles,Motorizados privados,206.35999999999999,250,-43.640000000000015,82.8253323,168,35.97,293.63999746,453.22047082
158,86.79,29.43,6.16,45.61999999999999,3.765382,254.37750590999997,168,00287-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,152.57999999999998,0,152.57999999999998,101.79750591,168,35.59,72.41999787000003,206.42994325000006
159,66.75,31.42,10.62,59.21,8.127471,277.64871574999995,168,00288-1-01,30 a 44,Hombres,Quintil alto,Norte,Trabajadores moviles,Motorizados privados,210.14,0,210.14,67.50871575,168,42.04,264.8599735,606.53885434
168,59.06,39.98,3.03,65.93,4.314037,140.49702622,168,00299-1-04,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Movilidad mixta,110.71000000000001,0,110.71000000000001,29.78702622,168,43.01,114.289999,299.83673036999994
221,60.98,41.18,8.04,57.800000000000004,6.959964,248.51861342,168,00403-1-02,30 a 44,Mujeres,Quintil alto,Centro,Trabajadores moviles,Motorizados privados,199.1,0,199.1,49.41861342,168,49.22,175.8999913,518.4694193799999
242,63.28,31.57,4.54,68.61,3.24057,139.9233024,168,00449-1-01,30 a 44,Hombres,Quintil bajo,Sur,Trabajadores moviles,Usuarios publicos,109.86,0,109.86,30.063302399999998,168,36.11,65.1399672,182.15694989999997
247,50.65,54.57,7.17,55.60999999999999,1.981695,63.77285405,168,00457-1-02,18 a 29,Hombres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,45.9,0,45.9,17.87285405,168,61.74,36.599997699999996,158.94984700000003
249,80.19,24.32,3.9,59.59,2.89561,163.09899088,168,00459-1-01,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Movilidad activa,103.15,77.25,25.900000000000006,137.19899088,168,28.22,69.09997501999999,150.81408922
265,62.29,49.25,10.3,46.16000000000001,9.030711,222.64296769999999,168,00509-1-01,30 a 44,Mujeres,Quintil medio,Centro,Trabajadores moviles,Motorizados privados,302.62,117.5,185.12,37.522967699999995,168,59.55,339.88002049,877.6588605399999
267,69.48,33.4,11.96,53.160000000000004,8.505659,290.09318692,168,00513-1-02,30 a 44,Hombres,Quintil alto,Centro,Trabajadores moviles,Movilidad mixta,199.12,0,199.12,90.97318691999999,168,45.36,300.8800004,686.69669264
291,30.33,18.08,8.64,110.95000000000002,3.903805,71.99768461886792,168,00550-1-02,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,49.349999999999994,8.25471698113208,41.09528301886792,30.9024016,168,26.72,46.404721031132084,150.714390631132
309,74.24,28.45,13.25,52.06,2.622817,121.85790048000001,168,00590-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores moviles,Movilidad mixta,77.14,0,77.14,44.717900480000004,168,41.7,72.86003359999998,182.23150249999998
311,62.21,32.87,7.33,65.58999999999999,6.922018,240.5987617,168,00591-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores moviles,Movilidad mixta,184.98000000000002,0,184.98000000000002,55.6187617,168,40.199999999999996,190.01997808,468.28510167999997
316,59.77,47.48,10.61,50.13999999999999,7.907729,213.62344748846147,168,00595-1-01,30 a 44,Hombres,Quintil alto,Norte,Trabajadores moviles,Motorizados privados,216.94,63.4615384615385,153.4784615384615,60.14498594999999,168,58.089999999999996,259.02151484153853,718.3814924515386
325,33.31,58.42,19.19,57.08,5.600411,104.58970387000001,168,00605-1-02,18 a 29,Hombres,Quintil medio,Sur,Trabajadores moviles,Movilidad mixta,100.54,0,100.54,4.04970387,168,77.61,81.95998654,516.6078842500001
339,48.51,50.24,7.04,62.21,9.84965,218.90652712,168,00624-1-03,60 o mas,Hombres,Quintil alto,Centro,Trabajadores moviles,Motorizados privados,191.1,0,191.1,27.80652712,168,57.28,258.89999438000007,823.08794638
342,107.79,6.49,6.15,47.56999999999999,2.797379,232.1958429266813,168,00630-1-01,30 a 44,Mujeres,Quintil medio,Norte,Trabajadores moviles,Motorizados privados,55.42,24.7535596933187,30.666440306681302,201.52940262,168,12.64,69.3336394833187,104.69251004331866
346,91.59,10.29,7.36,58.760000000000005,2.161877,135.79632983000002,168,00632-1-01,30 a 44,Hombres,Quintil bajo,Norte,Trabajadores moviles,Movilidad mixta,112.79,0,112.79,23.006329830000002,168,17.65,62.209984599999984,100.36711364999996
368,47.17,25.86,13.39,81.58,3.52138,102.24348323000001,168,00676-1-01,45 a 59,Hombres,Quintil bajo,Sur,Trabajadores moviles,Movilidad mixta,48.64,0,48.64,53.60348323,168,39.25,63.860011369999995,202.07417637
378,55.17,25.2,8.72,78.91,2.448903,87.05599675,168,00689-1-03,18 a 29,Hombres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,56.95,0,56.95,30.105996750000003,168,33.92,48.049981759999994,131.11677152
395,77.44,9.64,7.08,73.84,4.884054,232.77117712,168,00719-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,179.55,0,179.55,53.22117711999999,168,16.72,145.44996463999996,227.11134751999998
419,91.03,10.46,9.15,57.35999999999999,2.715064,105.86228924000001,168,00768-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores moviles,Motorizados privados,83.71000000000001,0,83.71000000000001,22.152289239999998,168,19.61,141.28998667999997,194.53239172000002
421,60.46,40.36,10.78,56.39999999999999,3.274053,127.63923638000001,168,00771-1-01,45 a 59,Mujeres,Quintil bajo,Sur,Trabajadores moviles,Usuarios publicos,79.69000000000001,0,79.69000000000001,47.94923638,168,51.14,70.31000799999997,237.74507842000003
443,50.87,52.23,12.04,52.86000000000001,2.828044,76.33257581999999,168,00804-1-03,60 o mas,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,57.46999999999999,0,57.46999999999999,18.86257582,168,64.27,67.53002246,249.28841033999993
451,85.49,10.85,6.48,65.18,3.279278,120.6054793,168,00818-1-01,45 a 59,Hombres,Quintil alto,Norte,Trabajadores moviles,Motorizados privados,115.26,0,115.26,5.3454793,168,17.33,159.73999692,216.56988465999996
453,53.59,56.9,6.73,50.78,5.636334,142.31114696,168,00818-1-03,30 a 44,Hombres,Quintil alto,Norte,Trabajadores moviles,Movilidad mixta,115.26,0,115.26,27.05114696,168,63.629999999999995,159.73999210000002,518.37992452
477,68.54,43.54,6.09,49.83,7.49812,253.71116294,168,00868-1-01,30 a 44,Mujeres,Quintil medio,Centro,Trabajadores moviles,Motorizados privados,214.79,0,214.79,38.92116294,168,49.629999999999995,260.2099818600001,632.34167746
483,52.27,28.51,13.71,73.50999999999999,5.367794,101.4537550062652,168,00873-1-02,18 a 29,Hombres,Quintil alto,Centro,Trabajadores moviles,Movilidad mixta,63.459999999999994,15.0808407437348,48.3791592562652,53.07459574999999,168,42.22,179.12083737373482,405.7491000537349
523,59.62,34.5,5.31,68.57,4.477553,46.69455868285699,168,00934-1-02,30 a 44,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,172.6,142.857142857143,29.74285714285699,16.95170154,168,39.81,220.257151177143,398.5085361071431
533,55.69,42.34,5.68,64.28999999999999,32.009437,613.23553693,168,00966-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores moviles,Motorizados privados,680.63,100,580.63,32.60553693,168,48.02,1169.3700095999998,2706.46317434
541,75.86,28.96,8.51,54.67,4.439957,103.67845365333328,168,00984-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Motorizados privados,178.52999999999997,86.6666666666667,91.86333333333327,11.81512032,168,37.47,233.13668436666666,399.50187315666665
547,89.64,15.93,12.91,49.519999999999996,1.324908,118.76476976000001,168,00997-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,0,0,0,118.76476976000001,168,28.84,-1.664000001255772e-5,38.210330080000006
564,65.6,31.5,4.6,66.30000000000001,3.492818,131.61887040000002,168,01029-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,77.49000000000001,0,77.49000000000001,54.128870400000004,168,36.1,97.50999039999996,223.60072019999998
