PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
1,61.25,17.46,12.58,76.71,3.959658,118.57902849999999,168,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,42.5290285,168,30.04,123.95002400000001,242.89815032000007
2,65.81,24.23,10.64,67.32,3.997689,139.13788734,168,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,63.087887339999995,168,34.870000000000005,123.95002574999998,263.34944118
5,61.04,31.41,8,67.55000000000001,2.100166,59.894142640000005,168,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,56.7,0,56.7,3.19414264,168,39.41,68.29999000000001,151.06753206
7,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,138.92000000000002,0,138.92000000000002,23.1233796,168,54.43,161.07999579999998,500.60905608999997
10,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,290.95,0,290.95,22.37467332,168,45.41,359.0499973000001,1006.33712456
14,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,168,43.75,132.27480791197283,325.76377666197277
18,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,131.21,20,111.21000000000001,24.086808759999997,168,40.16,288.7900188,643.9052605600002
19,62.06,25.63,12.46,67.85,5.640839,180.59048606,168,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,130.51999999999998,0,130.51999999999998,50.07048606,168,38.09,169.47998228,384.33953979
31,91.01,7.88,5.67,63.44,0.8884,77.51330279,168,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,11.66,0,11.66,65.85330279,168,13.55,3.339981210000005,15.377801210000001
33,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,192.48999999999998,0,192.48999999999998,88.81452207999999,168,38.91,207.50998923999998,484.8470063799999
42,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,283.53,0,283.53,47.33918098,168,42.29,416.46998024,986.8539024199999
43,76.25,31.1,6.21,54.44,3.273484,127.012062638889,168,00065-1-01,30 a 44,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,188.52,111.111111111111,77.40888888888901,49.60317375,168,37.31,122.59109236111098,244.724780401111
46,62.58,35.37,6.87,63.180000000000014,40.077886,731.2840738799999,168,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,723.2099999999999,0,723.2099999999999,8.07407388,168,42.239999999999995,1776.7900319999999,3469.6799366399996
55,61.7,33.59,11.57,61.13999999999999,7.16786,299.33695830000005,168,00080-1-01,30 a 44,Hombres,Quintil bajo,Sur,Trabajadores rutinarios,Motorizados privados,232.08000000000004,0,232.08000000000004,67.2569583,168,45.160000000000004,142.9200037,466.6205613
58,51.64,30.53,21.41,64.42,5.057747,138.57203207999999,168,00092-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,102.39,0,102.39,36.18203208,168,51.94,122.61002300000001,385.30940218
61,58.08,36.63,13.51,59.779999999999994,2.659997,121.16263183999999,168,00098-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Trabajadores rutinarios,Movilidad activa,66.66999999999999,0,66.66999999999999,54.492631839999994,168,50.14,33.32999392000002,166.70224350000004
69,52.53,41.88,11.11,62.480000000000004,2.405518,48.57184077,168,00115-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Motorizados privados,57.21,22.5,34.71,13.86184077,168,52.99,77.79001976999999,205.25841859
74,64.56,15.85,8.03,79.56,2.017727,108.39447512000001,168,00125-1-04,45 a 59,Mujeres,Quintil medio,Norte,Trabajadores rutinarios,Movilidad activa,18.13,0,18.13,90.26447512000001,168,23.88,21.86997999999997,70.05330075999996
79,32.91,12.69,9.79,112.61000000000001,1.829655,11.307427040869591,168,00129-1-01,60 o mas,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,43.05,76.95652173913041,-33.90652173913041,45.21394878,168,22.479999999999997,48.906519009130406,90.03716340913039
88,47.74,42.95,10.59,66.71999999999998,5.734147,127.87820081999999,168,00150-1-05,30 a 44,Mujeres,Quintil alto,Norte,Trabajadores rutinarios,Movilidad mixta,104.13,0,104.13,23.74820082,168,53.540000000000006,145.86997696,452.8762073400002
106,57.93,31.63,11.82,66.62,6.560531,220.37158599,168,00182-1-01,18 a 29,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Usuarios publicos,190.32,0,190.32,30.051585989999996,168,43.45,159.67997484000003,444.73504678999996
