PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
1,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,61.25,53.15781230165249,17.46,28.097613355465395,12.58,10.034574342882127,76.71,3.959658,118.57902849999999,76.05,0,76.05,42.5290285,10.637370662079883,18.21044967785124,6.677712662079883,14.25079167785124,2.686436723090702,1.686436723090702,123.95002400000001,91.90772824273671,242.89815032000007,8.092187698347509,-10.637613355465394,2.545425657117873,168,168,0
2,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,65.81,59.13229694152619,24.23,30.614327863367613,10.64,10.933375195106201,67.32,3.997689,139.13788734,76.05,0,76.05,63.087887339999995,10.330880077412889,15.68803888861811,6.33319107741289,11.69034988861811,2.58421304844196,1.5842130484419599,123.95002574999998,97.25464568787291,263.34944118,6.67770305847381,-6.384327863367613,-0.2933751951062007,168,168,0
5,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,61.04,57.04215405222789,31.41,31.98496980247898,8,11.422876145293124,67.55000000000001,2.100166,59.894142640000005,56.7,0,56.7,3.19414264,6.090605669427395,7.648709885404768,3.990439669427395,5.548543885404769,2.9000591712404615,1.9000591712404613,68.29999000000001,59.903849867251246,151.06753206,3.997845947772106,-0.5749698024789787,-3.422876145293124,168,168,0
7,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,51.8,59.41366424182627,38.87,34.496507550491756,15.56,12.319828207681967,61.77000000000001,6.237903,162.0433796,138.92000000000002,0,138.92000000000002,23.1233796,19.662342907382225,13.061024934736901,13.424439907382226,6.823121934736901,3.1520757708772043,2.1520757708772043,161.07999579999998,208.5732948150808,500.60905608999997,-7.613664241826271,4.373492449508241,3.2401717923180335,168,168,0
10,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,47.17,51.75118226868335,33.05,30.084618890749326,12.36,10.74419884056732,75.42,14.254286,313.32467332,290.95,0,290.95,22.37467332,45.87043933063204,34.89614149297153,31.616153330632038,20.64185549297153,3.2180103114692686,2.2180103114692686,359.0499973000001,424.3514795759413,1006.33712456,-4.581182268683349,2.9653811092506714,1.6158011594326798,168,168,0
14,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,58.17,57.82410972731278,34.45,32.491953654699046,9.3,11.603936617988165,66.08,4.422605,124.9881249380272,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,13.085827654609254,13.343601559595895,8.663222654609253,8.920996559595896,2.9588506444978138,1.9588506444978138,132.27480791197283,130.74507186253493,325.76377666197277,0.34589027268722106,1.9580463453009571,-2.303936617988164,168,168,0
18,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,47.96,48.10803065609002,28.93,29.482726066216156,11.23,10.529243277693842,79.87999999999998,8.842511,135.29680876,131.21,20,111.21000000000001,24.086808759999997,31.998547129255332,31.736750537128746,23.156036129255334,22.894239537128747,3.6187172545508095,2.6187172545508095,288.7900188,290.0989815048132,643.9052605600002,-0.14803065609002175,-0.5527260662161559,0.7007567223061582,168,168,0
19,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,62.06,58.05104628562504,25.63,31.020515620387613,12.46,11.078438093987359,67.85,5.640839,180.59048606,130.51999999999998,0,130.51999999999998,50.07048606,15.396581380569051,19.637283976120504,9.755742380569052,13.996444976120504,2.72948428071942,1.72948428071942,169.47998228,146.86611981875888,384.33953979,4.008953714374961,-5.390515620387614,1.3815619060126423,168,168,0
31,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,91.01,89.56311646967822,7.88,11.050418567780964,5.67,3.9464649625408175,63.44,0.8884,77.51330279,11.66,0,11.66,65.85330279,0.6046358337139078,1.087874286354296,-0.28376416628609213,0.1994742863542961,0.6805896372286221,-0.3194103627713779,3.339981210000005,2.0545698816621325,15.377801210000001,1.4468835303217844,-3.170418567780964,1.7235350374591825,168,168,0
33,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,68.58,63.95173724682942,30.39,32.08106712063258,8.52,11.457195632537987,60.510000000000005,7.127654,281.30452207999997,192.48999999999998,0,192.48999999999998,88.81452207999999,17.690960406940565,23.537035390269747,10.563306406940566,16.409381390269747,2.482017281835028,1.4820172818350281,207.50998923999998,174.52133371431268,484.8470063799999,4.628262753170581,-1.6910671206325816,-2.9371956325379873,168,168,0
