PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
9,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,77.06,84.80008931677413,31.36,23.912411216956137,6.2,5.907499466269733,53.379999999999995,3.1810330000000002,245.13040298,0,0,0,245.13040298,3.9960328880960083,0,0.8149998880960081,-3.1810330000000002,1.2562060463050864,0.2562060463050864,0,24.621479539605986,119.47959948000002,-7.740089316774132,7.447588783043862,0.2925005337302675,168,168,0
12,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,77.67,66.90849799081458,32.2,39.951569813393206,6.86,9.869932195792217,51.269999999999996,3.798088,183.35751767,138.35999999999999,0,138.35999999999999,44.99751767,6.874391580552809,13.832756943428087,3.0763035805528087,10.034668943428088,1.8099611121576986,0.8099611121576985,111.63997728999999,70.76684564693699,259.99329457,10.76150200918542,-7.751569813393203,-3.0099321957922163,168,168,0
14,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,58.17,52.2022480646082,34.45,39.86837323863827,9.3,9.849378696753535,66.08,4.422605,124.9881249380272,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,10.306971409652885,14.632560472996234,5.884366409652885,10.209955472996235,2.3305204533646764,1.3305204533646764,132.27480791197283,105.88179836374934,325.76377666197277,5.967751935391803,-5.418373238638267,-0.5493786967535339,168,168,0
15,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,58.44,47.44814918407588,28.2,39.9839252845111,10.67,9.877925531413023,70.69,3.520064,70.07251384,108.11000000000001,93.75,14.360000000000014,55.71251383999999,9.410045868148854,16.88863579539535,5.889981868148855,13.368571795395349,2.67325988054446,1.67325988054446,135.64002632,96.94800796949488,272.464914,10.991850815924117,-11.783925284511103,0.7920744685869767,168,168,0
19,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,62.06,53.03884854498019,25.63,37.77815562440403,12.46,9.332995830615781,67.85,5.640839,180.59048606,130.51999999999998,0,130.51999999999998,50.07048606,12.183077832946708,21.534197047373866,6.542238832946708,15.893358047373866,2.1597988939139565,1.1597988939139565,169.47998228,118.5931193276175,384.33953979,9.021151455019812,-12.14815562440403,3.12700416938422,168,168,0
23,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,52.58,58.7876436156219,41.84,37.70695137883204,11.39,9.315405005546062,62.19,2.64174,106.43268134,67.53,0,67.53,38.90268134,5.029794075979121,2.9522094973648065,2.3880540759791207,0.31046949736480656,1.9039701393699306,0.9039701393699306,32.470007859999996,48.868988305133016,173.08982806,-6.207643615621905,4.133048621167966,2.074594994453939,168,168,0
24,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,54.5,54.32177645683748,31.72,31.472919918135503,7.35,7.775303625027006,74.43,2.206263,88.80131850000001,68.56,0,68.56,20.241318500000002,3.8284077154916765,3.8945795474460367,1.6221447154916766,1.6883165474460369,1.7352453970771737,0.7352453970771738,31.44001499999999,31.046806990991627,117.63871040999996,0.17822354316251676,0.24708008186449604,-0.4253036250270066,168,168,0
28,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,62.38,69.85874484289297,24.71,22.293663207992854,10.57,5.507591949114168,70.34,3.0454,189.972052,0,0,0,189.972052,3.964878666672556,0,0.9194786666725561,-3.0454,1.3019237757511513,0.30192377575115126,0,22.77576954454628,107.44171199999997,-7.478744842892972,2.4163367920071472,5.062408050885832,168,168,0
32,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,98.8,76.08880177213929,18.12,36.48714358828986,4.67,9.014054639570848,46.41,6.202948,379.4112972,216.56,0,216.56,162.85129719999998,9.845518029527735,49.57379084077525,3.642570029527735,43.37084284077525,1.5872320757046061,0.5872320757046061,233.43996520000002,92.5635835748879,374.80515012000006,22.711198227860706,-18.36714358828986,-4.344054639570848,168,168,0
33,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,68.58,59.23879655412672,30.39,38.692356619289384,8.52,9.558846826583888,60.510000000000005,7.127654,281.30452207999997,192.48999999999998,0,192.48999999999998,88.81452207999999,14.135586923511807,25.8106548044743,7.007932923511808,18.6830008044743,1.9832032985203558,0.9832032985203558,207.50998923999998,140.92912313420754,484.8470063799999,9.341203445873276,-8.302356619289384,-1.0388468265838888,168,168,0
43,00065-1-01,30 a 44,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,76.25,61.06025098628006,31.1,42.09924035450705,6.21,10.400508659212884,54.44,3.273484,127.012062638889,188.52,111.111111111111,77.40888888888901,49.60317375,6.717366317086701,15.902115786131409,3.4438823170867012,12.62863178613141,2.052054116374695,1.0520541163746948,122.59109236111098,72.86769200068298,244.724780401111,15.18974901371994,-10.999240354507052,-4.190508659212884,168,168,0
47,00071-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,69.73,60.812763888146755,27.65,39.41087995090993,12.58,9.736356160943314,58.040000000000006,5.684662,232.54147901,161.14999999999998,0,161.14999999999998,71.39147901,11.143187523786386,19.71140878146022,5.458525523786386,14.026746781460222,1.9602198906085155,0.9602198906085155,163.85000225000005,113.15852897992016,392.54395451000005,8.91723611185325,-11.760879950909931,2.8436438390566856,168,168,0
51,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,74.54,57.35100622528938,20.94,41.68164978722277,13.85,10.297343987487855,58.669999999999995,7.569237,254.6509037,240.44,0,240.44,14.2109037,16.708704581828314,43.06373417171543,9.139467581828313,35.49449717171543,2.2074489914674773,1.2074489914674773,309.5600222800001,179.45245460769073,572.8937775100002,17.188993774710625,-20.741649787222766,3.552656012512145,168,168,0
52,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,56.96,68.7524190787014,31.02,30.598340006015945,18.93,7.559240915282666,61.089999999999996,3.106725,176.959056,0,0,0,176.959056,4.646715985284464,0,1.5399909852844642,-3.106725,1.495695945178432,0.495695945178432,0,36.63580316227859,155.18091374999997,-11.792419078701393,0.4216599939840542,11.370759084717335,168,168,0
55,00080-1-01,30 a 44,Hombres,Quintil bajo,Sur,Trabajadores rutinarios,Motorizados privados,61.7,60.14288035538941,33.59,37.46218383015023,11.57,9.254935814460364,61.13999999999999,7.16786,299.33695830000005,232.08000000000004,0,232.08000000000004,67.2569583,13.649752558832619,15.316528063579566,6.481892558832619,8.148668063579567,1.9042995480984029,0.904299548098403,142.9200037,131.7587880841815,466.6205613,1.5571196446105944,-3.8721838301502274,2.3150641855396366,168,168,0
56,00080-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,58.34,67.2027442281171,32.55,24.968782505563794,7.45,6.1684732663191095,69.66,3.038659,177.27536605999998,0,0,0,177.27536605999998,4.1859216335655605,3.438835878712762e-15,1.1472626335655605,-3.0386589999999964,1.3775555709165,0.3775555709164998,2.842170943040401e-14,26.930857513466094,121.54636000000002,-8.862744228117094,7.581217494436203,1.2815267336808907,168,168,0
57,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,56.34,60.34633667703565,47.69,40.01745448830312,6.22,9.886208834661227,57.75,6.213444,246.53546587999998,196.46999999999997,0,196.46999999999997,50.065465880000005,12.4546643210011,9.294328066858286,6.241220321001101,3.080884066858286,2.0044703583071,1.0044703583071,103.52996908000003,128.42311766790712,438.49673512000004,-4.006336677035648,7.672545511696875,-3.6662088346612274,168,168,0
60,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,63.7,63.511825574263646,54.44,49.5154983678446,7.12,12.232676057891762,42.74,5.690309,188.60266080000002,126.13000000000001,0,126.13000000000001,62.4726608,13.543751634171949,13.66933366392481,7.853442634171949,7.97902466392481,2.380143439340807,1.3801434393408072,173.8700225,172.7992518716626,524.16544454,0.18817442573635645,4.924501632155398,-5.112676057891762,168,168,0
61,00098-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Trabajadores rutinarios,Movilidad activa,58.08,62.35554595429066,36.63,36.7784362948852,13.51,9.086017750824139,59.779999999999994,2.659997,121.16263183999999,66.66999999999999,0,66.66999999999999,54.492631839999994,4.717164690215554,3.2171562215601663,2.0571676902155542,0.5571592215601662,1.7733721843353787,0.7733721843353786,33.32999392000002,44.70293333177531,166.70224350000004,-4.2755459542906635,-0.14843629488520094,4.423982249175861,168,168,0
64,00100-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad mixta,68.42,75.09387243420065,46.22,35.496747679095456,4.72,8.769379886703895,48.64,2.661622,162.63819284000002,60.53,0,60.53,102.10819284000002,4.070814957443054,1.8498133456600874,1.4091929574430542,-0.8118086543399126,1.5294489440811108,0.5294489440811108,19.469984399999987,37.233310096061984,155.05300907999995,-6.673872434200646,10.723252320904543,-4.049379886703895,168,168,0
69,00115-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Motorizados privados,52.53,50.93743313082291,41.88,43.769439758482,11.11,10.813127110695083,62.480000000000004,2.405518,48.57184077,57.21,22.5,34.71,13.86184077,6.557808649791724,7.1047893787586975,4.152290649791724,4.699271378758698,2.7261523920385233,1.7261523920385233,77.79001976999999,73.95907149999084,205.25841859,1.592566869177091,-1.8894397584819984,0.2968728893049164,168,168,0
70,00118-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Motorizados privados,79.31,72.71986857679612,40.85,41.923130298689514,4.84,10.357001124514369,43,2.63779,142.31314692,83.11,0,83.11,59.203146919999995,4.582976536836156,7.085347261206096,1.9451865368361565,4.4475572612060965,1.7374304007658519,0.737430400765852,66.88997798,49.50659521318701,187.41060308,6.590131423203886,-1.073130298689513,-5.517001124514369,168,168,0
71,00119-1-01,30 a 44,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,11.41,46.87030759595719,83.74,43.43033920882375,5.88,10.729353195219032,66.97000000000001,3.36889,38.4390349,0,0,0,38.4390349,10.675159818372041,0,7.306269818372041,-3.36889,3.1687469220936397,2.1687469220936393,0,119.46187565694424,301.91992179999994,-35.46030759595719,40.30966079117624,-4.849353195219032,168,168,0
78,00128-1-01,30 a 44,Hombres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,53.38,60.1756977071648,57.19,48.76663178996614,10.42,12.047670502869053,47.010000000000005,4.700895,134.77376198000002,108.84,0,108.84,25.93376198,11.786579821411554,8.315090147055004,7.0856848214115535,3.614195147055004,2.5073054857450665,1.5073054857450663,116.16001312,148.10587449312249,433.98752406999995,-6.795697707164798,8.423368210033857,-1.6276705028690532,168,168,0
82,00137-1-02,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,74.46,67.36664856359467,35.47,38.26907519346022,5.16,9.454276242945106,52.91000000000001,4.253828,213.15998376000002,108.92000000000002,0,108.92000000000002,104.23998376,7.444281205596202,12.338163918745678,3.190453205596202,8.084335918745678,1.7500193250870044,0.7500193250870044,103.58004911999998,73.4061521659788,276.41308075999996,7.093351436405328,-2.7990751934602187,-4.294276242945106,168,168,0
86,00147-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,60.62,68.4402261185273,52.02,40.87236228291737,6.77,10.09741159855533,48.58999999999999,3.290776,162.79685478,88.31,50,38.31,124.48685477999999,5.92740085063651,3.0204060766273337,2.63662485063651,-0.2703699233726664,1.8012167496774347,0.8012167496774347,36.68998634000002,62.42459876542284,230.15470738000005,-7.820226118527309,11.147637717082631,-3.327411598555331,168,168,0
88,00150-1-05,30 a 44,Mujeres,Quintil alto,Norte,Trabajadores rutinarios,Movilidad mixta,47.74,49.91942590590528,42.95,41.18574267788779,10.59,10.174831416206944,66.71999999999998,5.734147,127.87820081999999,104.13,0,104.13,23.74820082,14.923009307908925,13.185870099135382,9.188862307908925,7.451723099135382,2.6024811201925804,1.6024811201925806,145.86997696,158.36712548006906,452.8762073400002,-2.1794259059052763,1.7642573221122149,0.4151685837930561,168,168,0
89,00151-1-02,30 a 44,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,51.79,60.624163793344295,26.29,24.141693214689397,12.65,5.964142991966297,77.27000000000001,3.037327,157.30316532999998,0,0,0,157.30316532999998,4.313477618675417,0,1.2761506186754175,-3.037327,1.4201558207843337,0.42015582078433356,0,26.832244211947057,118.27351337999997,-8.834163793344295,2.148306785310602,6.685857008033703,168,168,0
110,00190-1-01,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,39.32,58.46644255025222,42.03,30.378602193772682,15,7.504955255975089,71.65,3.129569,142.85463736,82.3,0,82.3,60.554637359999994,5.1254595366031666,-1.6802841058705356,1.9958905366031665,-4.809853105870536,1.6377525264990695,0.6377525264990695,-19.79998427999999,40.12012878555029,158.67933579,-19.146442550252218,11.651397806227319,7.495044744024911,168,168,0
113,00203-1-01,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,60.51,57.94988238602643,43.97,42.09151699162455,5.96,10.398600622349004,57.56000000000001,3.263941,112.23106559000001,89.73,25,64.73,47.50106559,7.091673141666855,8.265249431492187,3.8277321416668553,5.001308431492187,2.172733251510017,1.1727332515100166,85.27000431999997,76.91393147492948,248.23857844999998,2.560117613973567,1.8784830083754471,-4.438600622349004,168,168,0
114,00205-1-02,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,57.9,59.00754066618358,15.09,17.836097489246594,8.26,4.406361844569831,86.74999999999999,2.614382,139.182725,40.31,0,40.31,98.872725,3.282456141398966,2.5266076669254995,0.6680741413989661,-0.08777433307450044,1.2555380741601518,0.25553807416015184,12.189992799999999,15.085527181938346,73.23581250000004,-1.1075406661835814,-2.746097489246594,3.8536381554301684,168,168,0
115,00206-1-02,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,54.02,58.63740203977545,28.03,29.856601602811317,13.82,7.375996357413237,72.13,0.236317,12.76585572,0,0,0,12.76585572,0.14183585482712674,-1.3160368351925394e-6,-0.09448114517287326,-0.2363183160368352,0.6001931931563398,-0.39980680684366027,-1.137999999833994e-5,1.0911592178336154,9.889855070000001,-4.617402039775449,-1.8266016028113157,6.444003642586764,168,168,0
122,00220-1-02,30 a 44,Mujeres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,62.24,64.30424989402032,51.56,46.52248922981273,8.52,11.493260876166964,45.67999999999999,4.474784,171.37056364,117.86,0,117.86,53.51056364,9.708289838204102,8.630638637146768,5.233505838204103,4.155854637146769,2.169554963592456,1.1695549635924556,107.13999251999996,116.37706491776379,375.98501523999994,-2.064249894020314,5.037510770187275,-2.9732608761669646,168,168,0
123,00220-1-03,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,48.15,53.37987478865423,48.08,40.62405683319569,7.81,10.036068378150082,63.959999999999994,2.9133,85.5053994,60.230000000000004,0,60.230000000000004,25.2753994,6.687925518655683,4.742745731953857,3.7746255186556827,1.8294457319538568,2.2956528742854094,1.2956528742854092,54.7699956,70.00618982178635,217.59433260000003,-5.229874788654229,7.45594316680431,-2.2260683781500825,168,168,0
