PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
3,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,0,0,0,68.32911771,168,33.55,-2.700000010236181e-6,34.46762334999998
5,61.04,31.41,8,67.55000000000001,2.100166,59.894142640000005,168,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,56.7,0,56.7,3.19414264,168,39.41,68.29999000000001,151.06753206
7,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,138.92000000000002,0,138.92000000000002,23.1233796,168,54.43,161.07999579999998,500.60905608999997
8,31.62,49.05,12,75.33,2.99152,94.5918624,168,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,94.5918624,168,61.05,0,182.63229600000003
10,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,290.95,0,290.95,22.37467332,168,45.41,359.0499973000001,1006.33712456
18,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,131.21,20,111.21000000000001,24.086808759999997,168,40.16,288.7900188,643.9052605600002
25,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,168,42.330000000000005,86.12848584365588,233.29884771365585
29,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,148.31,39.1304347826087,109.1795652173913,60.253325200000006,168,54.7,115.82039988260863,339.20415048260867
37,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,00058-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,303.54999999999995,0,303.54999999999995,25.21371608,168,48.230000000000004,321.4500223600001,910.2560419799997
38,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,00058-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,272.25663423000003,168,22.31,-5.684341886080802e-14,69.03108886999996
45,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,00067-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,123.16,0,123.16,77.75997966,168,48.709999999999994,1.8400296799999865,140.80780869999998
48,23.45,38.98,10.01,95.56000000000002,3.093519,72.54302055,168,00072-1-01,45 a 59,Hombres,Quintil bajo,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,72.54302055,168,48.989999999999995,0,151.55149580999998
50,75.81,27.7,14.02,50.47,2.84351,167.27852930495146,168,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,60.28,3.56796116504854,56.712038834951464,110.56649046999999,168,41.72,48.28796379504857,166.91920099504858
53,24.35,47.87,7.12,88.66,3.03938,74.008903,168,00077-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,74.008903,168,54.989999999999995,0,167.1355062
54,54.25,38.3,12.83,62.620000000000005,2.879951,125.07732475,168,00078-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,21.340000000000003,0,21.340000000000003,103.73732475,168,51.129999999999995,31.16001700000001,178.41191163000002
58,51.64,30.53,21.41,64.42,5.057747,138.57203207999999,168,00092-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,102.39,0,102.39,36.18203208,168,51.94,122.61002300000001,385.30940218
66,69.15,24.71,10.74,63.399999999999984,4.005066,224.44028745,168,00103-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,47.49,0,47.49,176.95028745,168,35.45,52.510026450000026,194.4896161500001
67,36.56,27.42,12.83,91.19,4.066406,111.64780551999999,168,00111-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Movilidad activa,27.979999999999997,0,27.979999999999997,83.66780552,168,40.25,37.01999784,200.69283934
73,59.26,42.84,10.58,55.32000000000001,8.97514,216.22678422,168,00120-1-02,45 a 59,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,134.35999999999999,0,134.35999999999999,81.86678422000001,168,53.42,315.64001218,795.0919909799999
74,64.56,15.85,8.03,79.56,2.017727,108.39447512000001,168,00125-1-04,45 a 59,Mujeres,Quintil medio,Norte,Trabajadores rutinarios,Movilidad activa,18.13,0,18.13,90.26447512000001,168,23.88,21.86997999999997,70.05330075999996
75,57.63,38.29,10.57,61.51000000000001,4.42097,154.3404649,168,00126-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,99.56,0,99.56,54.7804649,168.00000000000003,48.86,100.44003619999998,316.44863039999984
80,49.53,50.21,7.46,60.79999999999999,3.164193,156.72247929,168,00134-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad activa,0,0,0,156.72247929,168,57.67,0,182.47901031000006
81,46.33,40.79,6.94,73.94,3.153856,146.11814848,168,00135-1-02,45 a 59,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,146.11814848,168,47.73,0,150.53354688000002
85,56.95,32.02,12.69,66.34,2.962039,168.68812104999998,168,00146-1-02,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,168.68812104999998,168,44.71,2.842170943040401e-14,132.43276368999997
92,42.29,34.21,13.74,77.76,2.20786,88.68041381000002,168,00156-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,2.81,0,2.81,85.87041381000002,168,47.95,4.689985589999992,110.55687259
93,74.1,16.81,8.99,68.10000000000001,1.925792,137.3211939,168,00157-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,32.12,0,32.12,105.2011939,168,25.799999999999997,5.379993299999995,55.06542689999998
96,77.51,23.2,4.63,62.65999999999999,3.386657,200.56980445,168,00159-1-02,45 a 59,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad activa,88.07,0,88.07,112.49980445000001,168,27.83,61.92997962000004,156.18064393000003
100,75.48,18.96,9.89,63.67,3.077831,232.31468388,168,00165-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,232.31468388,168,28.85,2.842170943040401e-14,88.79542435000005
116,55.21,36.02,7.7,69.06999999999998,4.675645,159.25235428000002,168,00208-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Motorizados privados,126.11000000000001,0,126.11000000000001,33.14235428,168,43.720000000000006,98.89000616999999,303.30920557000013
117,35.6,42.01,6.43,83.96000000000001,4.187139,102.67788588571428,168,00213-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,89.32999999999998,35.7142857142857,53.61571428571428,49.06217159999999,168,48.44,46.38426251428574,249.20927567428572
120,73.98,14.52,11.46,68.03999999999999,3.038634,161.95816382,168,00216-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,74.66000000000001,0,74.66000000000001,87.29816382,168,25.98,62.8399795,141.78369082000003
130,30.31,40.82,4.85,92.02000000000001,2.507353,75.99787338,168,00229-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,75.99787338,168,45.67,-3.94999999286938e-6,114.51080755999998
136,61.85,45.86,8.15,52.14000000000001,3.024611,187.07219035,168,00235-1-02,45 a 59,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad activa,0,0,0,187.07219035,168.00000000000003,54.01,2.842170943040401e-14,163.35924011
137,20.04,14.51,9.46,123.99000000000001,3.026102,60.643084079999994,168,00238-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,60.643084079999994,168,23.97,0,72.53566493999998
138,63.19,37.71,11.84,55.25999999999999,3.058789,115.65485552999999,168,00239-1-01,45 a 59,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,59.870000000000005,0,59.870000000000005,55.784855529999994,168,49.55,77.63002137999999,229.19301633
145,66.5,25.15,11.94,64.41,2.967552,197.342208,168,00260-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,197.342208,168,37.089999999999996,0,110.06650368000001
146,45,42.81,9.89,70.3,3.004444,135.19997999999998,168,00261-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,135.19997999999998,168,52.7,0,158.33419880000002
147,62.98,31.25,7.2,66.57000000000001,4.913503,151.502411,168,00263-1-01,45 a 59,Mujeres,Quintil medio,Centro,Trabajadores rutinarios,Usuarios publicos,142.04999999999998,0,142.04999999999998,9.452411,168,38.45,157.95000794000003,346.87419829
