dimension,categoria,indicador,valor
edad,45 a 59,VoL_predicho_p01,1.0799213479601386
edad,45 a 59,VoL_predicho_p05,3.319600139130481
edad,45 a 59,VoL_predicho_p25,5.661726183880172
edad,45 a 59,VoL_predicho_p50,8.238038174656925
edad,45 a 59,VoL_predicho_p75,13.386060172059013
edad,45 a 59,VoL_predicho_p95,39.686694700465615
edad,45 a 59,VoL_predicho_p99,77.57997024853853
edad,45 a 59,VoL_observado_p01,-2.6975268256052027
edad,45 a 59,VoL_observado_p05,0
edad,45 a 59,VoL_observado_p25,9.350089417379913e-7
edad,45 a 59,VoL_observado_p50,9.751676307004121
edad,45 a 59,VoL_observado_p75,19.118536138133514
edad,45 a 59,VoL_observado_p95,53.84297442254383
edad,45 a 59,VoL_observado_p99,116.61447634600975
edad,45 a 59,VTAW_predicho_p01,-0.07929535425316049
edad,45 a 59,VTAW_predicho_p05,0.7658829900474212
edad,45 a 59,VTAW_predicho_p25,2.767199008229432
edad,45 a 59,VTAW_predicho_p50,5.129913460963093
edad,45 a 59,VTAW_predicho_p75,9.394171877205597
edad,45 a 59,VTAW_predicho_p95,28.610486672008683
edad,45 a 59,VTAW_predicho_p99,58.97517098436741
edad,45 a 59,VTAW_observado_p01,-5.723109085237246
edad,45 a 59,VTAW_observado_p05,-3.16017425
edad,45 a 59,VTAW_observado_p25,-2.0972038182576416
edad,45 a 59,VTAW_observado_p50,6.576598648868931
edad,45 a 59,VTAW_observado_p75,14.970698785518785
edad,45 a 59,VTAW_observado_p95,43.76178802562603
edad,45 a 59,VTAW_observado_p99,95.28467908856061
edad,45 a 59,VoL_predicho_sobre_w_p01,0.9510087433288563
edad,45 a 59,VoL_predicho_sobre_w_p05,1.2922079972752947
edad,45 a 59,VoL_predicho_sobre_w_p25,1.9518536968959863
edad,45 a 59,VoL_predicho_sobre_w_p50,2.596620756675767
edad,45 a 59,VoL_predicho_sobre_w_p75,3.269379350699999
edad,45 a 59,VoL_predicho_sobre_w_p95,4.5057354469664475
edad,45 a 59,VoL_predicho_sobre_w_p99,5.340212254096242
edad,45 a 59,VTAW_predicho_sobre_w_p01,-0.048991256671143665
edad,45 a 59,VTAW_predicho_sobre_w_p05,0.2922079972752948
edad,45 a 59,VTAW_predicho_sobre_w_p25,0.9518536968959863
edad,45 a 59,VTAW_predicho_sobre_w_p50,1.5966207566757666
edad,45 a 59,VTAW_predicho_sobre_w_p75,2.269379350699999
edad,45 a 59,VTAW_predicho_sobre_w_p95,3.5057354469664475
edad,45 a 59,VTAW_predicho_sobre_w_p99,4.340212254096242
edad,45 a 59,Tw_hat_p01,33.88388329495669
edad,45 a 59,Tw_hat_p05,42.69781724035988
edad,45 a 59,Tw_hat_p25,50.86812266529263
edad,45 a 59,Tw_hat_p50,56.012976017537774
edad,45 a 59,Tw_hat_p75,62.969736281730086
edad,45 a 59,Tw_hat_p95,75.49112296589509
edad,45 a 59,Tw_hat_p99,91.52456130280908
edad,45 a 59,Tf1_hat_p01,13.425419383420714
edad,45 a 59,Tf1_hat_p05,19.903900173778492
edad,45 a 59,Tf1_hat_p25,30.257469040809045
edad,45 a 59,Tf1_hat_p50,35.35285373518493
edad,45 a 59,Tf1_hat_p75,39.61052273776535
edad,45 a 59,Tf1_hat_p95,44.78320772899429
edad,45 a 59,Tf1_hat_p99,48.03043755077599
edad,45 a 59,Tf2_hat_p01,3.8792310535427097
edad,45 a 59,Tf2_hat_p05,5.751166904781084
edad,45 a 59,Tf2_hat_p25,8.742796791112756
edad,45 a 59,Tf2_hat_p50,10.21509154568696
edad,45 a 59,Tf2_hat_p75,11.44533108896057
edad,45 a 59,Tf2_hat_p95,12.939961511675673
edad,45 a 59,Tf2_hat_p99,13.878237956000493
edad,45 a 59,ingreso_libre_observado_p01,-16.998499800000012
edad,45 a 59,ingreso_libre_observado_p05,0
edad,45 a 59,ingreso_libre_observado_p25,5.225000013098224e-6
edad,45 a 59,ingreso_libre_observado_p50,61.90499486500001
edad,45 a 59,ingreso_libre_observado_p75,117.83815537696202
edad,45 a 59,ingreso_libre_observado_p95,332.3408008931555
edad,45 a 59,ingreso_libre_observado_p99,766.4274805495018
edad,45 a 59,ingreso_libre_predicho_p01,4.0146705400279306
edad,45 a 59,ingreso_libre_predicho_p05,13.314193959994258
edad,45 a 59,ingreso_libre_predicho_p25,33.540477027830455
edad,45 a 59,ingreso_libre_predicho_p50,57.185889937532664
edad,45 a 59,ingreso_libre_predicho_p75,101.09327930848784
edad,45 a 59,ingreso_libre_predicho_p95,309.5517321577024
edad,45 a 59,ingreso_libre_predicho_p99,634.344840240141
edad,45 a 59,ingreso_potencial_neto_Ec_p01,29.978125360499988
edad,45 a 59,ingreso_potencial_neto_Ec_p05,77.11533384749998
edad,45 a 59,ingreso_potencial_neto_Ec_p25,144.40875520499998
edad,45 a 59,ingreso_potencial_neto_Ec_p50,200.3450732695569
edad,45 a 59,ingreso_potencial_neto_Ec_p75,303.8962320625001
edad,45 a 59,ingreso_potencial_neto_Ec_p95,871.264172375
edad,45 a 59,ingreso_potencial_neto_Ec_p99,1686.8475359967815
