PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
1,61.25,17.46,12.58,76.71,3.959658,118.57902849999999,168,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,42.5290285,168,30.04,123.95002400000001,242.89815032000007
20,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,168,58.64,76.6960669456067,253.08864670560672
21,40.97,64.13,12.11,50.790000000000006,3.025548,26.116701559999996,168,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,56.66,154.5,-97.84,123.95670156,168,76.24,97.84,328.50777952
22,80.26,5.58,10.45,71.71,3.597166,288.70854316000003,168,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,288.70854316000003,168,16.03,0,57.66257098
26,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,168,34.949999999999996,67.57779758548389,223.5022946354839
31,91.01,7.88,5.67,63.44,0.8884,77.51330279,168,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,11.66,0,11.66,65.85330279,168,13.55,3.339981210000005,15.377801210000001
40,36.19,40.38,9.63,81.80000000000001,3.107775,112.47037725,168,00059-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,0,0,0,112.47037725,168,50.010000000000005,0,155.41982774999997
41,34.01,33.42,5.82,94.75,2.968391,60.15582536762709,168,00061-1-03,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,26.149999999999995,66.9491525423729,-40.79915254237291,100.95497791,168,39.24,40.79915254237291,157.2788153823729
42,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,283.53,0,283.53,47.33918098,168,42.29,416.46998024,986.8539024199999
46,62.58,35.37,6.87,63.180000000000014,40.077886,731.2840738799999,168,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,723.2099999999999,0,723.2099999999999,8.07407388,168,42.239999999999995,1776.7900319999999,3469.6799366399996
65,65.36,45.38,10.74,46.519999999999996,2.702575,49.972405208324,168,00101-1-01,60 o mas,Mujeres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,96.02,107.687861271676,-11.667861271676003,61.64026648,168,56.120000000000005,126.66789679167599,278.336405791676
68,47.39,30.05,9.99,80.57000000000001,2.767243,81.49510631290781,168,00113-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Usuarios publicos,51.57000000000001,97.4645390070922,-45.89453900709219,127.38964532,168,40.04,49.64453945709221,160.44494917709218
72,33.95,16.79,17.16,100.10000000000002,3.062645,87.72679775,168,00119-1-02,60 o mas,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,51.25,67.5,-16.25,103.97679775,168.00000000000003,33.95,16.25,120.22679774999992
79,32.91,12.69,9.79,112.61000000000001,1.829655,11.307427040869591,168,00129-1-01,60 o mas,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,43.05,76.95652173913041,-33.90652173913041,45.21394878,168,22.479999999999997,48.906519009130406,90.03716340913039
90,35.69,33.91,26.45,71.95,3.104627,110.80413762999999,168,00153-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,0,0,0,110.80413762999999,168,60.36,0,187.39528571999998
91,58.81,20.66,8.09,80.44,2.328012,134.10037455999998,168,00154-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Cuidadores domesticos,Movilidad mixta,49.43999999999999,0,49.43999999999999,84.66037456,168,28.75,2.8100111600000446,69.74035616000003
102,28.4,42.17,9.32,88.10999999999999,3.250721,26.863647131707296,168,00173-1-02,60 o mas,Mujeres,Quintil medio,Centro,Rutina flexible,Motorizados privados,65.47,130.9268292682927,-65.4568292682927,92.32047639999999,167.99999999999997,51.49,65.4568292682927,232.83645355829276
111,22.24,62.36,30.43,52.96999999999999,3.065629,68.17958895999999,168,00194-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Motorizados privados,0,0,0,68.17958895999999,168,92.78999999999999,0,284.45971491
112,41.42,58.79,9.49,58.29999999999999,3.062451,20.316720419999996,168,00199-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,77.22,183.75,-106.53,126.84672042,168,68.28,106.53,315.6341542800001
121,78.17,22.45,10.46,56.919999999999995,2.743131,166.82056823,168,00220-1-01,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,52.38999999999999,0,52.38999999999999,114.43056823,168,32.91,47.609982040000006,137.88642325000006
128,40.67,60.48,11.92,54.92999999999999,3.345083,48.15452561000001,168,00227-1-02,60 o mas,Hombres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,66.61000000000001,154.5,-87.88999999999999,136.04452561,168,72.39999999999999,87.88999999999999,330.0740092
129,72.37,21.63,14.54,59.46,2.443609,29.2303350363636,168,00228-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,75.75,123.3636363636364,-47.6136363636364,76.8439714,168,36.17,147.6136482936364,235.99898582363636
131,49.47,28.72,11.3,78.51,4.097925,21.25945900220401,168,00231-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,146.54000000000002,140.504869297796,6.035130702204015,15.224328299999998,168,40.019999999999996,181.46489074779598,345.463849247796
132,65.23,26.96,8.6,67.21000000000001,3.007682,148.7524910168426,168,00231-1-04,60 o mas,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,38.28,85.7186058431574,-47.438605843157404,196.19109686000002,168,35.56,47.438605843157404,154.39177776315734
142,77.38,21.14,12.07,57.410000000000004,3.127134,145.60762891999997,168,00256-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,58.13,154.5,-96.37,241.97762891999997,168,33.21,96.37,200.22212014000002
143,52.4,22.5,14.88,78.22,0.760508,40.7006398,168,00258-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,30.849999999999998,0,30.849999999999998,9.8506398,168,37.38,-0.8500206000000006,27.577768440000007
155,35.8,39.66,8.98,83.55999999999999,3.072313,19.666987218181802,168,00281-1-02,60 o mas,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad activa,87.86,178.1818181818182,-90.32181818181819,109.98880539999999,168,48.64,90.32181818181819,239.75912250181818
164,43.83,45.51,9.84,68.82,2.600957,113.9999484,168,00292-1-01,60 o mas,Mujeres,Quintil bajo,Norte,Rutina flexible,Movilidad activa,0,0,0,113.9999484,168,55.349999999999994,-3.089999992766934e-6,143.96296686000005
167,52.54,61.44,6.24,47.78000000000001,3.614895,0.5165574399999855,168,00297-1-01,60 o mas,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,103.08999999999999,142.5,-39.41000000000001,39.926557439999996,168,67.67999999999999,189.41002586000002,434.06611946000004
185,47.82,39.67,12.9,67.61,3.02866,144.8305212,168,00341-1-04,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,144.8305212,168,52.57,0,159.21665620000002
193,29.29,55.2,11.75,71.76,3.143625,92.07677625,168,00354-1-02,60 o mas,Mujeres,Quintil medio,Sur,Rutina flexible,Motorizados privados,0,0,0,92.07677625,168,66.95,0,210.46569374999999
195,33.3,44.13,5.94,84.63,3.154025,105.02903250000001,168,00356-1-02,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,105.02903250000001,168,50.07,-2.842170943040401e-14,157.92203174999997
198,39.95,72.96,7.45,47.640000000000015,3.101202,81.21483808181819,168,00361-1-01,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,39.13999999999999,81.8181818181818,-42.678181818181805,123.89301989999998,168,80.41,42.67818181818181,292.04583463818176
206,65.94,42.49,5.65,53.92,5.233038,153.6984395719481,168,00374-1-02,60 o mas,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Movilidad mixta,160.57999999999998,101.9480519480519,58.631948051948086,95.06649152,168,48.14,191.36808614805187,443.2865354680519
211,56.9,42.66,8.88,59.559999999999995,0.466961,26.570104500000003,168,00389-1-02,60 o mas,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,0,0,0,26.570104500000003,168,51.54,-2.3600000002232946e-5,24.067146339999997
215,28.34,42.76,11.39,85.51,2.972241,84.23330994,168,00393-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad mixta,0,0,0,84.23330994,168,54.15,0,160.94685015
226,62.78,9.58,11.73,83.91,3.047999,91.41337722,168,00413-1-02,60 o mas,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,57.56,157.5,-99.94,191.35337722,168,21.310000000000002,99.94,164.89285869
232,52.52,28.08,18.9,68.5,6.153641,149.75921344,168,00430-1-02,60 o mas,Hombres,Quintil medio,Centro,Trabajadores rutinarios,Motorizados privados,126.57,0,126.57,23.18921344,168,46.98,173.43001188000005,462.52806606000007
