dimension,categoria,indicador,valor
edad,60 o mas,VoL_predicho_p01,1.6500097093274553
edad,60 o mas,VoL_predicho_p05,3.4283591438384717
edad,60 o mas,VoL_predicho_p25,5.107484788344377
edad,60 o mas,VoL_predicho_p50,6.893883248228467
edad,60 o mas,VoL_predicho_p75,9.053341677980447
edad,60 o mas,VoL_predicho_p95,17.901862678196135
edad,60 o mas,VoL_predicho_p99,34.9201475699139
edad,60 o mas,VoL_observado_p01,-6.41448264935035e-7
edad,60 o mas,VoL_observado_p05,0
edad,60 o mas,VoL_observado_p25,3.0302386637077063
edad,60 o mas,VoL_observado_p50,7.171454651505461
edad,60 o mas,VoL_observado_p75,12.282008162838128
edad,60 o mas,VoL_observado_p95,28.996578370013005
edad,60 o mas,VoL_observado_p99,58.096523478657886
edad,60 o mas,VTAW_predicho_p01,0.25941544525684274
edad,60 o mas,VTAW_predicho_p05,0.9613855526049916
edad,60 o mas,VTAW_predicho_p25,2.2097178388628445
edad,60 o mas,VTAW_predicho_p50,3.754019518195583
edad,60 o mas,VTAW_predicho_p75,5.813221580281289
edad,60 o mas,VTAW_predicho_p95,10.682651382626643
edad,60 o mas,VTAW_predicho_p99,23.054660739181106
edad,60 o mas,VTAW_observado_p01,-3.4323544200000002
edad,60 o mas,VTAW_observado_p05,-3.1339703
edad,60 o mas,VTAW_observado_p25,-0.027304151361256634
edad,60 o mas,VTAW_observado_p50,4.05495123652351
edad,60 o mas,VTAW_observado_p75,8.796978706180479
edad,60 o mas,VTAW_observado_p95,22.918011382218157
edad,60 o mas,VTAW_observado_p99,48.42891653198308
edad,60 o mas,VoL_predicho_sobre_w_p01,1.1168039421209481
edad,60 o mas,VoL_predicho_sobre_w_p05,1.3619178374369314
edad,60 o mas,VoL_predicho_sobre_w_p25,1.7666333096777016
edad,60 o mas,VoL_predicho_sobre_w_p50,2.170421740272525
edad,60 o mas,VoL_predicho_sobre_w_p75,2.7124606164297758
edad,60 o mas,VoL_predicho_sobre_w_p95,3.2812010682354273
edad,60 o mas,VoL_predicho_sobre_w_p99,3.3926015310985793
edad,60 o mas,VTAW_predicho_sobre_w_p01,0.11680394212094808
edad,60 o mas,VTAW_predicho_sobre_w_p05,0.3619178374369315
edad,60 o mas,VTAW_predicho_sobre_w_p25,0.7666333096777016
edad,60 o mas,VTAW_predicho_sobre_w_p50,1.1704217402725252
edad,60 o mas,VTAW_predicho_sobre_w_p75,1.7124606164297758
edad,60 o mas,VTAW_predicho_sobre_w_p95,2.2812010682354273
edad,60 o mas,VTAW_predicho_sobre_w_p99,2.392601531098579
edad,60 o mas,Tw_hat_p01,27.409579743425745
edad,60 o mas,Tw_hat_p05,33.693000596933665
edad,60 o mas,Tw_hat_p25,41.5567657460975
edad,60 o mas,Tw_hat_p50,47.937232775628054
edad,60 o mas,Tw_hat_p75,54.839684397612466
edad,60 o mas,Tw_hat_p95,67.9014822833299
edad,60 o mas,Tw_hat_p99,78.31974995697007
edad,60 o mas,Tf1_hat_p01,16.686177741919224
edad,60 o mas,Tf1_hat_p05,22.966391152421977
edad,60 o mas,Tf1_hat_p25,32.448979992615165
edad,60 o mas,Tf1_hat_p50,37.570517282239955
edad,60 o mas,Tf1_hat_p75,41.9451222685479
edad,60 o mas,Tf1_hat_p95,48.22589166098056
edad,60 o mas,Tf1_hat_p99,52.110420421259704
edad,60 o mas,Tf2_hat_p01,5.028914018767078
edad,60 o mas,Tf2_hat_p05,6.921657446855102
edad,60 o mas,Tf2_hat_p25,9.7795392631833291
edad,60 o mas,Tf2_hat_p50,11.323078536933753
edad,60 o mas,Tf2_hat_p75,12.64150584140534
edad,60 o mas,Tf2_hat_p95,14.534416832452646
edad,60 o mas,Tf2_hat_p99,15.705143972065676
edad,60 o mas,ingreso_libre_observado_p01,-8.3159999977056e-6
edad,60 o mas,ingreso_libre_observado_p05,0
edad,60 o mas,ingreso_libre_observado_p25,33.23808988119154
edad,60 o mas,ingreso_libre_observado_p50,68.60999695000001
edad,60 o mas,ingreso_libre_observado_p75,105.82
edad,60 o mas,ingreso_libre_observado_p95,240.55986385987833
edad,60 o mas,ingreso_libre_observado_p99,504.5351146173439
edad,60 o mas,ingreso_libre_predicho_p01,11.922410176557662
edad,60 o mas,ingreso_libre_predicho_p05,23.36819233586665
edad,60 o mas,ingreso_libre_predicho_p25,45.93916101625921
edad,60 o mas,ingreso_libre_predicho_p50,69.86234480982233
edad,60 o mas,ingreso_libre_predicho_p75,98.65464839610274
edad,60 o mas,ingreso_libre_predicho_p95,203.54646283137768
edad,60 o mas,ingreso_libre_predicho_p99,422.985486681432
edad,60 o mas,ingreso_potencial_neto_Ec_p01,55.2838414094
edad,60 o mas,ingreso_potencial_neto_Ec_p05,102.80896023100003
edad,60 o mas,ingreso_potencial_neto_Ec_p25,168.45538272269323
edad,60 o mas,ingreso_potencial_neto_Ec_p50,218.81659074000004
edad,60 o mas,ingreso_potencial_neto_Ec_p75,272.086578845
edad,60 o mas,ingreso_potencial_neto_Ec_p95,615.3434963606238
edad,60 o mas,ingreso_potencial_neto_Ec_p99,1192.278220292234
