PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
1,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,61.25,47.39372813496159,17.46,33.730504232715695,12.58,10.165767632322718,76.71,3.959658,118.57902849999999,76.05,0,76.05,42.5290285,7.572563017988081,19.8536429872395,3.612905017988081,15.893984987239499,1.9124285526649223,0.9124285526649223,123.95002400000001,69.08392625942577,242.89815032000007,13.856271865038408,-16.270504232715695,2.4142323676772826,168,168,0
20,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,29.9,37.6580700276872,35.84,39.09838082779833,22.8,11.783549144514488,79.46,3.008059,13.244897154393286,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,9.4595911762647,6.293216214888645,6.451532176264701,3.285157214888645,3.1447492141160467,2.1447492141160467,76.6960669456067,100.03279931502145,253.08864670560672,-7.758070027687204,-3.2583808277983266,11.016450855485513,168,168,0
21,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,40.97,50.360340823518975,64.13,51.3682054535435,12.11,15.481453722937509,50.790000000000006,3.025548,26.116701559999996,56.66,154.5,-97.84,123.95670156,9.087175152400837,6.174859461113374,6.0616271524008365,3.1493114611133737,3.0034807421336023,2.0034807421336023,97.84,126.2509268979162,328.50777952,-9.390340823518976,12.761794546456493,-3.3714537229375097,168,168,0
22,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,80.26,83.15605404756833,5.58,10.092306264705792,10.45,3.0416396877258824,71.71,3.597166,288.70854316000003,0,0,0,288.70854316000003,3.8165015127124247,0,0.21933551271242457,-3.597166,1.0609745318154415,0.06097453181544154,0,10.417587154075136,57.66257098,-2.8960540475683274,-4.512306264705792,7.408360312274117,168,168,0
26,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,74.15,70.35236670526835,29.4,29.774218933080185,5.55,8.973414361651471,58.89999999999999,4.461359,263.2319722645161,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,6.287830156072902,9.303585962686537,1.826471156072902,4.842226962686537,1.4093979336952938,0.40939793369529376,67.57779758548389,50.63519210733318,223.5022946354839,3.7976332947316536,-0.3742189330801864,-3.4234143616514716,168,168,0
31,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,91.01,89.03026698637444,7.88,11.933262277023744,5.67,3.596470736601815,63.44,0.8884,77.51330279,11.66,0,11.66,65.85330279,0.48990582379274056,1.1860370324926897,-0.3984941762072594,0.2976370324926897,0.5514473478081277,-0.4485526521918724,3.339981210000005,1.58118640069506,15.377801210000001,1.9797330136255624,-4.053262277023744,2.0735292633981848,168,168,0
40,00059-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,36.19,48.91064890300463,40.38,28.65365466296469,9.63,8.63569643403067,81.80000000000001,3.107775,112.47037725,0,0,0,112.47037725,5.10114337325692,0,1.9933683732569198,-3.107775,1.6414133498264578,0.6414133498264577,0,39.53291464453521,155.41982774999997,-12.72064890300463,11.726345337035312,0.9943035659693304,168,168,0
41,00061-1-03,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,34.01,36.307469626810665,33.42,28.38715280767501,5.82,8.555377565514316,94.75,2.968391,60.15582536762709,26.149999999999995,66.9491525423729,-40.79915254237291,100.95497791,6.202212076729736,5.002829069717104,3.2338210767297357,2.0344380697171043,2.0894188389365604,1.0894188389365604,40.79915254237291,47.618940705371045,157.2788153823729,-2.297469626810667,5.03284719232499,-2.735377565514316,168,168,0
42,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,55.41,47.523138938473714,30.7,38.55659609599328,11.59,11.620264965533003,70.3,13.487442,330.86918097999995,283.53,0,283.53,47.33918098,29.73628803917965,47.38485307054595,16.248846039179654,33.89741107054595,2.204738900021194,1.204738900021194,416.46998024,310.0963991106058,986.8539024199999,7.886861061526282,-7.856596095993279,-0.030264965533003618,168,168,0
46,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,62.58,48.078733441298525,35.37,43.600776341835115,6.87,13.140490216866347,63.180000000000014,40.077886,731.2840738799999,723.2099999999999,0,723.2099999999999,8.07407388,101.38740479981695,202.39776886719625,61.30951879981695,162.31988286719624,2.529759299176033,1.5297592991760331,1776.7900319999999,1195.6099240047502,3469.6799366399996,14.501266558701474,-8.230776341835117,-6.270490216866347,168,168,0
