PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
10,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,290.95,0,290.95,22.37467332,168,45.41,359.0499973000001,1006.33712456
11,75.16,38.82,8.36,45.660000000000004,3.712825,168.58594048,168,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,89.53,0,89.53,79.05594048,168,47.18,110.46998651999999,285.64107002000003
16,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,601.84,0,601.84,39.55914846,168,52.49,1148.1600021500003,2920.8333332600005
17,53.92,47.81,6.42,59.849999999999994,4.7225,107.01722016,168,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,77.38,0,77.38,29.637220160000002,168,54.230000000000004,147.61997984,403.72115484000005
18,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,131.21,20,111.21000000000001,24.086808759999997,168,40.16,288.7900188,643.9052605600002
29,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,148.31,39.1304347826087,109.1795652173913,60.253325200000006,168,54.7,115.82039988260863,339.20415048260867
30,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,6.4399999999999995,0,6.4399999999999995,82.20793986000001,168,38.15,6.060026260000001,119.60838916
32,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,216.56,0,216.56,162.85129719999998,168,22.79,233.43996520000002,374.80515012000006
33,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,192.48999999999998,0,192.48999999999998,88.81452207999999,168,38.91,207.50998923999998,484.8470063799999
36,47.11,55.48,8.64,56.769999999999996,0.133731,6.30005066,168,00056-1-03,18 a 29,Hombres,Quintil alto,Sur,Jovenes trabajadores,Movilidad activa,0,0,0,6.30005066,168,64.12,1.67499999994547e-5,8.57484847
42,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,283.53,0,283.53,47.33918098,168,42.29,416.46998024,986.8539024199999
43,76.25,31.1,6.21,54.44,3.273484,127.012062638889,168,00065-1-01,30 a 44,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,188.52,111.111111111111,77.40888888888901,49.60317375,168,37.31,122.59109236111098,244.724780401111
44,49.76,62.22,8.02,48.000000000000014,5.385343,114.72579015111098,168,00065-1-02,18 a 29,Mujeres,Quintil alto,Sur,Jovenes trabajadores,Motorizados privados,235.64,138.888888888889,96.75111111111099,17.97467904,168,70.24,153.248877528889,531.5153698488889
46,62.58,35.37,6.87,63.180000000000014,40.077886,731.2840738799999,168,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,723.2099999999999,0,723.2099999999999,8.07407388,168,42.239999999999995,1776.7900319999999,3469.6799366399996
60,63.7,54.44,7.12,42.74,5.690309,188.60266080000002,168,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,126.13000000000001,0,126.13000000000001,62.4726608,168,61.559999999999995,173.8700225,524.16544454
73,59.26,42.84,10.58,55.32000000000001,8.97514,216.22678422,168,00120-1-02,45 a 59,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,134.35999999999999,0,134.35999999999999,81.86678422000001,168,53.42,315.64001218,795.0919909799999
77,74.59,39.33,7.18,46.9,6.270937,288.3317463928814,168,00127-1-01,18 a 29,Mujeres,Quintil alto,Sur,Cuidadores domesticos,Motorizados privados,246.43,50.8474576271186,195.5825423728814,92.74920402000001,168,46.51,179.4174444371186,471.0787243071186
81,46.33,40.79,6.94,73.94,3.153856,146.11814848,168,00135-1-02,45 a 59,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,146.11814848,168,47.73,0,150.53354688000002
82,74.46,35.47,5.16,52.91000000000001,4.253828,213.15998376000002,168,00137-1-02,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,108.92000000000002,0,108.92000000000002,104.23998376,168,40.629999999999995,103.58004911999998,276.41308075999996
