dimension,categoria,indicador,valor
ingresos,Quintil alto,VoL_predicho_p01,1.7226671042454818
ingresos,Quintil alto,VoL_predicho_p05,2.949883933978326
ingresos,Quintil alto,VoL_predicho_p25,3.472433075346168
ingresos,Quintil alto,VoL_predicho_p50,5.7802167342154105
ingresos,Quintil alto,VoL_predicho_p75,10.213270181443075
ingresos,Quintil alto,VoL_predicho_p95,21.49028929758496
ingresos,Quintil alto,VoL_predicho_p99,35.48009988591517
ingresos,Quintil alto,VoL_observado_p01,0
ingresos,Quintil alto,VoL_observado_p05,0
ingresos,Quintil alto,VoL_observado_p25,2.572678351353505
ingresos,Quintil alto,VoL_observado_p50,7.323276900196472
ingresos,Quintil alto,VoL_observado_p75,13.529944151495334
ingresos,Quintil alto,VoL_observado_p95,31.67390503546415
ingresos,Quintil alto,VoL_observado_p99,59.40983397649407
ingresos,Quintil alto,VTAW_predicho_p01,0.10494268918960269
ingresos,Quintil alto,VTAW_predicho_p05,0.19406260994164698
ingresos,Quintil alto,VTAW_predicho_p25,0.34848255723258326
ingresos,Quintil alto,VTAW_predicho_p50,0.5635183611720538
ingresos,Quintil alto,VTAW_predicho_p75,1.0507995799996968
ingresos,Quintil alto,VTAW_predicho_p95,2.4932414929672864
ingresos,Quintil alto,VTAW_predicho_p99,4.127494752273057
ingresos,Quintil alto,VTAW_observado_p01,-7.289876782553827
ingresos,Quintil alto,VTAW_observado_p05,-3.1893566499999997
ingresos,Quintil alto,VTAW_observado_p25,-1.4941050748745603
ingresos,Quintil alto,VTAW_observado_p50,1.1326506098901055
ingresos,Quintil alto,VTAW_observado_p75,5.1461658103545656
ingresos,Quintil alto,VTAW_observado_p95,15.310154917749392
ingresos,Quintil alto,VTAW_observado_p99,36.30186250533758
ingresos,Quintil alto,VoL_predicho_sobre_w_p01,1.0495691046359041
ingresos,Quintil alto,VoL_predicho_sobre_w_p05,1.067075618133221
ingresos,Quintil alto,VoL_predicho_sobre_w_p25,1.0932697818764154
ingresos,Quintil alto,VoL_predicho_sobre_w_p50,1.1109175323932827
ingresos,Quintil alto,VoL_predicho_sobre_w_p75,1.1292829781807157
ingresos,Quintil alto,VoL_predicho_sobre_w_p95,1.1607535647440597
ingresos,Quintil alto,VoL_predicho_sobre_w_p99,1.1821054366978365
ingresos,Quintil alto,VTAW_predicho_sobre_w_p01,0.04956910463590407
ingresos,Quintil alto,VTAW_predicho_sobre_w_p05,0.06707561813322115
ingresos,Quintil alto,VTAW_predicho_sobre_w_p25,0.09326978187641553
ingresos,Quintil alto,VTAW_predicho_sobre_w_p50,0.1109175323932827
ingresos,Quintil alto,VTAW_predicho_sobre_w_p75,0.12928297818071566
