dimension,categoria,indicador,valor
ingresos,Quintil bajo,VoL_predicho_p01,0.8087326584921577
ingresos,Quintil bajo,VoL_predicho_p05,2.0337813111091974
ingresos,Quintil bajo,VoL_predicho_p25,3.2674670782485524
ingresos,Quintil bajo,VoL_predicho_p50,3.8432701869961226
ingresos,Quintil bajo,VoL_predicho_p75,4.80945202442377
ingresos,Quintil bajo,VoL_predicho_p95,7.1083595067777985
ingresos,Quintil bajo,VoL_predicho_p99,10.2084644821178
ingresos,Quintil bajo,VoL_observado_p01,-2.2302678828761797
ingresos,Quintil bajo,VoL_observado_p05,-1.910290124367381e-15
ingresos,Quintil bajo,VoL_observado_p25,0
ingresos,Quintil bajo,VoL_observado_p50,3.738109192551488
ingresos,Quintil bajo,VoL_observado_p75,7.79672258127076
ingresos,Quintil bajo,VoL_observado_p95,15.700155343424374
ingresos,Quintil bajo,VoL_observado_p99,24.247243291143622
ingresos,Quintil bajo,VTAW_predicho_p01,-0.1610907294705766
ingresos,Quintil bajo,VTAW_predicho_p05,0.0836180990235803
ingresos,Quintil bajo,VTAW_predicho_p25,0.44471563408469517
ingresos,Quintil bajo,VTAW_predicho_p50,0.8000621206094527
ingresos,Quintil bajo,VTAW_predicho_p75,1.385981884685401
ingresos,Quintil bajo,VTAW_predicho_p95,2.526371192242504
ingresos,Quintil bajo,VTAW_predicho_p99,3.46167730651387
ingresos,Quintil bajo,VTAW_observado_p01,-5.210223318741449
ingresos,Quintil bajo,VTAW_observado_p05,-3.1976106069638046
ingresos,Quintil bajo,VTAW_observado_p25,-2.99096375
ingresos,Quintil bajo,VTAW_observado_p50,0.7864548608664994
ingresos,Quintil bajo,VTAW_observado_p75,4.396443528866413
ingresos,Quintil bajo,VTAW_observado_p95,11.747274705671765
ingresos,Quintil bajo,VTAW_observado_p99,19.864915210090338
ingresos,Quintil bajo,VoL_predicho_sobre_w_p01,0.8517197435532268
ingresos,Quintil bajo,VoL_predicho_sobre_w_p05,1.0355502765381501
ingresos,Quintil bajo,VoL_predicho_sobre_w_p25,1.1581116799850562
ingresos,Quintil bajo,VoL_predicho_sobre_w_p50,1.2621788220410861
ingresos,Quintil bajo,VoL_predicho_sobre_w_p75,1.3963444437479766
ingresos,Quintil bajo,VoL_predicho_sobre_w_p95,1.7372657088167478
ingresos,Quintil bajo,VoL_predicho_sobre_w_p99,1.8947888024134272
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p01,-0.14828025644677326
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p05,0.03555027653815012
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p25,0.15811167998505604
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p50,0.2621788220410861
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p75,0.3963444437479765
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p95,0.7372657088167478
ingresos,Quintil bajo,VTAW_predicho_sobre_w_p99,0.8947888024134271
ingresos,Quintil bajo,Tw_hat_p01,17.804340106021428
ingresos,Quintil bajo,Tw_hat_p05,26.224930344248115
ingresos,Quintil bajo,Tw_hat_p25,42.38787513234144
ingresos,Quintil bajo,Tw_hat_p50,52.02702967645504
ingresos,Quintil bajo,Tw_hat_p75,62.8106685143536
ingresos,Quintil bajo,Tw_hat_p95,80.21385365006468
ingresos,Quintil bajo,Tw_hat_p99,95.46173070221951
ingresos,Quintil bajo,Tf1_hat_p01,12.144688219380447
ingresos,Quintil bajo,Tf1_hat_p05,19.224495497582122
ingresos,Quintil bajo,Tf1_hat_p25,30.41904886122758
ingresos,Quintil bajo,Tf1_hat_p50,37.48539864435253
ingresos,Quintil bajo,Tf1_hat_p75,44.14011727676767
ingresos,Quintil bajo,Tf1_hat_p95,52.97743923427409
ingresos,Quintil bajo,Tf1_hat_p99,58.96743660858996
ingresos,Quintil bajo,Tf2_hat_p01,3.011793893729085
ingresos,Quintil bajo,Tf2_hat_p05,4.767534341247491
ingresos,Quintil bajo,Tf2_hat_p25,7.543701736788236
ingresos,Quintil bajo,Tf2_hat_p50,9.296104823909666
ingresos,Quintil bajo,Tf2_hat_p75,10.946426394916251
ingresos,Quintil bajo,Tf2_hat_p95,13.138017634455998
ingresos,Quintil bajo,Tf2_hat_p99,14.623493192949846
ingresos,Quintil bajo,ingreso_libre_observado_p01,-22.023097303000004
ingresos,Quintil bajo,ingreso_libre_observado_p05,-2.842170943040401e-14
ingresos,Quintil bajo,ingreso_libre_observado_p25,0
ingresos,Quintil bajo,ingreso_libre_observado_p50,39.05499726500001
ingresos,Quintil bajo,ingreso_libre_observado_p75,74.20247217499998
ingresos,Quintil bajo,ingreso_libre_observado_p95,138.5064854279999
ingresos,Quintil bajo,ingreso_libre_observado_p99,194.11660172779992
ingresos,Quintil bajo,ingreso_libre_predicho_p01,4.833722993123853
ingresos,Quintil bajo,ingreso_libre_predicho_p05,13.906582901867482
ingresos,Quintil bajo,ingreso_libre_predicho_p25,28.8219763094733
ingresos,Quintil bajo,ingreso_libre_predicho_p50,41.52252046386342
ingresos,Quintil bajo,ingreso_libre_predicho_p75,58.00731988698084
ingresos,Quintil bajo,ingreso_libre_predicho_p95,95.10159342865332
ingresos,Quintil bajo,ingreso_libre_predicho_p99,138.37873645751657
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p01,29.317714497899992
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p05,71.42086023750001
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p25,133.92052952749998
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p50,179.77996111
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p75,235.55704613923072
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p95,382.01706456249997
ingresos,Quintil bajo,ingreso_potencial_neto_Ec_p99,553.2718774785001
