PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
4,12.79,78.66,11.88,64.67000000000002,3.134717,40.09303043,168,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,0,0,0,40.09303043,168,90.53999999999999,0,283.81727717999996
14,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,168,43.75,132.27480791197283,325.76377666197277
15,58.44,28.2,10.67,70.69,3.520064,70.07251384,168,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,108.11000000000001,93.75,14.360000000000014,55.71251383999999,168,38.87,135.64002632,272.464914
19,62.06,25.63,12.46,67.85,5.640839,180.59048606,168,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,130.51999999999998,0,130.51999999999998,50.07048606,168,38.09,169.47998228,384.33953979
20,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,168,58.64,76.6960669456067,253.08864670560672
25,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,168,42.330000000000005,86.12848584365588,233.29884771365585
26,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,168,34.949999999999996,67.57779758548389,223.5022946354839
28,62.38,24.71,10.57,70.34,3.0454,189.972052,168,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,0,0,0,189.972052,168,35.28,0,107.44171199999997
37,53.26,35.32,12.91,66.51000000000002,12.208294,328.76371607999994,168,00058-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,303.54999999999995,0,303.54999999999995,25.21371608,168,48.230000000000004,321.4500223600001,910.2560419799997
38,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,00058-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,272.25663423000003,168,22.31,-5.684341886080802e-14,69.03108886999996
39,10.67,35.5,6.44,115.39000000000001,3.259843,34.78252481,168,00058-1-04,18 a 29,Mujeres,Quintil medio,Sur,Rutina flexible,Usuarios publicos,0,0,0,34.78252481,168,41.94,0,136.71781541999997
50,75.81,27.7,14.02,50.47,2.84351,167.27852930495146,168,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,60.28,3.56796116504854,56.712038834951464,110.56649046999999,168,41.72,48.28796379504857,166.91920099504858
51,74.54,20.94,13.85,58.669999999999995,7.569237,254.6509037,168,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,240.44,0,240.44,14.2109037,168,34.79,309.5600222800001,572.8937775100002
52,56.96,31.02,18.93,61.089999999999996,3.106725,176.959056,168,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,0,0,0,176.959056,168,49.95,0,155.18091374999997
65,65.36,45.38,10.74,46.519999999999996,2.702575,49.972405208324,168,00101-1-01,60 o mas,Mujeres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,96.02,107.687861271676,-11.667861271676003,61.64026648,168,56.120000000000005,126.66789679167599,278.336405791676
67,36.56,27.42,12.83,91.19,4.066406,111.64780551999999,168,00111-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Movilidad activa,27.979999999999997,0,27.979999999999997,83.66780552,168,40.25,37.01999784,200.69283934
74,64.56,15.85,8.03,79.56,2.017727,108.39447512000001,168,00125-1-04,45 a 59,Mujeres,Quintil medio,Norte,Trabajadores rutinarios,Movilidad activa,18.13,0,18.13,90.26447512000001,168,23.88,21.86997999999997,70.05330075999996
75,57.63,38.29,10.57,61.51000000000001,4.42097,154.3404649,168,00126-1-01,45 a 59,Hombres,Quintil medio,Sur,Trabajadores moviles,Motorizados privados,99.56,0,99.56,54.7804649,168.00000000000003,48.86,100.44003619999998,316.44863039999984
76,67.11,46.94,4.38,49.57,2.738096,120.98363767,168,00126-1-03,18 a 29,Mujeres,Quintil medio,Sur,Jovenes trabajadores,Motorizados privados,62.23,0,62.23,58.753637669999996,168,51.32,62.76998489,203.28907161
85,56.95,32.02,12.69,66.34,2.962039,168.68812104999998,168,00146-1-02,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,168.68812104999998,168,44.71,2.842170943040401e-14,132.43276368999997
102,28.4,42.17,9.32,88.10999999999999,3.250721,26.863647131707296,168,00173-1-02,60 o mas,Mujeres,Quintil medio,Centro,Rutina flexible,Motorizados privados,65.47,130.9268292682927,-65.4568292682927,92.32047639999999,167.99999999999997,51.49,65.4568292682927,232.83645355829276
108,57.17,40.26,7.77,62.8,5.057279,160.98462714,168,00185-1-02,18 a 29,Mujeres,Quintil medio,Norte,Trabajadores rutinarios,Usuarios publicos,121.86,0,121.86,39.12462714,168,48.03,128.14001329,371.0411236600001
121,78.17,22.45,10.46,56.919999999999995,2.743131,166.82056823,168,00220-1-01,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,52.38999999999999,0,52.38999999999999,114.43056823,168,32.91,47.609982040000006,137.88642325000006
122,62.24,51.56,8.52,45.67999999999999,4.474784,171.37056364,168,00220-1-02,30 a 44,Mujeres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,117.86,0,117.86,53.51056364,168,60.08,107.13999251999996,375.98501523999994
123,48.15,48.08,7.81,63.959999999999994,2.9133,85.5053994,168,00220-1-03,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,60.230000000000004,0,60.230000000000004,25.2753994,168,55.89,54.7699956,217.59433260000003
125,38.96,58.99,8.16,61.889999999999986,11.67662,277.84109567999997,168,00223-1-01,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Motorizados privados,247.92,0,247.92,29.921095680000004,168,67.15,177.08001952,961.1650525200001
136,61.85,45.86,8.15,52.14000000000001,3.024611,187.07219035,168,00235-1-02,45 a 59,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad activa,0,0,0,187.07219035,168.00000000000003,54.01,2.842170943040401e-14,163.35924011
138,63.19,37.71,11.84,55.25999999999999,3.058789,115.65485552999999,168,00239-1-01,45 a 59,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,59.870000000000005,0,59.870000000000005,55.784855529999994,168,49.55,77.63002137999999,229.19301633
141,48.78,33.31,8.54,77.37,4.446399,110.47536097999999,168,00252-1-02,18 a 29,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad mixta,81.08,0,81.08,29.395360979999996,168,41.85,106.41998224000004,292.50178039
147,62.98,31.25,7.2,66.57000000000001,4.913503,151.502411,168,00263-1-01,45 a 59,Mujeres,Quintil medio,Centro,Trabajadores rutinarios,Usuarios publicos,142.04999999999998,0,142.04999999999998,9.452411,168,38.45,157.95000794000003,346.87419829
