dimension,categoria,indicador,valor
ingresos,Quintil medio,VoL_predicho_p01,1.8863139259309953
ingresos,Quintil medio,VoL_predicho_p05,2.754858773161629
ingresos,Quintil medio,VoL_predicho_p25,3.55467993731566
ingresos,Quintil medio,VoL_predicho_p50,4.273519585976327
ingresos,Quintil medio,VoL_predicho_p75,6.17529624551462
ingresos,Quintil medio,VoL_predicho_p95,11.325131231041457
ingresos,Quintil medio,VoL_predicho_p99,16.559483660748466
ingresos,Quintil medio,VoL_observado_p01,-6.204519103734017e-16
ingresos,Quintil medio,VoL_observado_p05,0
ingresos,Quintil medio,VoL_observado_p25,2.3416122412797664
ingresos,Quintil medio,VoL_observado_p50,5.062266960203316
ingresos,Quintil medio,VoL_observado_p75,8.713596409547609
ingresos,Quintil medio,VoL_observado_p95,16.62995381014865
ingresos,Quintil medio,VoL_observado_p99,23.704500054005692
ingresos,Quintil medio,VTAW_predicho_p01,0.1811231433820961
ingresos,Quintil medio,VTAW_predicho_p05,0.3033187836547205
ingresos,Quintil medio,VTAW_predicho_p25,0.5649692731645621
ingresos,Quintil medio,VTAW_predicho_p50,0.8852304401840989
ingresos,Quintil medio,VTAW_predicho_p75,1.3185467702151894
ingresos,Quintil medio,VTAW_predicho_p95,2.495081618801107
ingresos,Quintil medio,VTAW_predicho_p99,3.9771154367202515
ingresos,Quintil medio,VTAW_observado_p01,-3.2660949399999994
ingresos,Quintil medio,VTAW_observado_p05,-3.0966631
ingresos,Quintil medio,VTAW_observado_p25,-0.8570637194518016
ingresos,Quintil medio,VTAW_observado_p50,1.210186911306685
ingresos,Quintil medio,VTAW_observado_p75,3.7392466062328866
ingresos,Quintil medio,VTAW_observado_p95,9.857692352199333
ingresos,Quintil medio,VTAW_observado_p99,18.436363659237443
ingresos,Quintil medio,VoL_predicho_sobre_w_p01,1.0669435598641668
ingresos,Quintil medio,VoL_predicho_sobre_w_p05,1.1107314895692184
ingresos,Quintil medio,VoL_predicho_sobre_w_p25,1.1770792030572528
ingresos,Quintil medio,VoL_predicho_sobre_w_p50,1.2289227206362237
ingresos,Quintil medio,VoL_predicho_sobre_w_p75,1.2993140955732483
ingresos,Quintil medio,VoL_predicho_sobre_w_p95,1.426659781619351
ingresos,Quintil medio,VoL_predicho_sobre_w_p99,1.482400391486153
ingresos,Quintil medio,VTAW_predicho_sobre_w_p01,0.06694355986416684
ingresos,Quintil medio,VTAW_predicho_sobre_w_p05,0.11073148956921851
ingresos,Quintil medio,VTAW_predicho_sobre_w_p25,0.17707920305725278
ingresos,Quintil medio,VTAW_predicho_sobre_w_p50,0.2289227206362236
ingresos,Quintil medio,VTAW_predicho_sobre_w_p75,0.2993140955732482
ingresos,Quintil medio,VTAW_predicho_sobre_w_p95,0.426659781619351
ingresos,Quintil medio,VTAW_predicho_sobre_w_p99,0.4824003914861531
ingresos,Quintil medio,Tw_hat_p01,23.28821471340435
ingresos,Quintil medio,Tw_hat_p05,33.53105815538605
ingresos,Quintil medio,Tw_hat_p25,47.429672500010405
ingresos,Quintil medio,Tw_hat_p50,56.414278727989924
ingresos,Quintil medio,Tw_hat_p75,64.8230919608743
ingresos,Quintil medio,Tw_hat_p95,78.25126217278708
ingresos,Quintil medio,Tw_hat_p99,91.81698281667174
ingresos,Quintil medio,Tf1_hat_p01,14.773752671278778
ingresos,Quintil medio,Tf1_hat_p05,22.252510567820984
ingresos,Quintil medio,Tf1_hat_p25,31.513452991109666
ingresos,Quintil medio,Tf1_hat_p50,37.21219738198697
ingresos,Quintil medio,Tf1_hat_p75,42.343873148068425
ingresos,Quintil medio,Tf1_hat_p95,50.107973718403976
ingresos,Quintil medio,Tf1_hat_p99,54.813164213478196
ingresos,Quintil medio,Tf2_hat_p01,3.8065959019329974
ingresos,Quintil medio,Tf2_hat_p05,5.7335679985941
ingresos,Quintil medio,Tf2_hat_p25,8.11973664923503
ingresos,Quintil medio,Tf2_hat_p50,9.58807157585456
ingresos,Quintil medio,Tf2_hat_p75,10.910295954173176
ingresos,Quintil medio,Tf2_hat_p95,12.910789266254374
ingresos,Quintil medio,Tf2_hat_p99,14.123125715556345
ingresos,Quintil medio,ingreso_libre_observado_p01,-1.4210854715202004e-14
ingresos,Quintil medio,ingreso_libre_observado_p05,0
ingresos,Quintil medio,ingreso_libre_observado_p25,47.52999442
ingresos,Quintil medio,ingreso_libre_observado_p50,89.1
ingresos,Quintil medio,ingreso_libre_observado_p75,141.7465516165385
ingresos,Quintil medio,ingreso_libre_observado_p95,263.37192468869887
ingresos,Quintil medio,ingreso_libre_observado_p99,343.79479275120013
ingresos,Quintil medio,ingreso_libre_predicho_p01,21.30028717712694
ingresos,Quintil medio,ingreso_libre_predicho_p05,35.314544650323924
ingresos,Quintil medio,ingreso_libre_predicho_p25,58.5319470369784
ingresos,Quintil medio,ingreso_libre_predicho_p50,82.87233475553637
ingresos,Quintil medio,ingreso_libre_predicho_p75,122.02075741722226
ingresos,Quintil medio,ingreso_libre_predicho_p95,230.79638396168963
ingresos,Quintil medio,ingreso_libre_predicho_p99,348.84605014439643
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p01,70.293121068
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p05,113.01525225300003
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p25,178.35683800348488
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p50,245.11117047999994
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p75,363.408242937119
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p95,683.0715547550002
ingresos,Quintil medio,ingreso_potencial_neto_Ec_p99,1013.8493572630005
