PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
1,61.25,17.46,12.58,76.71,3.959658,118.57902849999999,168,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,42.5290285,168,30.04,123.95002400000001,242.89815032000007
4,12.79,78.66,11.88,64.67000000000002,3.134717,40.09303043,168,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,0,0,0,40.09303043,168,90.53999999999999,0,283.81727717999996
5,61.04,31.41,8,67.55000000000001,2.100166,59.894142640000005,168,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,56.7,0,56.7,3.19414264,168,39.41,68.29999000000001,151.06753206
6,53.07,52.11,5.85,56.970000000000006,3.008345,77.68286899,168,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,68.03,0,68.03,9.652868990000002,168,57.96,81.97000015999998,256.33367636
7,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,138.92000000000002,0,138.92000000000002,23.1233796,168,54.43,161.07999579999998,500.60905608999997
10,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,290.95,0,290.95,22.37467332,168,45.41,359.0499973000001,1006.33712456
11,75.16,38.82,8.36,45.660000000000004,3.712825,168.58594048,168,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,89.53,0,89.53,79.05594048,168,47.18,110.46998651999999,285.64107002000003
12,77.67,32.2,6.86,51.269999999999996,3.798088,183.35751767,168,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,138.35999999999999,0,138.35999999999999,44.99751767,168,39.06,111.63997728999999,259.99329457
16,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,601.84,0,601.84,39.55914846,168,52.49,1148.1600021500003,2920.8333332600005
19,62.06,25.63,12.46,67.85,5.640839,180.59048606,168,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,130.51999999999998,0,130.51999999999998,50.07048606,168,38.09,169.47998228,384.33953979
20,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,168,58.64,76.6960669456067,253.08864670560672
22,80.26,5.58,10.45,71.71,3.597166,288.70854316000003,168,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,288.70854316000003,168,16.03,0,57.66257098
24,54.5,31.72,7.35,74.43,2.206263,88.80131850000001,168,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,68.56,0,68.56,20.241318500000002,168,39.07,31.44001499999999,117.63871040999996
25,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,168,42.330000000000005,86.12848584365588,233.29884771365585
