dimension,categoria,indicador,valor
sexo,Hombres,VoL_predicho_p01,0.7778054864344315
sexo,Hombres,VoL_predicho_p05,1.920333885702934
sexo,Hombres,VoL_predicho_p25,3.098015794958301
sexo,Hombres,VoL_predicho_p50,3.614022998597687
sexo,Hombres,VoL_predicho_p75,5.460635218471916
sexo,Hombres,VoL_predicho_p95,13.730972950201508
sexo,Hombres,VoL_predicho_p99,24.580301775658334
sexo,Hombres,VoL_observado_p01,-0.056383724034358616
sexo,Hombres,VoL_observado_p05,0
sexo,Hombres,VoL_observado_p25,1.4931551377047623
sexo,Hombres,VoL_observado_p50,4.194688673402979
sexo,Hombres,VoL_observado_p75,8.085225324635768
sexo,Hombres,VoL_observado_p95,21.213952594137975
sexo,Hombres,VoL_observado_p99,45.288939565353346
sexo,Hombres,VTAW_predicho_p01,-0.07716326011085176
sexo,Hombres,VTAW_predicho_p05,0.07539856329410904
sexo,Hombres,VTAW_predicho_p25,0.2142583412848187
sexo,Hombres,VTAW_predicho_p50,0.35360071984913555
sexo,Hombres,VTAW_predicho_p75,0.541820501506949
sexo,Hombres,VTAW_predicho_p95,1.494899687125919
sexo,Hombres,VTAW_predicho_p99,3.0270388801575367
sexo,Hombres,VTAW_observado_p01,-4.528170623167646
sexo,Hombres,VTAW_observado_p05,-3.2013591999999997
sexo,Hombres,VTAW_observado_p25,-1.417530038579116
sexo,Hombres,VTAW_observado_p50,0.5772720187242757
sexo,Hombres,VTAW_observado_p75,3.0439955093230013
sexo,Hombres,VTAW_observado_p95,11.610037006637238
sexo,Hombres,VTAW_observado_p99,28.18898835850416
sexo,Hombres,VoL_predicho_sobre_w_p01,0.9037346452971288
sexo,Hombres,VoL_predicho_sobre_w_p05,1.0376897339720967
sexo,Hombres,VoL_predicho_sobre_w_p25,1.0730451494976228
sexo,Hombres,VoL_predicho_sobre_w_p50,1.0945103542877492
sexo,Hombres,VoL_predicho_sobre_w_p75,1.1200036339650965
sexo,Hombres,VoL_predicho_sobre_w_p95,1.1646639339701985
sexo,Hombres,VoL_predicho_sobre_w_p99,1.1856236550301484
sexo,Hombres,VTAW_predicho_sobre_w_p01,-0.09626535470287118
sexo,Hombres,VTAW_predicho_sobre_w_p05,0.037689733972096684
sexo,Hombres,VTAW_predicho_sobre_w_p25,0.07304514949762259
sexo,Hombres,VTAW_predicho_sobre_w_p50,0.0945103542877493
sexo,Hombres,VTAW_predicho_sobre_w_p75,0.12000363396509635
sexo,Hombres,VTAW_predicho_sobre_w_p95,0.16466393397019843
sexo,Hombres,VTAW_predicho_sobre_w_p99,0.18562365503014844
sexo,Hombres,Tw_hat_p01,18.988453173319517
sexo,Hombres,Tw_hat_p05,27.87686864454519
sexo,Hombres,Tw_hat_p25,43.83244253035987
sexo,Hombres,Tw_hat_p50,52.50876750771438
sexo,Hombres,Tw_hat_p75,60.449204009729215
sexo,Hombres,Tw_hat_p95,74.25365717361814
sexo,Hombres,Tw_hat_p99,86.06887728580358
sexo,Hombres,Tf1_hat_p01,16.11147882519051
sexo,Hombres,Tf1_hat_p05,23.94528321637729
sexo,Hombres,Tf1_hat_p25,33.50661320256067
sexo,Hombres,Tf1_hat_p50,39.61532478079389
sexo,Hombres,Tf1_hat_p75,45.28525610382111
sexo,Hombres,Tf1_hat_p95,53.833141659448586
sexo,Hombres,Tf1_hat_p99,60.08814375797314
sexo,Hombres,Tf2_hat_p01,3.8208707487840523
sexo,Hombres,Tf2_hat_p05,5.678673770762558
sexo,Hombres,Tf2_hat_p25,7.946163084441243
sexo,Hombres,Tf2_hat_p50,9.394856754046323
sexo,Hombres,Tf2_hat_p75,10.739492772553646
sexo,Hombres,Tf2_hat_p95,12.76664162945347
sexo,Hombres,Tf2_hat_p99,14.250028400534228
sexo,Hombres,ingreso_libre_observado_p01,-0.9469835242000061
sexo,Hombres,ingreso_libre_observado_p05,0
sexo,Hombres,ingreso_libre_observado_p25,30.905
sexo,Hombres,ingreso_libre_observado_p50,76.17999168
sexo,Hombres,ingreso_libre_observado_p75,135.22999637499998
sexo,Hombres,ingreso_libre_observado_p95,351.47900395499994
sexo,Hombres,ingreso_libre_observado_p99,793.3618018622
sexo,Hombres,ingreso_libre_predicho_p01,8.40801260484792
sexo,Hombres,ingreso_libre_predicho_p05,28.90404049372695
sexo,Hombres,ingreso_libre_predicho_p25,52.60760784871801
sexo,Hombres,ingreso_libre_predicho_p50,73.85731041832642
sexo,Hombres,ingreso_libre_predicho_p75,113.46589995969521
sexo,Hombres,ingreso_libre_predicho_p95,300.1877304747246
sexo,Hombres,ingreso_libre_predicho_p99,573.199113032235
sexo,Hombres,ingreso_potencial_neto_Ec_p01,31.120193623599995
sexo,Hombres,ingreso_potencial_neto_Ec_p05,97.01942552699995
sexo,Hombres,ingreso_potencial_neto_Ec_p25,173.21665101648426
sexo,Hombres,ingreso_potencial_neto_Ec_p50,240.10263769000005
sexo,Hombres,ingreso_potencial_neto_Ec_p75,367.49118533
sexo,Hombres,ingreso_potencial_neto_Ec_p95,955.2114710514875
sexo,Hombres,ingreso_potencial_neto_Ec_p99,1811.2264463250012
