PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
2,65.81,24.23,10.64,67.32,3.997689,139.13788734,168,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,63.087887339999995,168,34.870000000000005,123.95002574999998,263.34944118
3,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,0,0,0,68.32911771,168,33.55,-2.700000010236181e-6,34.46762334999998
8,31.62,49.05,12,75.33,2.99152,94.5918624,168,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,94.5918624,168,61.05,0,182.63229600000003
9,77.06,31.36,6.2,53.379999999999995,3.1810330000000002,245.13040298,168,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,0,0,0,245.13040298,168,37.56,0,119.47959948000002
14,58.17,34.45,9.3,66.08,4.422605,124.9881249380272,168,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,168,43.75,132.27480791197283,325.76377666197277
15,58.44,28.2,10.67,70.69,3.520064,70.07251384,168,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,108.11000000000001,93.75,14.360000000000014,55.71251383999999,168,38.87,135.64002632,272.464914
17,53.92,47.81,6.42,59.849999999999994,4.7225,107.01722016,168,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,77.38,0,77.38,29.637220160000002,168,54.230000000000004,147.61997984,403.72115484000005
18,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,131.21,20,111.21000000000001,24.086808759999997,168,40.16,288.7900188,643.9052605600002
21,40.97,64.13,12.11,50.790000000000006,3.025548,26.116701559999996,168,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,56.66,154.5,-97.84,123.95670156,168,76.24,97.84,328.50777952
23,52.58,41.84,11.39,62.19,2.64174,106.43268134,168,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,67.53,0,67.53,38.90268134,168,53.230000000000004,32.470007859999996,173.08982806
26,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,168,34.949999999999996,67.57779758548389,223.5022946354839
28,62.38,24.71,10.57,70.34,3.0454,189.972052,168,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,0,0,0,189.972052,168,35.28,0,107.44171199999997
29,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,148.31,39.1304347826087,109.1795652173913,60.253325200000006,168,54.7,115.82039988260863,339.20415048260867
30,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,6.4399999999999995,0,6.4399999999999995,82.20793986000001,168,38.15,6.060026260000001,119.60838916
31,91.01,7.88,5.67,63.44,0.8884,77.51330279,168,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,11.66,0,11.66,65.85330279,168,13.55,3.339981210000005,15.377801210000001
32,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,216.56,0,216.56,162.85129719999998,168,22.79,233.43996520000002,374.80515012000006
38,87.99,15.1,7.21,57.70000000000001,3.094177,272.25663423000003,168,00058-1-03,45 a 59,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,0,0,0,272.25663423000003,168,22.31,-5.684341886080802e-14,69.03108886999996
39,10.67,35.5,6.44,115.39000000000001,3.259843,34.78252481,168,00058-1-04,18 a 29,Mujeres,Quintil medio,Sur,Rutina flexible,Usuarios publicos,0,0,0,34.78252481,168,41.94,0,136.71781541999997
40,36.19,40.38,9.63,81.80000000000001,3.107775,112.47037725,168,00059-1-02,60 o mas,Mujeres,Quintil bajo,Sur,Rutina flexible,Movilidad activa,0,0,0,112.47037725,168,50.010000000000005,0,155.41982774999997
41,34.01,33.42,5.82,94.75,2.968391,60.15582536762709,168,00061-1-03,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,26.149999999999995,66.9491525423729,-40.79915254237291,100.95497791,168,39.24,40.79915254237291,157.2788153823729
42,55.41,30.7,11.59,70.3,13.487442,330.86918097999995,168,00062-1-02,60 o mas,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,283.53,0,283.53,47.33918098,168,42.29,416.46998024,986.8539024199999
43,76.25,31.1,6.21,54.44,3.273484,127.012062638889,168,00065-1-01,30 a 44,Mujeres,Quintil alto,Sur,Trabajadores rutinarios,Motorizados privados,188.52,111.111111111111,77.40888888888901,49.60317375,168,37.31,122.59109236111098,244.724780401111
44,49.76,62.22,8.02,48.000000000000014,5.385343,114.72579015111098,168,00065-1-02,18 a 29,Mujeres,Quintil alto,Sur,Jovenes trabajadores,Motorizados privados,235.64,138.888888888889,96.75111111111099,17.97467904,168,70.24,153.248877528889,531.5153698488889
45,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,00067-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,123.16,0,123.16,77.75997966,168,48.709999999999994,1.8400296799999865,140.80780869999998
47,69.73,27.65,12.58,58.040000000000006,5.684662,232.54147901,168,00071-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,161.14999999999998,0,161.14999999999998,71.39147901,168,40.23,163.85000225000005,392.54395451000005
50,75.81,27.7,14.02,50.47,2.84351,167.27852930495146,168,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,60.28,3.56796116504854,56.712038834951464,110.56649046999999,168,41.72,48.28796379504857,166.91920099504858
52,56.96,31.02,18.93,61.089999999999996,3.106725,176.959056,168,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,0,0,0,176.959056,168,49.95,0,155.18091374999997
53,24.35,47.87,7.12,88.66,3.03938,74.008903,168,00077-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,74.008903,168,54.989999999999995,0,167.1355062
