PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
2,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,65.81,51.3307867881214,24.23,39.18481701789078,10.64,10.164396193987827,67.32,3.997689,139.13788734,76.05,0,76.05,63.087887339999995,6.406532030881877,17.01044698229524,2.408843030881877,13.01275798229524,1.6025588861169233,0.6025588861169233,123.95002574999998,66.06663436421826,263.34944118,14.479213211878601,-14.954817017890779,0.4756038060121739,168,168,0
3,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,66.51,71.99897420720411,23.56,22.281331139041328,9.99,5.779694653754562,67.94,1.027351,68.32911771,0,0,0,68.32911771,0.9616728138438607,-3.8511664811256e-7,-0.06567818615613918,-1.027351385116648,0.9360703536024794,-0.0639296463975206,-2.700000010236181e-6,5.639100440745338,34.46762334999998,-5.488974207204109,1.2786688609586712,4.2103053462454385,168,168,0
8,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,31.62,46.9256599854243,49.05,36.322435078739375,12,9.421904935836325,75.33,2.99152,94.5918624,0,0,0,94.5918624,4.789913355874899,0,1.7983933558748988,-2.99152,1.6011637414675144,0.6011637414675145,0,45.78718795959651,182.63229600000003,-15.305659985424303,12.727564921260623,2.5780950641636746,168,168,0
9,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,77.06,84.30779080831284,31.36,24.068841087387064,6.2,6.243368104300096,53.379999999999995,3.1810330000000002,245.13040298,0,0,0,245.13040298,3.6397980389813833,0,0.4587650389813831,-3.1810330000000002,1.1442188870663659,0.14421888706636588,0,23.055461738339858,119.47959948000002,-7.247790808312843,7.291158912612936,-0.043368104300095744,168,168,0
14,00020-1-02,30 a 44,Mujeres,Quintil medio,Sur,Trabajadores rutinarios,Motorizados privados,58.17,48.160058587070125,34.45,42.68707300587972,9.3,11.072868407050159,66.08,4.422605,124.9881249380272,154.79999999999998,87.0748299319728,67.72517006802718,57.26295487000001,7.833729671379571,14.468387571824268,3.4111246713795715,10.045782571824269,1.7712930888875609,0.771293088887561,132.27480791197283,88.00479096944207,325.76377666197277,10.009941412929876,-8.237073005879715,-1.772868407050158,168,168,0
15,00022-1-01,30 a 44,Mujeres,Quintil medio,Sur,Cuidadores domesticos,Motorizados privados,58.44,42.592501483581366,28.2,43.44740326126374,10.67,11.270095255154889,70.69,3.520064,70.07251384,108.11000000000001,93.75,14.360000000000014,55.71251383999999,6.983954090603204,16.699150411720794,3.4638900906032037,13.179086411720794,1.984041793161489,0.984041793161489,135.64002632,79.85581730230135,272.464914,15.847498516418632,-15.247403261263738,-0.6000952551548888,168,168,0
17,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,53.92,47.6085109737052,47.81,48.07183367444202,6.42,12.469655351852795,59.849999999999994,4.7225,107.01722016,77.38,0,77.38,29.637220160000002,9.31246717488138,13.026465361386995,4.58996717488138,8.303965361386995,1.9719358760998158,0.9719358760998158,147.61997984,117.81397291332283,403.72115484000005,6.311489026294801,-0.2618336744420162,-6.049655351852795,168,168,0
18,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,47.96,37.59969246761938,28.93,40.11470249473801,11.23,10.40560503764263,79.87999999999998,8.842511,135.29680876,131.21,20,111.21000000000001,24.086808759999997,18.67735930877014,34.41196928660292,9.83484830877014,25.569458286602917,2.1122234746182547,1.1122234746182549,288.7900188,197.17888548154147,643.9052605600002,10.360307532380624,-11.184702494738012,0.8243949623573705,168,168,0
21,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,40.97,45.70945306720821,64.13,56.773668026102705,12.11,14.726878906689072,50.790000000000006,3.025548,26.116701559999996,56.66,154.5,-97.84,123.95670156,7.508012139921814,6.1412193286773284,4.482464139921813,3.1156713286773283,2.481537936242232,1.481537936242232,97.84,112.17944274858567,328.50777952,-4.73945306720821,7.356331973897291,-2.616878906689072,168,168,0
23,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,52.58,55.99948351498771,41.84,39.55110622841758,11.39,10.259410256594718,62.19,2.64174,106.43268134,67.53,0,67.53,38.90268134,3.987343241403098,2.9190866000465787,1.345603241403098,0.27734660004657874,1.5093624813203033,0.5093624813203033,32.470007859999996,41.50339424088362,173.08982806,-3.4194835149877107,2.2888937715824227,1.1305897434052827,168,168,0
