PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
7,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,138.92000000000002,0,138.92000000000002,23.1233796,168,54.43,161.07999579999998,500.60905608999997
8,31.62,49.05,12,75.33,2.99152,94.5918624,168,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,94.5918624,168,61.05,0,182.63229600000003
9,77.06,31.36,6.2,53.379999999999995,3.1810330000000002,245.13040298,168,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,0,0,0,245.13040298,168,37.56,0,119.47959948000002
10,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,290.95,0,290.95,22.37467332,168,45.41,359.0499973000001,1006.33712456
11,75.16,38.82,8.36,45.660000000000004,3.712825,168.58594048,168,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,89.53,0,89.53,79.05594048,168,47.18,110.46998651999999,285.64107002000003
12,77.67,32.2,6.86,51.269999999999996,3.798088,183.35751767,168,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,138.35999999999999,0,138.35999999999999,44.99751767,168,39.06,111.63997728999999,259.99329457
16,52.99,48.59,3.9,62.51999999999999,33.771639,641.39914846,168,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,601.84,0,601.84,39.55914846,168,52.49,1148.1600021500003,2920.8333332600005
17,53.92,47.81,6.42,59.849999999999994,4.7225,107.01722016,168,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,77.38,0,77.38,29.637220160000002,168,54.230000000000004,147.61997984,403.72115484000005
18,47.96,28.93,11.23,79.87999999999998,8.842511,135.29680876,168,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,131.21,20,111.21000000000001,24.086808759999997,168,40.16,288.7900188,643.9052605600002
21,40.97,64.13,12.11,50.790000000000006,3.025548,26.116701559999996,168,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,56.66,154.5,-97.84,123.95670156,168,76.24,97.84,328.50777952
22,80.26,5.58,10.45,71.71,3.597166,288.70854316000003,168,00032-1-01,60 o mas,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,288.70854316000003,168,16.03,0,57.66257098
23,52.58,41.84,11.39,62.19,2.64174,106.43268134,168,00032-1-03,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,67.53,0,67.53,38.90268134,168,53.230000000000004,32.470007859999996,173.08982806
24,54.5,31.72,7.35,74.43,2.206263,88.80131850000001,168,00035-1-01,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,68.56,0,68.56,20.241318500000002,168,39.07,31.44001499999999,117.63871040999996
25,60.82,32.59,9.74,64.85000000000001,3.476739,125.3267801363441,168,00037-1-01,45 a 59,Hombres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,90.35000000000001,13.9784946236559,76.3715053763441,48.95527476,168,42.330000000000005,86.12848584365588,233.29884771365585
26,74.15,29.4,5.55,58.89999999999999,4.461359,263.2319722645161,168,00037-1-02,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,70.88999999999999,10.9677419354839,59.922258064516086,203.3097142,168,34.949999999999996,67.57779758548389,223.5022946354839
29,69.85,43.02,11.68,43.45,4.083798,169.43289041739132,168,00041-1-01,45 a 59,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,148.31,39.1304347826087,109.1795652173913,60.253325200000006,168,54.7,115.82039988260863,339.20415048260867
30,31.82,33.08,5.07,98.03,2.976366,88.64793986000001,168,00046-1-04,18 a 29,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad mixta,6.4399999999999995,0,6.4399999999999995,82.20793986000001,168,38.15,6.060026260000001,119.60838916
31,91.01,7.88,5.67,63.44,0.8884,77.51330279,168,00047-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad activa,11.66,0,11.66,65.85330279,168,13.55,3.339981210000005,15.377801210000001
41,34.01,33.42,5.82,94.75,2.968391,60.15582536762709,168,00061-1-03,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,26.149999999999995,66.9491525423729,-40.79915254237291,100.95497791,168,39.24,40.79915254237291,157.2788153823729
45,71.07,36.76,11.95,48.22000000000001,2.852962,200.91997966,168,00067-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,123.16,0,123.16,77.75997966,168,48.709999999999994,1.8400296799999865,140.80780869999998
46,62.58,35.37,6.87,63.180000000000014,40.077886,731.2840738799999,168,00069-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,723.2099999999999,0,723.2099999999999,8.07407388,168,42.239999999999995,1776.7900319999999,3469.6799366399996
47,69.73,27.65,12.58,58.040000000000006,5.684662,232.54147901,168,00071-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,161.14999999999998,0,161.14999999999998,71.39147901,168,40.23,163.85000225000005,392.54395451000005
50,75.81,27.7,14.02,50.47,2.84351,167.27852930495146,168,00075-1-01,45 a 59,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad mixta,60.28,3.56796116504854,56.712038834951464,110.56649046999999,168,41.72,48.28796379504857,166.91920099504858
54,54.25,38.3,12.83,62.620000000000005,2.879951,125.07732475,168,00078-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,21.340000000000003,0,21.340000000000003,103.73732475,168,51.129999999999995,31.16001700000001,178.41191163000002
57,56.34,47.69,6.22,57.75,6.213444,246.53546587999998,168,00088-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad mixta,196.46999999999997,0,196.46999999999997,50.065465880000005,168,53.91,103.52996908000003,438.49673512000004
58,51.64,30.53,21.41,64.42,5.057747,138.57203207999999,168,00092-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,102.39,0,102.39,36.18203208,168,51.94,122.61002300000001,385.30940218
59,8.17,64.88,6.4,88.55000000000001,2.910447,23.77835199,168,00092-1-03,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,23.77835199,168,71.28,0,207.45666215999995
65,65.36,45.38,10.74,46.519999999999996,2.702575,49.972405208324,168,00101-1-01,60 o mas,Mujeres,Quintil medio,Centro,Trabajadores moviles,Usuarios publicos,96.02,107.687861271676,-11.667861271676003,61.64026648,168,56.120000000000005,126.66789679167599,278.336405791676
66,69.15,24.71,10.74,63.399999999999984,4.005066,224.44028745,168,00103-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,47.49,0,47.49,176.95028745,168,35.45,52.510026450000026,194.4896161500001
81,46.33,40.79,6.94,73.94,3.153856,146.11814848,168,00135-1-02,45 a 59,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,146.11814848,168,47.73,0,150.53354688000002
83,67.52,42.24,7.07,51.17,6.627594,257.5151454,168,00138-1-01,18 a 29,Hombres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,185.02,0,185.02,72.4951454,168,49.31,189.98000148,516.7866616200001
84,15.38,71.16,10.39,71.07000000000001,3.057089,47.018028820000005,168,00144-1-05,18 a 29,Hombres,Quintil alto,Centro,Rutina flexible,Movilidad activa,0,0,0,47.018028820000005,168,81.55,0,249.30560794999994
86,60.62,52.02,6.77,48.58999999999999,3.290776,162.79685478,168,00147-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,88.31,50,38.31,124.48685477999999,168,58.790000000000006,36.68998634000002,230.15470738000005
87,38.87,62.17,7.88,59.07999999999999,2.402284,75.03678728,168,00147-1-02,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,44.16,25,19.159999999999997,55.87678728,167.99999999999997,70.05,18.339991799999993,186.61998600000004
92,42.29,34.21,13.74,77.76,2.20786,88.68041381000002,168,00156-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,2.81,0,2.81,85.87041381000002,168,47.95,4.689985589999992,110.55687259
93,74.1,16.81,8.99,68.10000000000001,1.925792,137.3211939,168,00157-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,32.12,0,32.12,105.2011939,168,25.799999999999997,5.379993299999995,55.06542689999998
97,11.88,36.79,7.49,111.84000000000002,2.961594,35.18373671999999,168,00161-1-02,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Usuarios publicos,0,0,0,35.18373671999999,168.00000000000003,44.28,7.105427357601002e-15,131.13938231999995
98,7.42,73.53,13.01,74.04,3.09159,22.9395978,168,00163-1-03,18 a 29,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,22.9395978,168,86.54,0,267.54619859999997
99,10.93,68.32,5.46,83.29,2.946641,32.20678613,168,00164-1-03,18 a 29,Hombres,Quintil alto,Centro,Rutina flexible,Movilidad activa,0,0,0,32.20678613,168,73.77999999999999,0,217.40317297999997
100,75.48,18.96,9.89,63.67,3.077831,232.31468388,168,00165-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,232.31468388,168,28.85,2.842170943040401e-14,88.79542435000005
102,28.4,42.17,9.32,88.10999999999999,3.250721,26.863647131707296,168,00173-1-02,60 o mas,Mujeres,Quintil medio,Centro,Rutina flexible,Motorizados privados,65.47,130.9268292682927,-65.4568292682927,92.32047639999999,167.99999999999997,51.49,65.4568292682927,232.83645355829276
106,57.93,31.63,11.82,66.62,6.560531,220.37158599,168,00182-1-01,18 a 29,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Usuarios publicos,190.32,0,190.32,30.051585989999996,168,43.45,159.67997484000003,444.73504678999996
107,35.13,45.13,5.14,82.60000000000001,10.476139,218.06675499999997,168,00182-2-01,18 a 29,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,187.53999999999996,0,187.53999999999996,30.526755,168,50.27,149.96000807000004,676.5955156
112,41.42,58.79,9.49,58.29999999999999,3.062451,20.316720419999996,168,00199-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,77.22,183.75,-106.53,126.84672042,168,68.28,106.53,315.6341542800001
114,57.9,15.09,8.26,86.74999999999999,2.614382,139.182725,168,00205-1-02,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,40.31,0,40.31,98.872725,168,23.35,12.189992799999999,73.23581250000004
115,54.02,28.03,13.82,72.13,0.236317,12.76585572,168,00206-1-02,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,0,0,0,12.76585572,168,41.85,-1.137999999833994e-5,9.889855070000001
117,35.6,42.01,6.43,83.96000000000001,4.187139,102.67788588571428,168,00213-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,89.32999999999998,35.7142857142857,53.61571428571428,49.06217159999999,168,48.44,46.38426251428574,249.20927567428572
118,35.52,53.09,5.68,73.70999999999998,3.019224,88.6971195542857,168,00213-1-02,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,35.739999999999995,14.2857142857143,21.454285714285696,67.24283384000002,168,58.77,18.545716925714302,195.98551140571433
120,73.98,14.52,11.46,68.03999999999999,3.038634,161.95816382,168,00216-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,74.66000000000001,0,74.66000000000001,87.29816382,168,25.98,62.8399795,141.78369082000003
121,78.17,22.45,10.46,56.919999999999995,2.743131,166.82056823,168,00220-1-01,60 o mas,Mujeres,Quintil medio,Centro,Cuidadores domesticos,Movilidad activa,52.38999999999999,0,52.38999999999999,114.43056823,168,32.91,47.609982040000006,137.88642325000006
122,62.24,51.56,8.52,45.67999999999999,4.474784,171.37056364,168,00220-1-02,30 a 44,Mujeres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,117.86,0,117.86,53.51056364,168,60.08,107.13999251999996,375.98501523999994
123,48.15,48.08,7.81,63.959999999999994,2.9133,85.5053994,168,00220-1-03,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad activa,60.230000000000004,0,60.230000000000004,25.2753994,168,55.89,54.7699956,217.59433260000003
125,38.96,58.99,8.16,61.889999999999986,11.67662,277.84109567999997,168,00223-1-01,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Motorizados privados,247.92,0,247.92,29.921095680000004,168,67.15,177.08001952,961.1650525200001
126,32.42,65.07,7.86,62.64999999999999,3.049681,98.87065802000001,168,00224-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad mixta,0,0,0,98.87065802000001,168,72.92999999999999,0,222.41323533000002
127,66.69,32.14,6.18,62.99,1.993795,69.20618546,168,00224-1-06,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,103.74000000000001,67.5,36.24000000000001,32.96618546,168,38.32,63.76000309,140.16222749
128,40.67,60.48,11.92,54.92999999999999,3.345083,48.15452561000001,168,00227-1-02,60 o mas,Hombres,Quintil bajo,Centro,Rutina flexible,Motorizados privados,66.61000000000001,154.5,-87.88999999999999,136.04452561,168,72.39999999999999,87.88999999999999,330.0740092
130,30.31,40.82,4.85,92.02000000000001,2.507353,75.99787338,168,00229-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,75.99787338,168,45.67,-3.94999999286938e-6,114.51080755999998
131,49.47,28.72,11.3,78.51,4.097925,21.25945900220401,168,00231-1-01,60 o mas,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,146.54000000000002,140.504869297796,6.035130702204015,15.224328299999998,168,40.019999999999996,181.46489074779598,345.463849247796
132,65.23,26.96,8.6,67.21000000000001,3.007682,148.7524910168426,168,00231-1-04,60 o mas,Mujeres,Quintil alto,Centro,Cuidadores domesticos,Motorizados privados,38.28,85.7186058431574,-47.438605843157404,196.19109686000002,168,35.56,47.438605843157404,154.39177776315734
137,20.04,14.51,9.46,123.99000000000001,3.026102,60.643084079999994,168,00238-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,60.643084079999994,168,23.97,0,72.53566493999998
139,48.43,58.15,9.24,52.17999999999999,2.382439,77.24150845,168,00240-1-02,30 a 44,Hombres,Quintil bajo,Centro,Jovenes trabajadores,Motorizados privados,49.36,0,49.36,27.881508450000002,168,67.39,38.14001232000001,198.69257653000003
140,53.44,65.79,6.74,42.029999999999994,3.340514,120.80707903999999,168,00251-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Jovenes trabajadores,Movilidad activa,79.78999999999999,0,79.78999999999999,41.01707904,168,72.53,57.70998912000002,299.99746954
141,48.78,33.31,8.54,77.37,4.446399,110.47536097999999,168,00252-1-02,18 a 29,Hombres,Quintil medio,Centro,Jovenes trabajadores,Movilidad mixta,81.08,0,81.08,29.395360979999996,168,41.85,106.41998224000004,292.50178039
142,77.38,21.14,12.07,57.410000000000004,3.127134,145.60762891999997,168,00256-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad mixta,58.13,154.5,-96.37,241.97762891999997,168,33.21,96.37,200.22212014000002
144,27.9,48.66,3.92,87.52,3.115383,86.9191857,168,00259-2-01,18 a 29,Hombres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,0,0,0,86.9191857,168,52.58,0,163.80683814000002
145,66.5,25.15,11.94,64.41,2.967552,197.342208,168,00260-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Motorizados privados,0,0,0,197.342208,168,37.089999999999996,0,110.06650368000001
146,45,42.81,9.89,70.3,3.004444,135.19997999999998,168,00261-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,135.19997999999998,168,52.7,0,158.33419880000002
147,62.98,31.25,7.2,66.57000000000001,4.913503,151.502411,168,00263-1-01,45 a 59,Mujeres,Quintil medio,Centro,Trabajadores rutinarios,Usuarios publicos,142.04999999999998,0,142.04999999999998,9.452411,168,38.45,157.95000794000003,346.87419829
148,54.61,56.73,5.06,51.6,3.277512,100.01495163999999,168,00263-1-02,30 a 44,Hombres,Quintil medio,Centro,Jovenes trabajadores,Usuarios publicos,71.02999999999999,0,71.02999999999999,28.98495164,168,61.79,78.96997868000003,281.48744516000005
149,11.18,35.43,17.41,103.97999999999999,3.144456,35.15501808,168,00264-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,0,0,0,35.15501808,168,52.84,0,166.15305504000003
150,61.55,34.9,9.12,62.430000000000014,2.539926,100.20247284999999,168,00266-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Trabajadores rutinarios,Movilidad mixta,58.87,0,58.87,41.332472849999995,168,44.019999999999996,56.12997245,167.93751497
154,100.16,13.8,10.98,43.06,1.89724,172.08760543999998,168,00278-1-01,45 a 59,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Movilidad activa,19.560000000000002,0,19.560000000000002,152.52760543999997,168,24.78,17.939952960000028,64.95356016000002
155,35.8,39.66,8.98,83.55999999999999,3.072313,19.666987218181802,168,00281-1-02,60 o mas,Mujeres,Quintil alto,Centro,Rutina flexible,Movilidad activa,87.86,178.1818181818182,-90.32181818181819,109.98880539999999,168,48.64,90.32181818181819,239.75912250181818
158,86.79,29.43,6.16,45.61999999999999,3.765382,254.37750590999997,168,00287-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Usuarios publicos,152.57999999999998,0,152.57999999999998,101.79750591,168,35.59,72.41999787000003,206.42994325000006
