PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
7,00008-1-01,45 a 59,Hombres,Quintil bajo,Centro,Trabajadores rutinarios,Motorizados privados,51.8,49.1065107936611,38.87,45.656716817106265,15.56,11.466772389232622,61.77000000000001,6.237903,162.0433796,138.92000000000002,0,138.92000000000002,23.1233796,10.348825855497257,12.125737181486839,4.1109228554972566,5.887834181486839,1.6590232094819777,0.6590232094819776,161.07999579999998,144.27827139931097,500.60905608999997,2.6934892063388958,-6.786716817106267,4.093227610767379,168,168,0
8,00008-1-02,45 a 59,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,31.62,47.68340180456242,49.05,35.95614348687432,12,9.030454708563264,75.33,2.99152,94.5918624,0,0,0,94.5918624,4.376744102809832,0,1.3852241028098322,-2.99152,1.4630502563278307,0.46305025632783076,0,48.05398776638458,182.63229600000003,-16.06340180456242,13.09385651312568,2.969545291436736,168,168,0
9,00009-1-01,30 a 44,Mujeres,Quintil bajo,Centro,Cuidadores domesticos,Usuarios publicos,77.06,85.150067302538,31.36,23.554239954199005,6.2,5.915692743262993,53.379999999999995,3.1810330000000002,245.13040298,0,0,0,245.13040298,3.578046997293767,0,0.39701399729376696,-3.1810330000000002,1.1248066264303975,0.12480662643039758,0,25.734771061594387,119.47959948000002,-8.090067302538003,7.805760045800994,0.28430725673700685,168,168,0
10,00011-1-01,45 a 59,Hombres,Quintil alto,Centro,Trabajadores rutinarios,Movilidad activa,47.17,42.59591900485862,33.05,39.950448809510604,12.36,10.033632185630779,75.42,14.254286,313.32467332,290.95,0,290.95,22.37467332,24.087874108852684,32.39726150942183,9.833588108852684,18.14297550942183,1.6898688653260279,0.6898688653260278,359.0499973000001,293.8497386080902,1006.33712456,4.5740809951413794,-6.900448809510607,2.3263678143692204,168,168,0
11,00011-1-02,18 a 29,Hombres,Quintil alto,Centro,Cuidadores domesticos,Movilidad activa,75.16,65.21990508423038,38.82,45.65400388472995,8.36,11.46609103103967,45.660000000000004,3.712825,168.58594048,89.53,0,89.53,79.05594048,5.276940505584152,9.593812801646063,1.564115505584152,5.880987801646063,1.4212736947160591,0.4212736947160591,110.46998651999999,73.56415361435765,285.64107002000003,9.94009491576962,-6.8340038847299525,-3.1060910310396714,168,168,0
12,00014-1-01,30 a 44,Hombres,Quintil bajo,Centro,Trabajadores moviles,Motorizados privados,77.67,65.38832919019065,32.2,41.03552072271589,6.86,10.30615008709347,51.269999999999996,3.798088,183.35751767,138.35999999999999,0,138.35999999999999,44.99751767,5.186832243562907,11.710956724693903,1.3887442435629067,7.912868724693903,1.3656429876197989,0.3656429876197989,111.63997728999999,64.9931107673128,259.99329457,12.281670809809356,-8.835520722715884,-3.4461500870934705,168,168,0
16,00023-1-01,18 a 29,Hombres,Quintil alto,Centro,Jovenes trabajadores,Movilidad mixta,52.99,45.58335091224984,48.59,47.87320213957681,3.9,12.023446948173357,62.51999999999999,33.771639,641.39914846,601.84,0,601.84,39.55914846,61.43147349100283,89.62531939398043,27.659834491002833,55.85368039398043,1.819025528817326,0.819025528817326,1148.1600021500003,898.0253229588224,2920.8333332600005,7.406649087750161,0.7167978604231919,-8.123446948173356,168,168,0
17,00023-1-02,18 a 29,Mujeres,Quintil alto,Centro,Jovenes trabajadores,Motorizados privados,53.92,48.04773317449497,47.81,48.03754488116492,6.42,12.064721944340125,59.849999999999994,4.7225,107.01722016,77.38,0,77.38,29.637220160000002,8.173168683247,11.153480513879483,3.4506686832470006,6.430980513879483,1.7306868572254104,0.7306868572254104,147.61997984,119.88819975655252,403.72115484000005,5.872266825505029,-0.227544881164917,-5.644721944340125,168,168,0
18,00024-1-02,45 a 59,Mujeres,Quintil alto,Centro,Trabajadores rutinarios,Motorizados privados,47.96,37.826837336621324,28.93,40.197486488688355,11.23,10.095676174690329,79.87999999999998,8.842511,135.29680876,131.21,20,111.21000000000001,24.086808759999997,16.227732026263975,29.464111578574705,7.3852210262639755,20.621600578574707,1.8351950058375925,0.8351950058375924,288.7900188,199.18741648428474,643.9052605600002,10.133162663378677,-11.267486488688355,1.1343238253096715,168,168,0
21,00031-1-01,60 o mas,Mujeres,Quintil bajo,Centro,Rutina flexible,Movilidad activa,40.97,45.39623230971192,64.13,57.39811941741643,12.11,14.415648272871643,50.790000000000006,3.025548,26.116701559999996,56.66,154.5,-97.84,123.95670156,6.346379576842848,5.258216117236081,3.320831576842848,2.232668117236081,2.09759672523551,1.0975967252355103,97.84,111.23177831218428,328.50777952,-4.426232309711921,6.731880582583564,-2.305648272871643,168,168,0
