PeID,Tw,Tf1,Tf2,Tc,w,Ec,ta,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,cierre_temporal,tiempo_libre_observado,ingreso_libre_observado,ingreso_potencial_neto_Ec
1,61.25,17.46,12.58,76.71,3.959658,118.57902849999999,168,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,42.5290285,168,30.04,123.95002400000001,242.89815032000007
2,65.81,24.23,10.64,67.32,3.997689,139.13788734,168,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,76.05,0,76.05,63.087887339999995,168,34.870000000000005,123.95002574999998,263.34944118
3,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,0,0,0,68.32911771,168,33.55,-2.700000010236181e-6,34.46762334999998
4,12.79,78.66,11.88,64.67000000000002,3.134717,40.09303043,168,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,0,0,0,40.09303043,168,90.53999999999999,0,283.81727717999996
5,61.04,31.41,8,67.55000000000001,2.100166,59.894142640000005,168,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,56.7,0,56.7,3.19414264,168,39.41,68.29999000000001,151.06753206
6,53.07,52.11,5.85,56.970000000000006,3.008345,77.68286899,168,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,68.03,0,68.03,9.652868990000002,168,57.96,81.97000015999998,256.33367636
19,62.06,25.63,12.46,67.85,5.640839,180.59048606,168,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,130.51999999999998,0,130.51999999999998,50.07048606,168,38.09,169.47998228,384.33953979
20,29.9,35.84,22.8,79.46,3.008059,13.244897154393286,168,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,168,58.64,76.6960669456067,253.08864670560672
28,62.38,24.71,10.57,70.34,3.0454,189.972052,168,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,0,0,0,189.972052,168,35.28,0,107.44171199999997
32,98.8,18.12,4.67,46.41,6.202948,379.4112972,168,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,216.56,0,216.56,162.85129719999998,168,22.79,233.43996520000002,374.80515012000006
33,68.58,30.39,8.52,60.510000000000005,7.127654,281.30452207999997,168,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,192.48999999999998,0,192.48999999999998,88.81452207999999,168,38.91,207.50998923999998,484.8470063799999
34,15.49,51.31,5.66,95.53999999999999,3.103409,48.071805409999996,168,00055-1-04,18 a 29,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,48.071805409999996,168,56.97,7.105427357601002e-15,176.80121073000004
51,74.54,20.94,13.85,58.669999999999995,7.569237,254.6509037,168,00076-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores moviles,Movilidad mixta,240.44,0,240.44,14.2109037,168,34.79,309.5600222800001,572.8937775100002
52,56.96,31.02,18.93,61.089999999999996,3.106725,176.959056,168,00076-1-02,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Motorizados privados,0,0,0,176.959056,168,49.95,0,155.18091374999997
53,24.35,47.87,7.12,88.66,3.03938,74.008903,168,00077-1-02,45 a 59,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,74.008903,168,54.989999999999995,0,167.1355062
60,63.7,54.44,7.12,42.74,5.690309,188.60266080000002,168,00094-1-02,30 a 44,Hombres,Quintil alto,Norte,Jovenes trabajadores,Movilidad mixta,126.13000000000001,0,126.13000000000001,62.4726608,168,61.559999999999995,173.8700225,524.16544454
64,68.42,46.22,4.72,48.64,2.661622,162.63819284000002,168,00100-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Cuidadores domesticos,Movilidad mixta,60.53,0,60.53,102.10819284000002,168,50.94,19.469984399999987,155.05300907999995
69,52.53,41.88,11.11,62.480000000000004,2.405518,48.57184077,168,00115-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Motorizados privados,57.21,22.5,34.71,13.86184077,168,52.99,77.79001976999999,205.25841859
70,79.31,40.85,4.84,43,2.63779,142.31314692,168,00118-1-02,30 a 44,Mujeres,Quintil bajo,Norte,Jovenes trabajadores,Motorizados privados,83.11,0,83.11,59.203146919999995,168,45.69,66.88997798,187.41060308
71,11.41,83.74,5.88,66.97000000000001,3.36889,38.4390349,168,00119-1-01,30 a 44,Hombres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,0,0,0,38.4390349,168,89.61999999999999,0,301.91992179999994
72,33.95,16.79,17.16,100.10000000000002,3.062645,87.72679775,168,00119-1-02,60 o mas,Mujeres,Quintil bajo,Norte,Rutina flexible,Motorizados privados,51.25,67.5,-16.25,103.97679775,168.00000000000003,33.95,16.25,120.22679774999992
73,59.26,42.84,10.58,55.32000000000001,8.97514,216.22678422,168,00120-1-02,45 a 59,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,134.35999999999999,0,134.35999999999999,81.86678422000001,168,53.42,315.64001218,795.0919909799999
