dimension,categoria,indicador,valor
territorio,Norte,VoL_predicho_p01,1.269020040650014
territorio,Norte,VoL_predicho_p05,2.5186075846093448
territorio,Norte,VoL_predicho_p25,3.6662433256719593
territorio,Norte,VoL_predicho_p50,4.548178441396426
territorio,Norte,VoL_predicho_p75,6.151358024744892
territorio,Norte,VoL_predicho_p95,13.916789030549708
territorio,Norte,VoL_predicho_p99,25.96565273412856
territorio,Norte,VoL_observado_p01,-5.783940199350799e-6
territorio,Norte,VoL_observado_p05,0
territorio,Norte,VoL_observado_p25,2.732127080312824e-15
territorio,Norte,VoL_observado_p50,4.955894408233144
territorio,Norte,VoL_observado_p75,9.76717763042368
territorio,Norte,VoL_observado_p95,25.99809412723726
territorio,Norte,VoL_observado_p99,52.573553667018295
territorio,Norte,VTAW_predicho_p01,-0.016421028602519507
territorio,Norte,VTAW_predicho_p05,0.3430371831339736
territorio,Norte,VTAW_predicho_p25,0.8053079175238893
territorio,Norte,VTAW_predicho_p50,1.3680454152519477
territorio,Norte,VTAW_predicho_p75,2.371852918585323
territorio,Norte,VTAW_predicho_p95,5.3323914033574304
territorio,Norte,VTAW_predicho_p99,10.683851462917577
territorio,Norte,VTAW_observado_p01,-3.3900573
territorio,Norte,VTAW_observado_p05,-3.1624908499999997
territorio,Norte,VTAW_observado_p25,-2.719086975369837
territorio,Norte,VTAW_observado_p50,1.8039467667984
territorio,Norte,VTAW_observado_p75,5.6455980666143795
territorio,Norte,VTAW_observado_p95,18.62128343209633
territorio,Norte,VTAW_observado_p99,36.8572761372161
territorio,Norte,VoL_predicho_sobre_w_p01,0.9865025244782472
territorio,Norte,VoL_predicho_sobre_w_p05,1.128188335929299
territorio,Norte,VoL_predicho_sobre_w_p25,1.2828371845778384
territorio,Norte,VoL_predicho_sobre_w_p50,1.4193277355920966
territorio,Norte,VoL_predicho_sobre_w_p75,1.5704009701741084
territorio,Norte,VoL_predicho_sobre_w_p95,1.8993258029217726
territorio,Norte,VoL_predicho_sobre_w_p99,2.0254784596488076
territorio,Norte,VTAW_predicho_sobre_w_p01,-0.013497475521752882
territorio,Norte,VTAW_predicho_sobre_w_p05,0.1281883359292988
territorio,Norte,VTAW_predicho_sobre_w_p25,0.2828371845778384
territorio,Norte,VTAW_predicho_sobre_w_p50,0.41932773559209646
territorio,Norte,VTAW_predicho_sobre_w_p75,0.5704009701741084
territorio,Norte,VTAW_predicho_sobre_w_p95,0.8993258029217724
territorio,Norte,VTAW_predicho_sobre_w_p99,1.025478459648808
territorio,Norte,Tw_hat_p01,21.655373654939716
territorio,Norte,Tw_hat_p05,31.694662113722707
territorio,Norte,Tw_hat_p25,47.16538725021247
territorio,Norte,Tw_hat_p50,54.84080552431853
territorio,Norte,Tw_hat_p75,63.72922528237207
territorio,Norte,Tw_hat_p95,78.21304226486815
territorio,Norte,Tw_hat_p99,90.79462971643876
territorio,Norte,Tf1_hat_p01,14.253670169349611
territorio,Norte,Tf1_hat_p05,19.373219862714155
territorio,Norte,Tf1_hat_p25,30.61062759482543
territorio,Norte,Tf1_hat_p50,37.23388439190272
territorio,Norte,Tf1_hat_p75,42.70838962750989
territorio,Norte,Tf1_hat_p95,49.99477699333104
territorio,Norte,Tf1_hat_p99,55.500660482583456
territorio,Norte,Tf2_hat_p01,3.598760891558811
territorio,Norte,Tf2_hat_p05,4.8913427318830225
territorio,Norte,Tf2_hat_p25,7.728558900655079
territorio,Norte,Tf2_hat_p50,9.40079610362667
territorio,Norte,Tf2_hat_p75,10.782996975995811
territorio,Norte,Tf2_hat_p95,12.622661117323553
territorio,Norte,Tf2_hat_p99,14.012784358508743
territorio,Norte,ingreso_libre_observado_p01,-4.25600999901121e-5
territorio,Norte,ingreso_libre_observado_p05,0
territorio,Norte,ingreso_libre_observado_p25,2.842170943040401e-14
territorio,Norte,ingreso_libre_observado_p50,61.979979485000015
territorio,Norte,ingreso_libre_observado_p75,117.63543744147059
territorio,Norte,ingreso_libre_observado_p95,287.53213670712455
territorio,Norte,ingreso_libre_observado_p99,580.4657129447992
territorio,Norte,ingreso_libre_predicho_p01,8.774300220839837
territorio,Norte,ingreso_libre_predicho_p05,22.42157112504764
territorio,Norte,ingreso_libre_predicho_p25,42.18768936529628
territorio,Norte,ingreso_libre_predicho_p50,61.693771890075766
territorio,Norte,ingreso_libre_predicho_p75,97.2958090275154
territorio,Norte,ingreso_libre_predicho_p95,229.98276946310318
territorio,Norte,ingreso_libre_predicho_p99,433.580393428414
territorio,Norte,ingreso_potencial_neto_Ec_p01,38.49985750379998
territorio,Norte,ingreso_potencial_neto_Ec_p05,84.94920697200003
territorio,Norte,ingreso_potencial_neto_Ec_p25,148.97654222999998
territorio,Norte,ingreso_potencial_neto_Ec_p50,204.17533951499996
territorio,Norte,ingreso_potencial_neto_Ec_p75,302.99162056811474
territorio,Norte,ingreso_potencial_neto_Ec_p95,698.0649896504998
territorio,Norte,ingreso_potencial_neto_Ec_p99,1263.9839695240464
