PeID,id_persona,grupo_edad,grupo_sexo,grupo_ingreso,grupo_territorio,grupo_cluster_tiempo,grupo_cluster_modo,Tw,Tw_hat,Tf1,Tf1_hat,Tf2,Tf2_hat,Tc,w,Ec,Ec_monetario,ing_fijo,EcI,Ec_trabajo_no_remunerado,VoL_predicho,VoL_observado,VTAW_predicho,VTAW_observado,VoL_predicho_sobre_w,VTAW_predicho_sobre_w,ingreso_libre_observado,ingreso_libre_predicho,ingreso_potencial_neto_Ec,error_Tw,error_Tf1,error_Tf2,cierre_temporal,cierre_temporal_predicho,diferencia_cierre_predicho
1,00001-1-01,60 o mas,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,61.25,48.260413550753455,17.46,34.355518902637705,12.58,8.674067546608844,76.71,3.959658,118.57902849999999,76.05,0,76.05,42.5290285,5.676255484549893,13.897725369239264,1.7165974845498928,9.938067369239263,1.4335216537766375,0.4335216537766375,123.95002400000001,72.51570409954934,242.89815032000007,12.989586449246545,-16.895518902637704,3.9059324533911557,168,168,0
2,00001-1-03,18 a 29,Mujeres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad mixta,65.81,54.22702775988498,24.23,37.08880557709662,10.64,9.364166663018413,67.32,3.997689,139.13788734,76.05,0,76.05,63.087887339999995,5.629845732906975,11.972689302732611,1.6321567329069748,7.975000302732612,1.4082750641450534,0.40827506414505355,123.95002574999998,77.64490503838684,263.34944118,11.58297224011502,-12.858805577096621,1.275833336981588,168,168,0
3,00002-1-01,45 a 59,Mujeres,Quintil bajo,Norte,Trabajadores moviles,Usuarios publicos,66.51,74.01022048167349,23.56,20.798565975227536,9.99,5.25121354309898,67.94,1.027351,68.32911771,0,0,0,68.32911771,0.9962898662433741,-2.710617762108527e-7,-0.03106113375662578,-1.027351271061776,0.9697658017983866,-0.030234198201613455,-2.700000010236181e-6,7.705356312067721,34.46762334999998,-7.50022048167348,2.7614340247724627,4.73878645690102,168,168,0
4,00006-1-03,18 a 29,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,12.79,44.079679677229414,78.66,47.30641560399951,11.88,11.943904718771048,64.67000000000002,3.134717,40.09303043,0,0,0,40.09303043,5.5757820861718494,0,2.4410650861718493,-3.134717,1.778719446180261,0.778719446180261,0,98.08429080876556,283.81727717999996,-31.289679677229415,31.353584396000485,-0.06390471877104709,168,168,0
5,00007-1-01,45 a 59,Hombres,Quintil bajo,Norte,Trabajadores rutinarios,Movilidad activa,61.04,50.35623043274628,31.41,39.99567714419195,8,10.09809242306175,67.55000000000001,2.100166,59.894142640000005,56.7,0,56.7,3.19414264,3.083678973876203,5.837289649449444,0.983512973876203,3.7371236494494435,1.468302493172541,0.4683024931725411,68.29999000000001,45.86230040301903,151.06753206,10.68376956725372,-8.585677144191951,-2.0980924230617504,168,168,0
6,00007-1-02,18 a 29,Hombres,Quintil bajo,Norte,Jovenes trabajadores,Usuarios publicos,53.07,52.833571355389026,52.11,46.46497141505638,5.85,11.731457229554582,56.970000000000006,3.008345,77.68286899,68.03,0,68.03,9.652868990000002,4.702954693830108,4.76347179079355,1.6946096938301083,1.75512679079355,1.5633029768294888,0.5633029768294888,81.97000015999998,81.25874122912779,256.33367636,0.23642864461097446,5.645028584943617,-5.881457229554583,168,168,0
19,00027-1-01,30 a 44,Hombres,Quintil medio,Norte,Trabajadores rutinarios,Motorizados privados,62.06,52.52252730076157,25.63,38.02654577062984,12.46,9.6009269286086,67.85,5.640839,180.59048606,130.51999999999998,0,130.51999999999998,50.07048606,8.180882652398093,14.986646926672067,2.5400436523980936,9.345807926672068,1.4502953642885559,0.450295364288556,169.47998228,115.68063431670055,384.33953979,9.537472699238435,-12.396545770629839,2.8590730713914017,168,168,0
20,00030-1-01,60 o mas,Hombres,Quintil medio,Norte,Rutina flexible,Movilidad activa,29.9,35.33596035481359,35.84,42.478967160951974,22.8,10.725072484234454,79.46,3.008059,13.244897154393286,49.01,125.7060669456067,-76.6960669456067,89.94096409999999,5.890583762741277,4.405306910171586,2.882524762741277,1.3972479101715858,1.9582673620235764,0.9582673620235763,76.6960669456067,93.04775641454691,253.08864670560672,-5.435960354813588,-6.638967160951971,12.074927515765546,168,168,0
28,00039-1-03,30 a 44,Mujeres,Quintil medio,Norte,Cuidadores domesticos,Movilidad mixta,62.38,71.32701735793218,24.71,21.024679937128063,10.57,5.308302704939755,70.34,3.0454,189.972052,0,0,0,189.972052,3.485135027451005,0,0.43973502745100523,-3.0454,1.1443931921754138,0.14439319217541383,0,27.247246661846646,107.44171199999997,-8.947017357932175,3.685320062871938,5.261697295060245,168,168,0
32,00051-1-01,30 a 44,Mujeres,Quintil alto,Norte,Cuidadores domesticos,Motorizados privados,98.8,77.60329218203536,18.12,35.11970010883865,4.67,8.867007709125996,46.41,6.202948,379.4112972,216.56,0,216.56,162.85129719999998,7.807219942920696,34.500701303742915,1.604271942920696,28.297753303742915,1.2586305645187894,0.25863056451878946,233.43996520000002,101.95788883397194,374.80515012000006,21.196707817964636,-16.99970010883865,-4.197007709125996,168,168,0
33,00051-1-02,30 a 44,Hombres,Quintil alto,Norte,Trabajadores rutinarios,Motorizados privados,68.58,59.374044849152476,30.39,38.41655807343588,8.52,9.69939707741163,60.510000000000005,7.127654,281.30452207999997,192.48999999999998,0,192.48999999999998,88.81452207999999,9.932744958662816,17.962832310389825,2.8050909586628165,10.835178310389825,1.3935503825891122,0.3935503825891123,207.50998923999998,141.89312618524104,484.8470063799999,9.205955150847522,-8.02655807343588,-1.1793970774116307,168,168,0
