dimension,categoria,etapa,n_personas,pct_sobre_grupo_mnl_v9
muestra_general,Muestra general,Personas compatibles con MNL V9 en grupo,8919,100
muestra_general,Muestra general,Variables finitas para MTUEM,8919,100
muestra_general,Muestra general,Tw > 0 y w > 0,8919,100
muestra_general,Muestra general,Tc valido y tiempo libre observado > 0,8919,100
muestra_general,Muestra general,Ec corregido > 0,7929,88.90010090817356
muestra_general,Muestra general,Ingreso potencial neto de Ec > 0,7925,88.85525283103487
muestra_general,Muestra general,Muestra final MTUEM,7925,88.85525283103487
edad,18 a 29,Personas compatibles con MNL V9 en grupo,1717,100
edad,18 a 29,Variables finitas para MTUEM,1717,100
edad,18 a 29,Tw > 0 y w > 0,1717,100
edad,18 a 29,Tc valido y tiempo libre observado > 0,1717,100
edad,18 a 29,Ec corregido > 0,1698,98.89341875364006
edad,18 a 29,Ingreso potencial neto de Ec > 0,1697,98.8351776354106
edad,18 a 29,Muestra final MTUEM,1697,98.8351776354106
edad,30 a 44,Personas compatibles con MNL V9 en grupo,2556,100
edad,30 a 44,Variables finitas para MTUEM,2556,100
edad,30 a 44,Tw > 0 y w > 0,2556,100
edad,30 a 44,Tc valido y tiempo libre observado > 0,2556,100
edad,30 a 44,Ec corregido > 0,2519,98.55242566510172
edad,30 a 44,Ingreso potencial neto de Ec > 0,2517,98.47417840375587
edad,30 a 44,Muestra final MTUEM,2517,98.47417840375587
edad,45 a 59,Personas compatibles con MNL V9 en grupo,2416,100
edad,45 a 59,Variables finitas para MTUEM,2416,100
edad,45 a 59,Tw > 0 y w > 0,2416,100
edad,45 a 59,Tc valido y tiempo libre observado > 0,2416,100
edad,45 a 59,Ec corregido > 0,2337,96.73013245033113
edad,45 a 59,Ingreso potencial neto de Ec > 0,2336,96.6887417218543
edad,45 a 59,Muestra final MTUEM,2336,96.6887417218543
edad,60 o mas,Personas compatibles con MNL V9 en grupo,2230,100
edad,60 o mas,Variables finitas para MTUEM,2230,100
edad,60 o mas,Tw > 0 y w > 0,2230,100
edad,60 o mas,Tc valido y tiempo libre observado > 0,2230,100
edad,60 o mas,Ec corregido > 0,1375,61.65919282511211
edad,60 o mas,Ingreso potencial neto de Ec > 0,1375,61.65919282511211
edad,60 o mas,Muestra final MTUEM,1375,61.65919282511211
sexo,Hombres,Personas compatibles con MNL V9 en grupo,3663,100
sexo,Hombres,Variables finitas para MTUEM,3663,100
sexo,Hombres,Tw > 0 y w > 0,3663,100
sexo,Hombres,Tc valido y tiempo libre observado > 0,3663,100
sexo,Hombres,Ec corregido > 0,3109,84.87578487578487
sexo,Hombres,Ingreso potencial neto de Ec > 0,3107,84.82118482118481
sexo,Hombres,Muestra final MTUEM,3107,84.82118482118481
sexo,Mujeres,Personas compatibles con MNL V9 en grupo,5256,100
sexo,Mujeres,Variables finitas para MTUEM,5256,100
sexo,Mujeres,Tw > 0 y w > 0,5256,100
sexo,Mujeres,Tc valido y tiempo libre observado > 0,5256,100
sexo,Mujeres,Ec corregido > 0,4820,91.70471841704719
sexo,Mujeres,Ingreso potencial neto de Ec > 0,4818,91.66666666666667
sexo,Mujeres,Muestra final MTUEM,4818,91.66666666666667
ingresos,Quintil bajo,Personas compatibles con MNL V9 en grupo,5670,100
