dimension,categoria,parametro,estimacion,error_estandar,t_value,sig
muestra_general,Muestra general,PH,0.26326527771450065,NA,NA,
muestra_general,Muestra general,th1,0.8001078727378941,NA,NA,
muestra_general,Muestra general,tw,0.2969456344377914,NA,NA,
edad,18 a 29,PH,0.3824107723511873,NA,NA,
edad,18 a 29,th1,0.8504661163130192,NA,NA,
edad,18 a 29,tw,-0.40326381210299067,NA,NA,
edad,30 a 44,PH,0.2066230436173282,NA,NA,
edad,30 a 44,th1,0.8018941260748716,NA,NA,
edad,30 a 44,tw,0.5780544891555657,NA,NA,
edad,45 a 59,PH,0.15062170537459282,NA,NA,
edad,45 a 59,th1,0.7758272513117909,NA,NA,
edad,45 a 59,tw,0.7075505190335556,NA,NA,
edad,60 o mas,PH,0.2078291583448529,NA,NA,
edad,60 o mas,th1,0.7684138720577923,NA,NA,
edad,60 o mas,tw,0.4941652789772123,NA,NA,
sexo,Hombres,PH,0.40329042568188034,NA,NA,
sexo,Hombres,th1,0.8083080604921299,NA,NA,
sexo,Hombres,tw,0.0727513238403586,NA,NA,
sexo,Mujeres,PH,0.20896759682695454,NA,NA,
sexo,Mujeres,th1,0.7940312411801288,NA,NA,
sexo,Mujeres,tw,0.37685555230234313,NA,NA,
ingresos,Quintil bajo,PH,0.23142339106723564,NA,NA,
ingresos,Quintil bajo,th1,0.80128674508684,NA,NA,
ingresos,Quintil bajo,tw,0.2211465398286796,NA,NA,
ingresos,Quintil medio,PH,0.3994522386851838,NA,NA,
ingresos,Quintil medio,th1,0.7951278531221336,NA,NA,
ingresos,Quintil medio,tw,0.19629546008644147,NA,NA,
ingresos,Quintil alto,PH,0.502857132080937,NA,NA,
ingresos,Quintil alto,th1,0.8042536903300571,NA,NA,
ingresos,Quintil alto,tw,0.08183250420020208,NA,NA,
territorio,Norte,PH,0.29689505314660247,NA,NA,
territorio,Norte,th1,0.7984162000524937,NA,NA,
territorio,Norte,tw,0.3167958131003339,NA,NA,
territorio,Centro,PH,0.24405916685210421,NA,NA,
territorio,Centro,th1,0.7992634457637406,NA,NA,
territorio,Centro,tw,0.32599654871752237,NA,NA,
territorio,Sur,PH,0.26857299426186004,NA,NA,
territorio,Sur,th1,0.8038855383058344,NA,NA,
territorio,Sur,tw,0.20573372269696907,NA,NA,
cluster_tiempo,Cuidadores domesticos,PH,0.06337083276901266,NA,NA,
cluster_tiempo,Cuidadores domesticos,th1,0.7601612333069546,NA,NA,
cluster_tiempo,Cuidadores domesticos,tw,1.2088126291514227,NA,NA,
cluster_tiempo,Rutina flexible,PH,0.03275595433647874,NA,NA,
cluster_tiempo,Rutina flexible,th1,0.8355666129856282,NA,NA,
cluster_tiempo,Rutina flexible,tw,0.23270877451256744,NA,NA,
cluster_tiempo,Jovenes trabajadores,PH,0.16634934317673664,NA,NA,
cluster_tiempo,Jovenes trabajadores,th1,0.8645497952200883,NA,NA,
cluster_tiempo,Jovenes trabajadores,tw,0.4671392025193155,NA,NA,
cluster_tiempo,Trabajadores rutinarios,PH,0.22658231867473838,NA,NA,
cluster_tiempo,Trabajadores rutinarios,th1,0.7368476620784865,NA,NA,
cluster_tiempo,Trabajadores rutinarios,tw,0.8320653621488454,NA,NA,
cluster_tiempo,Trabajadores moviles,PH,0.338281427188051,NA,NA,
cluster_tiempo,Trabajadores moviles,th1,0.8010866275701787,NA,NA,
cluster_tiempo,Trabajadores moviles,tw,0.5960235982715055,NA,NA,
cluster_modo,Usuarios publicos,PH,0.2916527839274308,NA,NA,
cluster_modo,Usuarios publicos,th1,0.8004083973416167,NA,NA,
cluster_modo,Usuarios publicos,tw,0.20580208729145083,NA,NA,
cluster_modo,Movilidad activa,PH,0.16314154812271614,NA,NA,
cluster_modo,Movilidad activa,th1,0.8050139258735557,NA,NA,
cluster_modo,Movilidad activa,tw,0.2857635122687069,NA,NA,
cluster_modo,Movilidad mixta,PH,0.2692202889507862,NA,NA,
cluster_modo,Movilidad mixta,th1,0.7965410539277863,NA,NA,
cluster_modo,Movilidad mixta,tw,0.42912098397248605,NA,NA,
cluster_modo,Motorizados privados,PH,0.2818713540999182,NA,NA,
cluster_modo,Motorizados privados,th1,0.7983450985286681,NA,NA,
cluster_modo,Motorizados privados,tw,0.36172190307911206,NA,NA,
