dimension,categoria,bloque,indicador,valor,estimacion,error_estandar,t_value,sig,ic95_inf,ic95_sup
muestra_general,Muestra general,Model specification,# individuals,7925,NA,NA,NA,,NA,NA
muestra_general,Muestra general,Model specification,# parameters,3,NA,NA,NA,,NA,NA
muestra_general,Muestra general,Model specification,LL,-39648.5811205977,NA,NA,NA,,NA,NA
muestra_general,Muestra general,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
muestra_general,Muestra general,Time-use parameters,PH,NA,0.26326527771450065,NA,NA,,NA,NA
muestra_general,Muestra general,Time-use parameters,th1,NA,0.8001078727378941,NA,NA,,NA,NA
muestra_general,Muestra general,Time-use parameters,tw,NA,0.2969456344377914,NA,NA,,NA,NA
muestra_general,Muestra general,Values of time,VoL predicho,5.9375 [5.59 ; 6.285],5.937480134401695,0.17728745485262046,NA,,5.589996722890559,6.284963545912831
muestra_general,Muestra general,Values of time,VTAW predicho,1.9279 [1.5804 ; 2.2754],1.9278886911209376,0.17728745474253074,NA,,1.5804052798255774,2.275372102416298
muestra_general,Muestra general,Values of time,Weighted wage rate,4.0096 [3.9342 ; 4.085],4.009591443280757,0.0384776347382811,NA,,3.9341651438964815,4.085017742665033
edad,18 a 29,Model specification,# individuals,1697,NA,NA,NA,,NA,NA
edad,18 a 29,Model specification,# parameters,3,NA,NA,NA,,NA,NA
edad,18 a 29,Model specification,LL,-8122.58987093,NA,NA,NA,,NA,NA
edad,18 a 29,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
edad,18 a 29,Time-use parameters,PH,NA,0.3824107723511873,NA,NA,,NA,NA
edad,18 a 29,Time-use parameters,th1,NA,0.8504661163130192,NA,NA,,NA,NA
edad,18 a 29,Time-use parameters,tw,NA,-0.40326381210299067,NA,NA,,NA,NA
edad,18 a 29,Values of time,VoL predicho,2.0664 [1.8522 ; 2.2806],2.066438000598244,0.10928232821800714,NA,,1.85224463729095,2.280631363905538
edad,18 a 29,Values of time,VTAW predicho,-1.386 [-1.6001 ; -1.1718],-1.3859506405331645,0.10928232821800714,NA,,-1.6001440038404584,-1.1717572772258706
edad,18 a 29,Values of time,Weighted wage rate,3.4524 [3.2869 ; 3.6178],3.4523886411314084,0.08434911362844615,NA,,3.286949350593016,3.617827931669801
edad,30 a 44,Model specification,# individuals,2517,NA,NA,NA,,NA,NA
edad,30 a 44,Model specification,# parameters,3,NA,NA,NA,,NA,NA
edad,30 a 44,Model specification,LL,-12019.3419596982,NA,NA,NA,,NA,NA
edad,30 a 44,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
edad,30 a 44,Time-use parameters,PH,NA,0.2066230436173282,NA,NA,,NA,NA
edad,30 a 44,Time-use parameters,th1,NA,0.8018941260748716,NA,NA,,NA,NA
edad,30 a 44,Time-use parameters,tw,NA,0.5780544891555657,NA,NA,,NA,NA
edad,30 a 44,Values of time,VoL predicho,8.8558 [7.7305 ; 9.981],8.855765413999617,0.5741125557376702,NA,,7.730504804753783,9.98102602324545
edad,30 a 44,Values of time,VTAW predicho,4.5461 [3.4209 ; 5.6714],4.546112402080665,0.5741125567690392,NA,,3.420851790813348,5.671373013347981
edad,30 a 44,Values of time,Weighted wage rate,4.3097 [4.1844 ; 4.4349],4.309653011918951,0.06387504623034873,NA,,4.184399967179549,4.434906056658353
edad,45 a 59,Model specification,# individuals,2336,NA,NA,NA,,NA,NA
edad,45 a 59,Model specification,# parameters,3,NA,NA,NA,,NA,NA
edad,45 a 59,Model specification,LL,-11480.9222735765,NA,NA,NA,,NA,NA
edad,45 a 59,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
edad,45 a 59,Time-use parameters,PH,NA,0.15062170537459282,NA,NA,,NA,NA
edad,45 a 59,Time-use parameters,th1,NA,0.7758272513117909,NA,NA,,NA,NA
edad,45 a 59,Time-use parameters,tw,NA,0.7075505190335556,NA,NA,,NA,NA
edad,45 a 59,Values of time,VoL predicho,12.8021 [10.5942 ; 15.01],12.80212142023589,1.1264753607724105,NA,,10.594229713121965,15.010013127349815
edad,45 a 59,Values of time,VTAW predicho,8.5008 [6.2929 ; 10.7087],8.500818722461918,1.1264753607724105,NA,,6.292927015347994,10.708710429575843
edad,45 a 59,Values of time,Weighted wage rate,4.3013 [4.1512 ; 4.4514],4.301302697773973,0.07652087992113928,NA,,4.151246747129754,4.451358648418191
edad,60 o mas,Model specification,# individuals,1375,NA,NA,NA,,NA,NA
edad,60 o mas,Model specification,# parameters,3,NA,NA,NA,,NA,NA
edad,60 o mas,Model specification,LL,-7055.54902631915,NA,NA,NA,,NA,NA
edad,60 o mas,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
edad,60 o mas,Time-use parameters,PH,NA,0.2078291583448529,NA,NA,,NA,NA
edad,60 o mas,Time-use parameters,th1,NA,0.7684138720577923,NA,NA,,NA,NA
edad,60 o mas,Time-use parameters,tw,NA,0.4941652789772123,NA,NA,,NA,NA
edad,60 o mas,Values of time,VoL predicho,8.3547 [6.7746 ; 9.9349],8.35473542007617,0.8061865650978259,NA,,6.77460975248443,9.934861087667908
edad,60 o mas,Values of time,VTAW predicho,4.7023 [3.1222 ; 6.2824],4.702321652076169,0.8061865645952896,NA,,3.122195985469401,6.282447318682936
edad,60 o mas,Values of time,Weighted wage rate,3.6524 [3.486 ; 3.8188],3.652413768,0.08482050075170786,NA,,3.486022068167451,3.8188054678325494
sexo,Hombres,Model specification,# individuals,3107,NA,NA,NA,,NA,NA
sexo,Hombres,Model specification,# parameters,3,NA,NA,NA,,NA,NA
sexo,Hombres,Model specification,LL,-15550.5566208731,NA,NA,NA,,NA,NA
sexo,Hombres,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
sexo,Hombres,Time-use parameters,PH,NA,0.40329042568188034,NA,NA,,NA,NA
sexo,Hombres,Time-use parameters,th1,NA,0.8083080604921299,NA,NA,,NA,NA
sexo,Hombres,Time-use parameters,tw,NA,0.0727513238403586,NA,NA,,NA,NA
sexo,Hombres,Values of time,VoL predicho,5.2249 [4.8292 ; 5.6207],5.224939567187106,0.20193207954042852,NA,,4.829152691287867,5.620726443086346
sexo,Hombres,Values of time,VTAW predicho,0.5117 [0.116 ; 0.9075],0.5117498877535689,0.20193207961293919,NA,,0.11596301171220808,0.9075367637949296
sexo,Hombres,Values of time,Weighted wage rate,4.7132 [4.5437 ; 4.8827],4.713189679433537,0.08643065323015948,NA,,4.5437226734628755,4.882656685404198
sexo,Mujeres,Model specification,# individuals,4818,NA,NA,NA,,NA,NA
sexo,Mujeres,Model specification,# parameters,3,NA,NA,NA,,NA,NA
sexo,Mujeres,Model specification,LL,-23955.5355411986,NA,NA,NA,,NA,NA
sexo,Mujeres,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
sexo,Mujeres,Time-use parameters,PH,NA,0.20896759682695454,NA,NA,,NA,NA
sexo,Mujeres,Time-use parameters,th1,NA,0.7940312411801288,NA,NA,,NA,NA
sexo,Mujeres,Time-use parameters,tw,NA,0.37685555230234313,NA,NA,,NA,NA
sexo,Mujeres,Values of time,VoL predicho,5.8244 [5.3764 ; 6.2724],5.824378221035157,0.22856119067104222,NA,,5.376398287319914,6.2723581547504
sexo,Mujeres,Values of time,VTAW predicho,2.2685 [1.8205 ; 2.7165],2.26851855851959,0.22856119041985953,NA,,1.8205386252966653,2.716498491742515
sexo,Mujeres,Values of time,Weighted wage rate,3.5559 [3.5007 ; 3.611],3.5558596625155667,0.02812123528227201,NA,,3.500729201623022,3.6109901234081114
ingresos,Quintil bajo,Model specification,# individuals,5214,NA,NA,NA,,NA,NA
ingresos,Quintil bajo,Model specification,# parameters,3,NA,NA,NA,,NA,NA
ingresos,Quintil bajo,Model specification,LL,-25924.5159990469,NA,NA,NA,,NA,NA
ingresos,Quintil bajo,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
ingresos,Quintil bajo,Time-use parameters,PH,NA,0.23142339106723564,NA,NA,,NA,NA
ingresos,Quintil bajo,Time-use parameters,th1,NA,0.80128674508684,NA,NA,,NA,NA
ingresos,Quintil bajo,Time-use parameters,tw,NA,0.2211465398286796,NA,NA,,NA,NA
ingresos,Quintil bajo,Values of time,VoL predicho,4.1717 [3.9262 ; 4.4172],4.171676635674542,0.12524599463926891,NA,,3.926194486181575,4.417158785167509
ingresos,Quintil bajo,Values of time,VTAW predicho,1.0012 [0.7557 ; 1.2467],1.0011858359046917,0.1252459948103293,NA,,0.7557036860764462,1.246667985732937
ingresos,Quintil bajo,Values of time,Weighted wage rate,3.1705 [3.1418 ; 3.1992],3.1704907997698504,0.01465329339094648,NA,,3.1417642026966806,3.19921739684302
ingresos,Quintil medio,Model specification,# individuals,1507,NA,NA,NA,,NA,NA
ingresos,Quintil medio,Model specification,# parameters,3,NA,NA,NA,,NA,NA
ingresos,Quintil medio,Model specification,LL,-7429.01473815547,NA,NA,NA,,NA,NA
ingresos,Quintil medio,Model specification,Method,BFGS,NA,NA,NA,,NA,NA
ingresos,Quintil medio,Time-use parameters,PH,NA,0.3994522386851838,NA,NA,,NA,NA
ingresos,Quintil medio,Time-use parameters,th1,NA,0.7951278531221336,NA,NA,,NA,NA
ingresos,Quintil medio,Time-use parameters,tw,NA,0.19629546008644147,NA,NA,,NA,NA
ingresos,Quintil medio,Values of time,VoL predicho,5.2925 [4.7318 ; 5.8531],5.292463724345394,0.28605819912138325,NA,,4.731789654067483,5.853137794623305
