PeID,WeID,choice,Tw,Tf1,Tf2,Tc,w,Ec,ta,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_65mas,n_trabajadores,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_3,quintil_4,quintil_5,avl_1,avl_2,avl_3,avl_4,avl_5,avl_6,avl_7,chc_1,chc_2,chc_3,chc_4,chc_5,chc_6,chc_7,wd_1,wd_2,wd_3,wd_4,wd_5,wd_6,wd_7,wc_1,wc_2
1,1,7,61.25,17.46,12.58,76.71,3.959658,118.5790285,168,0,0,0,0,4.8,0,0,0,0,2,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
1,2,2,61.25,17.46,12.58,76.71,3.959658,118.5790285,168,1,0,0,0,1.227,0,0,0,0,2,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
2,1,6,65.81,24.23,10.64,67.32,3.997689,139.13788734,168,0,0,0,0,4.5,1,0,0,0,2,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1
3,1,2,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,0,0,0,0,4.5,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
3,2,2,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,1,0,0,0,2.151,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
4,1,5,12.79,78.66,11.88,64.67,3.134717,40.09303043,168,1,0,0,0,1.279,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
5,1,5,61.04,31.41,8,67.55,2.100166,59.89414264,168,0,0,0,0,6,0,0,0,0,3,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
6,1,2,53.07,52.11,5.85,56.97,3.008345,77.68286899,168,0,0,0,0,5,0,0,0,0,3,0,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
7,1,1,51.8,38.87,15.56,61.77,6.237903,162.0433796,168,0,0,0,0,4.5,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
7,2,1,51.8,38.87,15.56,61.77,6.237903,162.0433796,168,1,0,0,0,0.68,0,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
8,1,5,31.62,49.05,12,75.33,2.99152,94.5918624,168,1,0,0,0,3.162,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
9,1,2,77.06,31.36,6.2,53.38,3.1810330000000002,245.13040298,168,1,0,0,0,3.743,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
10,1,5,47.17,33.05,12.36,75.42,14.254286,313.32467332,168,1,0,0,0,0.717,0,1,0,0,2,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
11,1,5,75.16,38.82,8.36,45.66,3.712825,168.58594048,168,0,0,0,0,5,0,1,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
12,1,1,77.67,32.2,6.86,51.27,3.798088,183.35751767,168,0,0,0,0,6.5,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
12,2,1,77.67,32.2,6.86,51.27,3.798088,183.35751767,168,1,0,0,0,1.258,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
13,1,1,58.17,34.45,9.3,66.08,4.422605,124.988124938027,168,0,0,0,0,4,1,0,1,0,2,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
13,2,1,58.17,34.45,9.3,66.08,4.422605,124.988124938027,168,1,0,0,0,1.267,1,0,1,0,2,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
