etapa,metodo,iterlim,parametros_libres,inicio,fin,duracion_min,logLik_inicio,logLik_salida,mejora,code,mensaje,estado
01_mtuem_nm_inicial_mnl_fijo,NM,3000,3,2026-06-11 23:22:04.270946,2026-06-11 23:36:54.985224,14.845,-55302.19029059822,-55301.99898583856,0.19130475966085214,0,0,valido_aceptado
02_mtuem_bfgs_inicial_mnl_fijo,BFGS,1500,3,2026-06-11 23:37:03.820204,2026-06-11 23:46:16.104346,9.205,-55301.99898583856,-55301.998748623955,2.3721460456727073e-4,0,0,valido_aceptado
03_ronda_01_mnl_nm_mtuem_fijo,NM,6000,61,2026-06-11 23:46:24.938887,2026-06-13 16:50:32.512875,2464.126,-55301.998748623955,-55281.75605623281,20.24269239114801,1,1,valido_aceptado
04_ronda_01_mnl_bfgs_mtuem_fijo,BFGS,1500,61,2026-06-13 16:50:41.010062,2026-06-15 07:17:17.88759,2306.615,-55281.75605623281,-55276.49451077508,5.261545457724424,0,0,valido_aceptado
05_ronda_01_mtuem_nm_mnl_fijo,NM,2000,3,2026-06-15 07:17:26.54417,2026-06-15 07:31:33.330584,14.113,-55276.49451077508,-55276.49451077508,0,0,0,valido_aceptado
06_ronda_01_mtuem_bfgs_mnl_fijo,BFGS,1000,3,2026-06-15 07:31:42.147869,2026-06-15 07:40:54.617281,9.208,-55276.49451077508,-55276.49445251371,5.826137203257531e-5,0,0,valido_aceptado
03_ronda_02_mnl_nm_mtuem_fijo,NM,6000,61,2026-06-15 07:41:03.374564,2026-06-16 14:06:06.397086,1825.05,-55276.49445251371,-55276.48691756144,0.0075349522739998065,0,0,valido_aceptado
04_ronda_02_mnl_bfgs_mtuem_fijo,BFGS,1500,61,2026-06-16 14:06:15.10849,2026-06-17 17:39:17.659164,1653.043,-55276.48691756144,-55276.48678408781,1.3347362983040512e-4,0,0,valido_aceptado
05_ronda_02_mtuem_nm_mnl_fijo,NM,2000,3,2026-06-17 17:39:25.856322,2026-06-17 17:53:39.243534,14.223,-55276.48678408781,-55276.48652314524,2.6094256463693455e-4,0,0,valido_aceptado
06_ronda_02_mtuem_bfgs_mnl_fijo,BFGS,1000,3,2026-06-17 17:53:48.103463,2026-06-17 18:02:40.576918,8.875,-55276.48652314524,-55276.48651589708,7.248163456097245e-6,0,0,valido_aceptado
