parametro,Estimate,Std. error,t value,Pr(> t),t_ratio,abs_t_ratio,odds_ratio
ASC2,-0.0202107,0.1100652,-0.1836246,0.854308,-0.1836246,0.1836246,0.9799921672024716
ASC3,-3.1357343,0.1971988,-15.9013869,0,-15.9013869,15.9013869,0.0434678236846532
ASC4,-2.0795495,0.190487,-10.9170165,0,-10.9170165,10.9170165,0.12498650593839068
ASC5,0.081925,0.105482,0.7766725,0.437352,0.7766725,0.7766725,1.08537440369658
ASC6,-2.9697488,0.2840976,-10.4532688,0,-10.4532688,10.4532688,0.05131619934226641
ASC7,-1.0686693,0.0924037,-11.5652267,0,-11.5652267,11.5652267,0.343465262680897
BAGE65_2,0.4054621,0.1019971,3.9752326,7.03e-5,3.9752326,3.9752326,1.4999954878445398
BAGE65_3,0.9722438,0.1905503,5.1022937,3e-7,5.1022937,5.1022937,2.643870124649815
BAGE65_5,0.4131249,0.0762361,5.4190189,1e-7,5.4190189,5.4190189,1.5115338047167224
BCP_3,0.7096369,0.2643065,2.6849016,0.0072551,2.6849016,2.6849016,2.0332528504868503
BCP_4,-1.8372436,0.8270068,-2.2215582,0.0263132,-2.2215582,2.2215582,0.15925579434179243
BED_2,0.9920123,0.1133137,8.7545692,0,8.7545692,8.7545692,2.6966554960116262
BED_6,-1.8039475,0.5652313,-3.1915209,0.0014153,-3.1915209,3.1915209,0.16464765707347487
BESC_2,-0.2178972,0.0867196,-2.5126637,0.0119824,-2.5126637,2.5126637,0.8042081100110431
BESC_4,-0.4327099,0.1972014,-2.1942535,0.0282172,-2.1942535,2.1942535,0.6487486664970681
BESC_5,-0.2966964,0.0740792,-4.0051221,6.2e-5,-4.0051221,4.0051221,0.7432696347718417
BFEM_2,0.8423516,0.068566,12.2852657,0,12.2852657,12.2852657,2.3218205551679567
BFEM_3,0.9549159,0.1864189,5.1224203,3e-7,5.1224203,5.1224203,2.598452043913192
BFEM_4,-0.8780642,0.1909496,-4.5984077,4.3e-6,-4.5984077,4.5984077,0.4155866261062248
BFEM_5,0.5281416,0.0581755,9.0784131,0,9.0784131,9.0784131,1.6957779447589514
BFEM_6,-0.4496274,0.1539181,-2.9212128,0.0034867,-2.9212128,2.9212128,0.6378657761377657
BFEM_7,0.7644423,0.0854428,8.9468267,0,8.9468267,8.9468267,2.147796214630453
BNTRAB_2,0.1464555,0.0342357,4.2778589,1.89e-5,4.2778589,4.2778589,1.1577234109803598
BPAREJA_2,-0.7784805,0.0685814,-11.3511907,0,-11.3511907,11.3511907,0.4591030887098376
BPAREJA_3,-0.8012145,0.1671712,-4.7927779,1.6e-6,-4.7927779,4.7927779,0.44878358533860113
BPAREJA_4,-0.5098425,0.1681889,-3.0313679,0.0024345,-3.0313679,3.0313679,0.6005901643143416
BPAREJA_5,-0.6645895,0.0577447,-11.5091088,0,-11.5091088,11.5091088,0.5144846803258655
BPAREJA_6,-0.4123738,0.1417271,-2.909633,0.0036185,-2.909633,2.909633,0.6620767455040756
BPAREJA_7,-0.5954925,0.0818042,-7.2794816,0,-7.2794816,7.2794816,0.5512909881856335
BQ3_5,-0.28343,0.0679295,-4.1724164,3.01e-5,-4.1724164,4.1724164,0.753195844003858
BQ4_2,-0.3368101,0.0828807,-4.0637944,4.83e-5,-4.0637944,4.0637944,0.7140444240647263
BQ4_5,-0.4091035,0.0736654,-5.5535372,0,-5.5535372,5.5535372,0.6642454793571988
BQ5_2,-0.7542842,0.1036501,-7.2772169,0,-7.2772169,7.2772169,0.4703471687668817
BQ5_5,-0.727983,0.0848145,-8.5832339,0,-8.5832339,8.5832339,0.4828819814551384
BTC_2,-1.1349713,0.1122643,-10.109819,0,-10.109819,10.109819,0.32143134628165104
BTC_4,-2.1757826,0.5249549,-4.1447036,3.4e-5,-4.1447036,4.1447036,0.11351927871100882
BTC_6,-1.2033365,0.4483598,-2.6838635,0.0072777,-2.6838635,2.6838635,0.30019095204314356
BTC_7,-0.9731757,0.1457495,-6.6770426,0,-6.6770426,6.6770426,0.3778810936169877
BTD_2,-0.7928251,0.0765093,-10.3624654,0,-10.3624654,10.3624654,0.4525644477576576
BTD_4,-0.8321322,0.1978678,-4.2054969,2.61e-5,-4.2054969,4.2054969,0.4351205325295227
BTD_5,1.1442562,0.0560371,20.4196053,0,20.4196053,20.4196053,3.1401048780021488
BTD_6,-3.0448989,0.5214617,-5.8391608,0,-5.8391608,5.8391608,0.04760112421792639
BTEC_2,-0.5608993,0.0921416,-6.0873646,0,-6.0873646,6.0873646,0.5706956064484202
BTEC_5,-0.6154306,0.0791085,-7.7795746,0,-7.7795746,7.7795746,0.5404081454544364
BTEC_7,-0.2851736,0.0949871,-3.0022345,0.0026801,-3.0022345,3.0022345,0.7518837159758888
BTMOD_5,-0.0502524,0.0157566,-3.1892827,0.0014263,-3.1892827,3.1892827,0.9509893644908176
BTMOD_6,0.4806249,0.0460129,10.445434,0,10.445434,10.445434,1.617084602691096
BUNI_2,-1.0716902,0.1062106,-10.0902391,0,-10.0902391,10.0902391,0.3424292540959018
