id_persona,modulo,choice,T_modulo_sem,choice_interno_v10,mod_TD,mod_TC,mod_ED,mod_CP,T_mod_10h,female,zona_centro,zona_sur,edad_18_24,edad_45_64,edad_65mas,n_menores_18,n_trabajadores,n_profesionales,vive_pareja,educ_secundaria,educ_tecnica,educ_universitaria,quintil_2,quintil_3,quintil_4,quintil_5,ing_personal,PeID,WeID,avl_1,chc_1,wd_1,avl_2,chc_2,wd_2,avl_3,chc_3,wd_3,avl_4,chc_4,wd_4,avl_5,chc_5,wd_5,avl_6,chc_6,wd_6,avl_7,chc_7,wd_7,wc_1,Tw,Tf1,Tf2,Tc,w,Ec,ta,Ec_monetario,Ec_trabajo_no_remunerado,ingreso_libre_observado,ingreso_potencial_neto_Ec,wc_2
00001-1-01,TO,7,48,7,0,0,0,0,4.8,0,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,200,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,61.25,17.46,12.58,76.71,3.959658,118.5790285,168,76.05,42.5290285,123.950024,242.89815032000007,1
00001-1-01,TD,2,12.27,2,1,0,0,0,1.227,0,0,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,200,1,2,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,61.25,17.46,12.58,76.71,3.959658,118.5790285,168,76.05,42.5290285,123.950024,242.89815032000007,1
00001-1-03,TO,6,45,6,0,0,0,0,4.5,1,0,0,0,0,0,1,2,1,0,0,1,0,0,1,0,0,200,2,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,65.81,24.23,10.64,67.32,3.997689,139.13788734,168,76.05,63.087887339999995,123.95002574999998,263.34944118,1
00002-1-01,TO,2,45,2,0,0,0,0,4.5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,0,68.32911771,-2.700000010236181e-6,34.46762334999998,1
00002-1-01,TD,2,21.51,2,1,0,0,0,2.151,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,2,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,66.51,23.56,9.99,67.94,1.027351,68.32911771,168,0,68.32911771,-2.700000010236181e-6,34.46762334999998,1
00006-1-03,TD,5,12.79,5,1,0,0,0,1.279,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,12.79,78.66,11.88,64.67000000000002,3.134717,40.09303043,168,0,40.09303043,0,283.81727717999996,1
00007-1-01,TO,5,60,5,0,0,0,0,6,0,0,0,0,1,0,1,3,1,1,0,0,0,0,1,0,0,125,5,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,61.04,31.41,8,67.55000000000001,2.100166,59.894142640000005,168,56.7,3.19414264,68.29999000000001,151.06753206,1
00007-1-02,TO,2,50,2,0,0,0,0,5,0,0,0,0,0,0,1,3,1,0,1,0,0,0,1,0,0,150,6,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,53.07,52.11,5.85,56.970000000000006,3.008345,77.68286899,168,68.03,9.652868990000002,81.97000015999998,256.33367636,1
00008-1-01,TO,1,45,1,0,0,0,0,4.5,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,300,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,138.92000000000002,23.1233796,161.07999579999998,500.60905609,1
00008-1-01,TD,1,6.8,1,1,0,0,0,0.6799999999999999,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,300,7,2,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,51.8,38.87,15.56,61.77000000000001,6.237903,162.0433796,168,138.92000000000002,23.1233796,161.07999579999998,500.60905609,1
