parametro,valor
PH,0.26314419420856716
th1,0.7996672432388161
tw,0.2952254683690635
ASC2,-0.1363667676599902
ASC3,-3.12144575841845
ASC4,-2.1674614137370396
ASC5,0.0440502935223037
ASC6,-3.0408969540166546
ASC7,-1.0960186840372206
BAGE65_2,0.4826627362622653
BAGE65_3,1.026787599465003
BAGE65_5,0.41694302343574224
BCP_3,0.991572438295327
BCP_4,-2.3655088430974645
BED_2,1.0037712996403432
BED_6,-1.7325440081787142
BESC_2,-0.21854114296535065
BESC_4,-0.3616149087518137
BESC_5,-0.31313233007368857
BFEM_2,0.9561992077422398
BFEM_3,0.9239794435483344
BFEM_4,-0.6686230501808671
BFEM_5,0.5714947183865008
BFEM_6,-0.45382795340219684
BFEM_7,0.7921535096776501
BNTRAB_2,0.16184829020071723
BPAREJA_2,-0.7676127829895167
BPAREJA_3,-0.7017765913612
BPAREJA_4,-0.6350448914581217
BPAREJA_5,-0.6561430917267426
BPAREJA_6,-0.36679595450730346
BPAREJA_7,-0.5937069249997193
BQ3_5,-0.24313740349483243
BQ4_2,-0.37515795778542466
BQ4_5,-0.4451950777769248
BQ5_2,-0.8026530426305708
BQ5_5,-0.7550208435529973
BTC_2,-1.1368302994715085
BTC_4,-2.0945964567164452
BTC_6,-1.1343732057426186
BTC_7,-1.0153809295174352
BTD_2,-0.8761450746440541
BTD_4,-0.9857571472228515
BTD_5,1.0337298696669202
BTD_6,-3.1272424986953276
BTEC_2,-0.56716121215928506
BTEC_5,-0.6450092072825064
BTEC_7,-0.27087854323742455
BTMOD_5,-0.04469264454552545
BTMOD_6,0.47694685261986536
BUNI_2,-1.1230481999468396
BUNI_3,-1.010945541895853
BUNI_4,-1.4302335550998673
BUNI_5,-1.1816048207954393
BUNI_6,-0.9645984726745735
BUNI_7,-0.8891013000569254
BZCEN_4,0.9583864332256936
BZCEN_5,0.25791374635098974
BZCEN_6,-0.6827487889747834
BZSUR_2,-0.5818266019440493
BZSUR_3,-0.6821023230477818
BZSUR_5,-0.37941317264234103
BZSUR_6,-0.7800682558554404
BZSUR_7,-0.3397748873009918
