parametro,start
PH,0.262045
th1,0.799546
tw,0.298995
ASC3,-3.19115
ASC4,-2.082054
ASC6,-3.239496
ASC7,-1.123655
BAGE65_2,0.518689
BAGE65_3,1.041958
BAGE65_5,0.443923
BCP_3,0.929983
BED_2,1.018667
BED_6,-2.146351
BESC_2,-0.153447
BESC_4,-0.374392
BESC_5,-0.264282
BFEM_2,0.929887
BFEM_3,1.002655
BFEM_4,-0.700687
BFEM_5,0.572787
BFEM_6,-0.36572
BFEM_7,0.786992
BNTRAB_2,0.150073
BPAREJA_2,-0.759705
BPAREJA_3,-0.669102
BPAREJA_4,-0.638883
BPAREJA_5,-0.653182
BPAREJA_6,-0.337214
BPAREJA_7,-0.581879
BQ3_5,-0.24811
BQ4_2,-0.338801
BQ4_5,-0.428244
BQ5_2,-0.760064
BQ5_5,-0.733498
BTC_2,-1.102956
BTC_4,-2.083162
BTC_6,-1.247319
BTC_7,-0.974333
BTD_2,-0.842998
BTD_4,-0.980837
BTD_5,1.0477
BTD_6,-3.404748
BTEC_2,-0.504892
BTEC_5,-0.585841
BTEC_7,-0.23105
BTMOD_5,-0.045772
BTMOD_6,0.501305
BUNI_2,-1.026269
BUNI_3,-0.937372
BUNI_4,-1.463743
BUNI_5,-1.099633
BUNI_6,-0.939133
BUNI_7,-0.806642
BZCEN_4,0.941741
BZCEN_5,0.250749
BZCEN_6,-0.568112
BZSUR_2,-0.536295
BZSUR_3,-0.634564
BZSUR_5,-0.366953
BZSUR_6,-0.634108
BZSUR_7,-0.319479
